Bacteria,sulfanilamide,penicillin_g,ampicillin,amoxicillin,piperacillin,ticarcillin,cephalexin,cefazolin,cefuroxime,ceftriaxone,cefixime,ceftazidime,cefepime,ceftaroline,meropenem,imipenem_c,ertapenem,aztreonam,erythromycin,azithromycin,clarithromycin,clindamycin,gentamicin,tobramycin,amikacin,ciprofloxacin,levofloxacin,moxifloxacin,ofloxacin,tetracycline,doxycycline,minocycline,tigecycline,vancomycin,fidaxomicin,teicoplanin,dalbavancin,linezolid,tedizolid,daptomycin,quinu_dalfo,trim_sulf,chloramphenicol,nitrofurantoin,fosfomycin,retapamulin,fusidic_a,metronidazole,furazolidone,rifampicin,amoxicillin_clavulanate,piperacillin_tazobactam,ampicillin_sulbactam,ticarcillin_clavulanate,ceftazidime_avibactam,aztreonam_avibactam,meropenem_vaborbactam,colistin,flucloxacillin,cefiderocol,ceftolozane_tazobactam
Serratia spp.,0.68,.,.,.,0.78,0.80,.,.,0.78,0.75,0.75,0.72,0.75,0.82,0.62,0.62,0.65,0.72,.,.,.,.,0.75,0.78,0.72,0.72,0.70,0.72,0.72,0.68,0.65,0.62,0.62,.,.,.,.,.,.,.,.,0.75,0.72,0.68,0.68,.,.,.,.,0.70,0.75,0.70,0.78,0.75,0.62,0.62,0.62,0.68,.,0.60,0.70
Pseudomonas aeruginosa,.,.,.,.,0.85,0.88,.,.,.,.,.,0.82,0.80,.,0.82,0.85,.,0.85,.,.,.,.,0.85,0.80,0.78,0.88,0.88,0.88,0.88,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.78,.,0.82,0.72,0.72,0.68,0.72,.,0.60,0.70
Stenotrophomonas maltophilia,.,.,.,.,.,.,.,.,.,.,.,0.90,.,.,.,.,.,.,.,.,.,.,.,.,.,0.88,0.82,0.80,0.85,0.88,0.80,0.72,.,.,.,.,.,.,.,.,.,0.68,0.85,.,0.96,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.60,.
Staphylococcus aureus,.,.,.,.,0.88,0.88,0.78,0.75,0.80,0.80,0.80,.,0.78,0.68,0.78,0.78,0.78,.,0.78,0.75,0.78,0.80,0.78,0.78,0.78,0.78,0.78,0.75,0.78,0.72,0.70,0.68,0.68,0.60,0.60,0.62,0.62,0.60,0.60,0.60,0.62,0.75,0.72,.,.,0.65,0.68,.,.,0.78,0.78,0.75,0.78,0.75,.,.,0.78,.,0.75,.,.
Staphylococcus epidermidis,.,.,.,.,0.94,0.94,0.92,0.92,0.94,.,0.70,.,0.88,0.60,0.88,0.88,0.88,.,0.88,0.88,0.88,0.88,0.78,0.78,0.72,0.85,0.82,0.82,0.85,0.75,0.70,0.68,.,0.60,.,0.55,0.55,0.55,0.55,0.55,0.60,0.78,0.70,.,0.68,0.62,0.70,.,.,0.68,0.78,0.88,0.78,0.82,.,.,0.82,.,0.94,.,.
Streptococcus pneumoniae,.,0.72,0.72,0.72,0.70,0.70,0.72,0.70,0.68,0.62,0.62,0.72,0.70,0.62,0.60,0.60,0.60,0.62,0.78,0.75,0.78,0.80,.,.,.,0.65,0.62,0.62,0.65,0.68,0.65,0.62,0.62,0.60,0.60,0.60,0.60,0.60,0.60,0.60,0.62,0.75,0.70,.,.,.,.,.,.,0.68,0.70,0.68,0.72,0.70,0.60,0.60,0.60,.,0.70,.,.
Salmonella enterica serovar typhi,0.62,.,0.82,0.82,0.72,0.72,0.78,0.78,0.75,0.65,0.65,0.68,0.70,0.72,0.62,0.62,0.62,0.70,.,.,.,.,0.72,0.75,0.70,0.75,0.72,0.75,0.75,0.70,0.68,0.65,0.65,.,.,.,.,.,.,.,.,0.78,0.75,.,.,.,.,.,.,0.70,0.68,0.65,0.70,0.72,0.62,0.62,0.62,0.68,0.78,0.60,0.70
Salmonella enterica serovar paratyphi a,0.62,.,0.82,0.82,0.72,0.72,0.78,0.78,0.75,0.65,0.65,0.68,0.70,0.72,0.62,0.62,0.62,0.70,.,.,.,.,0.72,0.75,0.70,0.75,0.72,0.75,0.75,0.70,0.68,0.65,0.65,.,.,.,.,.,.,.,.,0.78,0.75,.,.,.,.,.,.,0.70,0.68,0.65,0.70,0.72,0.62,0.62,0.62,0.68,0.78,0.60,0.70
Invasive non-typhoidal Salmonella spp.,0.62,.,0.85,0.85,0.72,0.75,0.78,0.78,0.75,0.68,0.68,0.70,0.72,0.75,0.62,0.62,0.62,0.70,.,.,.,.,0.72,0.75,0.70,0.78,0.75,0.78,0.78,0.70,0.68,0.65,0.65,.,.,.,.,.,.,.,.,0.78,0.75,.,.,.,.,.,.,0.70,0.68,0.65,0.70,0.72,0.62,0.62,0.62,0.68,0.78,0.60,0.70
Shigella spp.,0.68,.,0.88,0.88,0.78,0.78,0.80,0.80,0.78,0.72,0.72,0.75,0.72,0.78,0.65,0.65,0.65,0.75,0.72,0.80,0.75,0.78,0.72,0.72,0.70,0.88,0.85,0.88,0.88,0.75,0.72,0.70,0.70,.,.,.,.,.,.,.,.,0.78,0.75,.,.,.,.,.,.,0.72,0.72,0.70,0.78,0.78,0.62,0.62,0.62,0.68,0.80,0.60,0.70
Neisseria gonorrhoeae,.,0.80,0.82,0.82,0.84,0.84,0.88,0.88,0.84,0.65,0.65,0.68,0.65,0.70,0.68,0.68,0.68,0.65,0.88,0.85,0.88,.,0.90,0.90,0.88,0.99,0.99,0.99,0.99,0.94,0.92,0.90,0.90,.,.,.,.,.,.,.,.,0.94,0.90,.,.,.,.,.,.,0.80,0.80,0.82,0.82,0.84,0.68,0.68,0.68,.,0.88,0.60,0.70
Streptococcus pyogenes,.,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.58,0.57,0.55,0.55,0.55,0.55,0.55,0.88,0.85,0.88,0.90,.,.,.,0.58,0.58,0.58,0.58,0.72,0.70,0.68,0.68,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.58,0.68,0.62,.,.,.,.,.,.,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,.,0.55,.,.
Streptococcus agalactiae,.,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.58,0.57,0.55,0.55,0.55,0.55,0.55,0.88,0.85,0.88,0.90,.,.,.,0.58,0.58,0.58,0.58,0.75,0.72,0.70,0.70,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.58,0.68,0.62,.,.,.,.,.,.,0.55,0.55,0.55,0.55,0.55,0.55,0.55,0.55,.,0.55,.,.
Haemophilus influenzae,.,0.78,0.78,0.75,0.70,0.72,0.78,0.78,0.75,0.62,0.62,0.65,0.65,0.68,0.60,0.60,0.60,0.65,0.72,0.70,0.72,.,0.70,0.68,0.65,0.65,0.62,0.62,0.65,0.68,0.65,0.62,0.62,.,.,.,.,.,.,.,.,0.68,0.65,.,.,.,.,.,.,0.65,0.60,0.68,0.62,0.60,0.60,0.60,0.60,.,0.78,0.60,0.70
Chlamydia trachomatis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.62,0.60,0.62,0.68,.,.,.,0.62,0.60,0.60,0.62,0.60,0.60,0.60,0.60,.,.,.,.,.,.,.,.,.,0.62,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Vibrio cholerae,0.62,0.62,0.68,0.68,0.65,0.65,0.68,0.68,0.65,0.62,0.62,0.62,0.62,0.65,0.60,0.60,0.60,0.62,0.68,0.65,0.68,.,0.65,0.62,0.60,0.65,0.62,0.62,0.65,0.60,0.60,0.60,0.60,.,.,.,.,.,.,.,.,0.62,0.62,.,.,.,.,.,.,0.62,0.62,0.60,0.68,0.65,0.60,0.60,0.60,0.62,0.68,0.60,0.70
Neisseria meningitidis,.,0.62,0.62,0.62,0.65,0.65,0.62,0.62,0.62,0.60,0.60,0.60,0.60,0.62,0.60,0.60,0.60,0.60,0.70,0.68,0.70,.,0.65,0.65,0.65,0.62,0.60,0.60,0.62,0.62,0.60,0.60,0.60,.,.,.,.,.,.,.,.,0.65,0.62,.,.,.,.,.,.,0.62,0.62,0.62,0.62,0.65,0.60,0.60,0.60,.,0.62,0.60,0.70
Listeria monocytogenes,.,0.62,0.60,0.60,0.62,0.65,.,.,.,.,.,.,.,.,0.62,0.62,0.62,.,0.65,0.62,0.65,.,.,.,.,0.62,0.60,0.60,0.62,0.65,0.62,0.60,0.60,.,.,.,.,.,.,.,.,0.60,0.62,.,.,.,.,.,.,0.62,0.60,0.60,0.65,0.62,0.62,0.62,0.62,.,.,.,.
Clostridioides difficile,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.62,0.62,0.62,0.60,.,.,.,.,.,.,.,0.62,0.62,0.62,0.62,0.60,0.60,0.62,0.62,0.62,0.62,0.62,.,.,.,.,.,.,.,0.60,.,.,.,.,.,.,.,.,.,.,.,.,.
Campylobacter jejuni,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.75,0.72,0.75,0.78,0.78,0.78,0.75,0.94,0.92,0.92,0.94,0.80,0.78,0.75,0.75,.,.,.,.,.,.,.,.,.,0.72,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.60,0.70
Enterobacter cloacae,0.68,.,0.88,0.88,0.75,0.78,0.88,0.88,0.82,0.92,0.92,0.78,0.75,0.92,0.65,0.65,0.68,0.78,.,.,.,.,0.72,0.75,0.70,0.75,0.72,0.75,0.75,0.70,0.68,0.65,0.65,.,.,.,.,.,.,.,.,0.75,0.72,0.70,0.70,.,.,.,.,0.70,0.72,0.70,0.88,0.78,0.65,0.65,0.62,0.68,0.88,0.60,0.70
Yersinia enterocolitica,0.68,.,0.72,0.72,0.70,0.72,0.75,0.75,0.72,0.62,0.62,0.65,0.62,0.68,0.60,0.60,0.60,0.65,.,.,.,.,0.65,0.62,0.60,0.62,0.60,0.60,0.62,0.62,0.60,0.60,0.60,.,.,.,.,.,.,.,.,0.60,0.62,.,.,.,.,.,.,0.62,0.60,0.60,0.65,0.62,0.60,0.60,0.60,0.62,0.75,0.60,0.70
Moraxella catarrhalis,.,0.70,0.70,0.70,0.62,0.65,0.68,0.65,0.62,0.60,0.60,0.60,0.60,0.62,0.60,0.60,0.60,0.60,0.68,0.65,0.68,.,.,.,.,0.60,0.60,0.60,0.60,0.62,0.62,0.62,0.62,.,.,.,.,.,.,.,.,0.62,0.60,.,.,.,.,.,.,0.62,0.60,0.60,0.68,0.62,0.60,0.60,0.60,.,0.65,0.60,0.70
Treponema pallidum,.,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.53,0.92,0.94,0.92,.,.,.,.,0.62,0.60,0.60,0.62,0.62,0.60,0.58,0.58,.,.,.,.,.,.,.,.,.,0.58,.,.,.,.,.,.,.,0.53,0.53,0.53,0.53,0.53,0.53,0.53,.,0.53,.,.
Bordetella pertussis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.62,0.60,0.62,.,0.68,0.68,0.68,0.65,0.62,0.62,0.65,0.65,0.62,0.60,0.60,.,.,.,.,.,.,.,.,0.68,0.65,.,.,.,.,.,.,0.62,.,.,.,.,.,.,.,.,.,0.60,0.70
Helicobacter pylori,.,.,0.80,0.78,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.90,0.88,0.90,.,.,.,.,0.80,0.78,0.80,0.80,0.75,0.72,0.68,0.68,.,.,.,.,.,.,.,.,.,0.72,.,.,.,.,0.88,.,.,0.78,.,0.80,.,.,.,.,.,.,0.01,0.04
mdr Mycobacterium tuberculosis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.82,0.82,0.82,0.82,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.92,.,.,.,.,.,.,.,.,.,.,.
Bacteroides fragilis,.,0.96,0.96,0.9,0.72,0.72,0.82,0.82,0.85,0.88,0.88,0.88,0.82,0.7,0.15,0.15,0.2,0.8,.,.,.,0.65,0.85,0.85,0.8,0.6,0.6,0.6,0.6,0.7,0.68,0.65,0.65,.,.,.,.,.,.,.,.,0.45,0.35,.,.,.,.,0.05,.,0.05,0.75,0.5,0.6,0.6,0.25,0.25,0.1,0.9,0.82,0.60,0.70
Mycoplasma genitalium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.75,0.75,0.75,0.45,.,.,.,0.7,0.7,0.7,0.7,0.45,0.45,0.4,0.4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Mycoplasma pneumoniae,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.70,0.70,0.70,.,.,.,.,0.58,0.58,0.58,.,0.55,0.55,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Burkholderia cepacia complex,.,.,.,.,.,.,.,.,.,.,.,0.68,.,.,0.62,.,.,.,.,.,.,.,.,.,.,.,0.70,.,.,.,.,0.60,.,.,.,.,.,.,.,.,.,0.62,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Providencia stuartii,0.45,.,0.85,0.85,0.78,0.78,0.78,0.78,0.75,0.7,0.7,0.75,0.7,0.78,0.35,0.35,0.4,0.7,.,.,.,.,0.75,0.78,0.68,0.75,0.72,0.72,0.72,0.6,0.58,0.55,0.55,.,.,.,.,.,.,.,.,0.7,0.45,0.3,0.3,.,.,.,.,.,0.65,0.55,0.6,0.6,0.45,0.45,0.3,0.95,0.78,0.60,0.70
