Bacteria,sulfanilamide,penicillin_g,ampicillin,amoxicillin,piperacillin,ticarcillin,cephalexin,cefazolin,cefuroxime,ceftriaxone,ceftazidime,cefepime,ceftaroline,ceftolozane_tazobactam,cefiderocol,meropenem,imipenem_c,ertapenem,aztreonam,erythromycin,azithromycin,clarithromycin,clindamycin,gentamicin,tobramycin,amikacin,ciprofloxacin,levofloxacin,moxifloxacin,ofloxacin,tetracycline,doxycycline,minocycline,tigecycline,vancomycin,teicoplanin,dalbavancin,linezolid,tedizolid,daptomycin,quinu_dalfo,trim_sulf,chloramphenicol,nitrofurantoin,fosfomycin,retapamulin,fusidic_a,metronidazole,fidaxomicin,furazolidone,rifampicin,amoxicillin_clavulanate,piperacillin_tazobactam,ampicillin_sulbactam,ticarcillin_clavulanate,ceftazidime_avibactam,meropenem_vaborbactam,colistin,flucloxacillin,aztreonam_avibactam,cefixime
p_stuartii,0.100000,0.050000,0.050000,0.050000,0.350000,0.300000,0.100000,0.100000,0.200000,0.450000,0.750000,0.850000,0.200000,.,.,0.900000,0.900000,0.850000,0.650000,0.050000,0.050000,0.050000,0.050000,0.450000,0.500000,0.750000,0.550000,0.600000,0.600000,0.550000,0.200000,0.300000,0.350000,.,0.050000,0.050000,0.050000,0.050000,0.050000,.,0.050000,0.300000,0.250000,0.050000,.,0.050000,0.050000,0.050000,.,0.050000,0.100000,0.200000,0.750000,0.200000,0.450000,0.900000,0.950000,0.050000,0.050000,0.650000,0.450000
pseudomonas_aeruginosa,0.100000,0.050000,0.050000,0.050000,0.800000,0.700000,0.050000,0.050000,0.100000,0.100000,0.850000,0.900000,0.100000,.,.,0.900000,0.850000,0.100000,0.800000,0.000000,0.000000,0.000000,0.000000,0.850000,0.900000,0.900000,0.900000,0.800000,0.500000,0.700000,0.100000,0.100000,0.100000,.,0.000000,0.000000,0.000000,0.000000,0.000000,.,0.000000,0.100000,0.100000,0.050000,.,0.000000,0.000000,0.000000,.,0.050000,0.100000,0.050000,0.900000,0.050000,0.800000,0.950000,0.900000,0.850000,0.050000,0.800000,0.100000
stenotrophomonas_maltophilia,0.600000,0.050000,0.050000,0.050000,0.200000,0.250000,0.050000,0.050000,0.050000,0.050000,0.350000,0.150000,0.050000,.,.,0.050000,0.050000,0.050000,0.100000,0.050000,0.050000,0.050000,0.050000,0.100000,0.100000,0.100000,0.400000,0.750000,0.800000,0.600000,0.350000,0.600000,0.850000,.,0.050000,0.050000,0.050000,0.050000,0.050000,.,0.050000,0.950000,0.400000,0.050000,.,0.050000,0.050000,0.050000,.,0.050000,0.200000,0.050000,0.300000,0.050000,0.700000,0.400000,0.050000,0.050000,0.050000,0.100000,0.050000
staphylococcus_aureus,0.100000,0.950000,0.100000,0.100000,0.700000,0.600000,0.800000,0.850000,0.700000,0.700000,0.100000,0.600000,0.950000,.,.,0.700000,0.700000,0.700000,0.000000,0.800000,0.800000,0.800000,0.800000,0.700000,0.700000,0.700000,0.700000,0.700000,0.800000,0.700000,0.800000,0.850000,0.850000,.,0.950000,0.900000,0.900000,0.900000,0.900000,.,0.850000,0.700000,0.800000,0.100000,.,0.900000,0.850000,0.100000,.,0.100000,0.800000,0.850000,0.700000,0.800000,0.600000,0.100000,0.700000,0.000000,0.850000,0.000000,0.700000
staphylococcus_epidermidis,0.100000,0.150000,0.150000,0.150000,0.200000,0.200000,0.200000,0.200000,0.200000,0.250000,0.100000,0.150000,0.750000,.,.,0.400000,0.500000,0.400000,0.050000,0.450000,0.500000,0.500000,0.600000,0.600000,0.650000,0.700000,0.500000,0.550000,0.600000,0.500000,0.500000,0.750000,0.800000,.,0.950000,0.950000,0.950000,0.950000,0.950000,.,0.900000,0.750000,0.600000,0.200000,.,0.800000,0.850000,0.050000,.,0.050000,0.900000,0.200000,0.400000,0.200000,0.250000,0.100000,0.400000,0.050000,0.200000,0.050000,0.250000
streptococcus_pneumoniae,0.100000,0.950000,0.950000,0.950000,0.900000,0.900000,0.850000,0.900000,0.900000,0.950000,0.700000,0.800000,0.950000,.,.,0.950000,0.950000,0.950000,0.000000,0.800000,0.850000,0.850000,0.800000,0.100000,0.100000,0.100000,0.900000,0.950000,0.950000,0.900000,0.800000,0.850000,0.850000,.,0.950000,0.900000,0.900000,0.900000,0.900000,.,0.850000,0.700000,0.800000,0.100000,.,0.100000,0.100000,0.100000,.,0.100000,0.800000,0.950000,0.900000,0.950000,0.900000,0.950000,0.950000,0.000000,0.900000,0.000000,0.950000
salmonella_enterica_serovar_typhi,0.700000,0.100000,0.800000,0.800000,0.850000,0.800000,0.700000,0.750000,0.800000,0.950000,0.900000,0.900000,0.700000,.,.,0.950000,0.950000,0.950000,0.900000,0.100000,0.100000,0.100000,0.000000,0.850000,0.800000,0.900000,0.900000,0.850000,0.700000,0.800000,0.800000,0.850000,0.850000,.,0.000000,0.000000,0.000000,0.000000,0.000000,.,0.000000,0.900000,0.850000,0.100000,.,0.000000,0.000000,0.000000,.,0.100000,0.700000,0.900000,0.950000,0.900000,0.900000,0.950000,0.950000,0.700000,0.050000,0.900000,0.950000
salmonella_enterica_serovar_paratyphi_a,0.700000,0.100000,0.800000,0.800000,0.850000,0.800000,0.700000,0.750000,0.800000,0.950000,0.900000,0.900000,0.700000,.,.,0.950000,0.950000,0.950000,0.900000,0.100000,0.100000,0.100000,0.000000,0.850000,0.800000,0.900000,0.900000,0.850000,0.700000,0.800000,0.800000,0.850000,0.850000,.,0.000000,0.000000,0.000000,0.000000,0.000000,.,0.000000,0.900000,0.850000,0.100000,.,0.000000,0.000000,0.000000,.,0.100000,0.700000,0.900000,0.950000,0.900000,0.900000,0.950000,0.950000,0.700000,0.050000,0.900000,0.950000
invasive_non-typhoidal_salmonella_spp.,0.700000,0.100000,0.800000,0.800000,0.850000,0.800000,0.700000,0.750000,0.800000,0.950000,0.900000,0.900000,0.700000,.,.,0.950000,0.950000,0.950000,0.900000,0.100000,0.100000,0.100000,0.100000,0.850000,0.800000,0.900000,0.900000,0.850000,0.700000,0.800000,0.800000,0.850000,0.850000,.,0.100000,0.100000,0.100000,0.100000,0.100000,.,0.100000,0.900000,0.850000,0.100000,.,0.050000,0.050000,0.000000,.,0.100000,0.700000,0.900000,0.950000,0.900000,0.900000,0.950000,0.950000,0.700000,0.050000,0.900000,0.950000
shigella_spp.,0.500000,0.100000,0.700000,0.700000,0.750000,0.700000,0.600000,0.650000,0.700000,0.900000,0.850000,0.850000,0.600000,.,.,0.900000,0.900000,0.900000,0.800000,0.700000,0.850000,0.750000,0.000000,0.800000,0.750000,0.850000,0.950000,0.900000,0.800000,0.900000,0.800000,0.850000,0.850000,.,0.000000,0.000000,0.000000,0.000000,0.000000,.,0.000000,0.900000,0.850000,0.100000,.,0.000000,0.000000,0.000000,.,0.100000,0.700000,0.800000,0.850000,0.800000,0.850000,0.900000,0.900000,0.700000,0.050000,0.800000,0.900000
neisseria_gonorrhoeae,0.100000,0.900000,0.850000,0.850000,0.800000,0.800000,0.700000,0.750000,0.850000,0.950000,0.900000,0.900000,0.800000,.,.,0.900000,0.900000,0.900000,0.900000,0.700000,0.700000,0.700000,0.000000,0.700000,0.700000,0.700000,0.900000,0.850000,0.800000,0.850000,0.800000,0.900000,0.850000,.,0.000000,0.000000,0.000000,0.000000,0.000000,.,0.000000,0.700000,0.800000,0.100000,.,0.000000,0.000000,0.000000,.,0.100000,0.700000,0.850000,0.850000,0.800000,0.800000,0.900000,0.900000,0.050000,0.050000,0.900000,0.950000
streptococcus_pyogenes,0.100000,1.000000,0.950000,0.950000,0.900000,0.900000,0.900000,0.900000,0.950000,0.950000,0.700000,0.800000,0.950000,.,.,0.950000,0.950000,0.950000,0.000000,0.900000,0.900000,0.900000,0.850000,0.100000,0.100000,0.100000,0.800000,0.900000,0.900000,0.850000,0.800000,0.850000,0.850000,.,0.950000,0.900000,0.900000,0.900000,0.900000,.,0.850000,0.700000,0.800000,0.100000,.,0.100000,0.100000,0.100000,.,0.100000,0.800000,0.950000,0.900000,0.950000,0.900000,0.950000,0.950000,0.000000,0.900000,0.000000,0.950000
streptococcus_agalactiae,0.100000,0.950000,0.950000,0.950000,0.900000,0.900000,0.900000,0.900000,0.950000,0.950000,0.700000,0.800000,0.950000,.,.,0.950000,0.950000,0.950000,0.000000,0.800000,0.850000,0.850000,0.800000,0.100000,0.100000,0.100000,0.800000,0.900000,0.900000,0.850000,0.800000,0.850000,0.850000,.,0.950000,0.900000,0.900000,0.900000,0.900000,.,0.850000,0.700000,0.800000,0.100000,.,0.100000,0.100000,0.100000,.,0.100000,0.800000,0.950000,0.900000,0.950000,0.900000,0.950000,0.950000,0.000000,0.900000,0.000000,0.950000
haemophilus_influenzae,0.100000,0.700000,0.800000,0.900000,0.850000,0.800000,0.700000,0.750000,0.850000,0.950000,0.900000,0.900000,0.800000,.,.,0.950000,0.950000,0.950000,0.900000,0.700000,0.900000,0.850000,0.000000,0.700000,0.700000,0.700000,0.900000,0.850000,0.800000,0.850000,0.850000,0.850000,0.850000,.,0.000000,0.000000,0.000000,0.000000,0.000000,.,0.000000,0.850000,0.800000,0.100000,.,0.000000,0.000000,0.000000,.,0.100000,0.700000,0.900000,0.850000,0.900000,0.800000,0.950000,0.950000,0.050000,0.050000,0.900000,0.950000
chlamydia_trachomatis,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,.,.,0.100000,0.100000,0.100000,0.100000,0.800000,0.950000,0.900000,0.700000,0.100000,0.100000,0.100000,0.800000,0.850000,0.850000,0.800000,0.950000,0.950000,0.900000,.,0.100000,0.100000,0.100000,0.100000,0.100000,.,0.100000,0.100000,0.800000,0.100000,.,0.100000,0.100000,0.100000,.,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000
mycoplasma_genitalium,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,.,.,0.050000,0.050000,0.050000,0.050000,0.800000,0.900000,0.900000,0.200000,0.050000,0.050000,0.050000,0.300000,0.500000,0.850000,0.450000,0.400000,0.600000,0.700000,.,0.050000,0.050000,0.050000,0.050000,0.050000,.,0.050000,0.050000,0.200000,0.050000,.,0.050000,0.050000,0.050000,.,0.050000,0.100000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000
vibrio_cholerae,0.500000,0.700000,0.800000,0.800000,0.850000,0.800000,0.700000,0.750000,0.800000,0.900000,0.850000,0.850000,0.700000,.,.,0.900000,0.900000,0.900000,0.800000,0.700000,0.800000,0.750000,0.100000,0.850000,0.800000,0.850000,0.900000,0.850000,0.750000,0.850000,0.950000,0.950000,0.900000,.,0.100000,0.100000,0.100000,0.100000,0.100000,.,0.100000,0.800000,0.800000,0.100000,.,0.050000,0.050000,0.050000,.,0.100000,0.700000,0.850000,0.900000,0.850000,0.850000,0.900000,0.900000,0.700000,0.050000,0.800000,0.900000
neisseria_meningitidis,0.100000,0.950000,0.900000,0.900000,0.850000,0.800000,0.800000,0.850000,0.900000,0.950000,0.900000,0.900000,0.800000,.,.,0.950000,0.950000,0.950000,0.900000,0.700000,0.800000,0.750000,0.100000,0.700000,0.700000,0.700000,0.900000,0.850000,0.800000,0.850000,0.800000,0.800000,0.850000,.,0.100000,0.100000,0.100000,0.100000,0.100000,.,0.100000,0.700000,0.850000,0.100000,.,0.050000,0.050000,0.050000,.,0.100000,0.850000,0.900000,0.850000,0.900000,0.850000,0.950000,0.950000,0.050000,0.050000,0.900000,0.950000
listeria_monocytogenes,0.100000,0.700000,0.950000,0.950000,0.700000,0.600000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,.,.,0.700000,0.700000,0.700000,0.100000,0.800000,0.850000,0.800000,0.100000,0.100000,0.100000,0.100000,0.800000,0.850000,0.800000,0.800000,0.800000,0.850000,0.850000,.,0.100000,0.100000,0.100000,0.100000,0.100000,.,0.100000,0.900000,0.850000,0.100000,.,0.100000,0.100000,0.100000,.,0.100000,0.800000,0.700000,0.950000,0.600000,0.100000,0.700000,0.050000,,0.100000,0.100000,0.100000
clostridioides_difficile,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,.,.,0.100000,0.100000,0.100000,0.100000,0.700000,0.750000,0.700000,0.800000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.700000,0.700000,0.700000,.,0.950000,0.900000,0.900000,0.850000,0.850000,.,0.100000,0.100000,0.100000,0.100000,.,0.100000,0.100000,0.900000,.,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.050000,0.100000,0.100000,0.100000
bacteroides_fragilis,0.050000,0.100000,0.200000,0.250000,0.500000,0.400000,0.050000,0.050000,0.200000,0.200000,0.250000,0.250000,0.200000,.,.,0.950000,0.950000,0.950000,0.050000,0.050000,0.050000,0.050000,0.600000,0.050000,0.050000,0.050000,0.250000,0.350000,0.500000,0.250000,0.300000,0.500000,0.500000,.,0.050000,0.050000,0.050000,0.050000,0.050000,.,0.050000,0.300000,0.700000,0.050000,.,0.050000,0.050000,0.950000,.,0.050000,0.200000,0.750000,0.850000,0.750000,0.800000,0.500000,0.950000,0.050000,0.050000,0.050000,0.200000
campylobacter_jejuni,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,.,.,0.100000,0.100000,0.100000,0.100000,0.850000,0.900000,0.850000,0.700000,0.700000,0.700000,0.700000,0.800000,0.750000,0.700000,0.750000,0.750000,0.800000,0.800000,.,0.100000,0.100000,0.100000,0.100000,0.100000,.,0.100000,0.100000,0.700000,0.100000,.,0.050000,0.050000,0.050000,.,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.050000,0.100000,0.100000,0.100000
enterobacter_cloacae,0.500000,0.100000,0.500000,0.500000,0.750000,0.700000,0.500000,0.500000,0.600000,0.400000,0.800000,0.850000,0.400000,.,.,0.950000,0.950000,0.900000,0.800000,0.100000,0.100000,0.100000,0.100000,0.850000,0.800000,0.900000,0.900000,0.850000,0.700000,0.800000,0.800000,0.850000,0.850000,.,0.100000,0.100000,0.100000,0.100000,0.100000,.,0.100000,0.850000,0.800000,0.700000,.,0.050000,0.050000,0.050000,.,0.100000,0.600000,0.700000,0.850000,0.700000,0.800000,0.900000,0.950000,0.700000,0.050000,0.800000,0.400000
yersinia_enterocolitica,0.500000,0.100000,0.700000,0.700000,0.750000,0.700000,0.600000,0.650000,0.700000,0.900000,0.850000,0.850000,0.600000,.,.,0.950000,0.950000,0.950000,0.850000,0.100000,0.100000,0.100000,0.100000,0.850000,0.800000,0.900000,0.900000,0.850000,0.700000,0.800000,0.800000,0.850000,0.850000,.,0.100000,0.100000,0.100000,0.100000,0.100000,.,0.100000,0.950000,0.850000,0.100000,.,0.050000,0.050000,0.050000,.,0.100000,0.700000,0.850000,0.850000,0.800000,0.800000,0.950000,0.950000,0.700000,0.050000,0.850000,0.900000
moraxella_catarrhalis,0.100000,0.900000,0.900000,0.900000,0.800000,0.800000,0.800000,0.850000,0.900000,0.950000,0.900000,0.900000,0.800000,.,.,0.950000,0.950000,0.950000,0.900000,0.800000,0.850000,0.800000,0.100000,0.100000,0.100000,0.100000,0.900000,0.850000,0.800000,0.850000,0.800000,0.800000,0.850000,.,0.100000,0.100000,0.100000,0.100000,0.100000,.,0.100000,0.950000,0.850000,0.100000,.,0.050000,0.050000,0.050000,.,0.100000,0.700000,0.950000,0.850000,0.950000,0.850000,0.950000,0.950000,0.050000,0.050000,0.900000,0.950000
treponema_pallidum,0.100000,1.000000,0.950000,0.950000,0.900000,0.900000,0.900000,0.900000,0.950000,0.950000,0.900000,0.900000,0.900000,.,.,0.950000,0.950000,0.950000,0.900000,0.800000,0.850000,0.800000,0.100000,0.100000,0.100000,0.100000,0.700000,0.750000,0.750000,0.700000,0.800000,0.800000,0.850000,.,0.100000,0.100000,0.100000,0.100000,0.100000,.,0.100000,0.100000,0.800000,0.100000,.,0.050000,0.050000,0.050000,.,0.100000,0.100000,0.950000,0.900000,0.950000,0.900000,0.950000,0.950000,0.050000,0.050000,0.900000,0.950000
bordetella_pertussis,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,.,.,0.100000,0.100000,0.100000,0.100000,0.900000,0.950000,0.900000,0.100000,0.700000,0.700000,0.700000,0.700000,0.750000,0.750000,0.700000,0.700000,0.750000,0.750000,.,0.100000,0.100000,0.100000,0.100000,0.100000,.,0.100000,0.700000,0.800000,0.100000,.,0.050000,0.050000,0.050000,.,0.100000,0.700000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.050000,0.100000,0.100000,0.100000
helicobacter_pylori,0.100000,0.100000,0.700000,0.850000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,0.100000,.,.,0.100000,0.100000,0.100000,0.100000,0.800000,0.850000,0.800000,0.100000,0.100000,0.100000,0.100000,0.700000,0.700000,0.750000,0.700000,0.800000,0.800000,0.850000,.,0.100000,0.100000,0.100000,0.100000,0.100000,.,0.100000,0.100000,0.700000,0.100000,.,0.050000,0.050000,0.800000,.,0.100000,0.100000,0.850000,0.100000,0.700000,0.100000,0.100000,0.100000,0.050000,0.100000,0.100000,0.100000
mdr_mycobacterium_tuberculosis,0.100000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,.,.,0.200000,0.200000,0.200000,0.200000,0.200000,0.250000,0.200000,0.200000,0.250000,0.250000,0.300000,0.400000,0.450000,0.450000,0.400000,0.300000,0.350000,0.350000,.,0.100000,0.100000,0.100000,0.100000,0.100000,.,0.100000,0.200000,0.200000,0.100000,.,0.100000,0.100000,0.100000,.,0.100000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.200000,0.200000,0.050000,0.200000,0.050000
mycoplasma_pneumoniae,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,.,.,0.050000,0.050000,0.050000,0.050000,0.800000,0.850000,0.800000,0.050000,0.050000,0.050000,0.050000,0.700000,0.750000,0.800000,0.600000,0.700000,0.750000,0.800000,.,0.050000,0.050000,0.050000,0.050000,0.050000,.,0.050000,0.050000,0.050000,0.050000,.,0.050000,0.050000,0.050000,.,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000
legionella_pneumophila,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,.,.,0.050000,0.050000,0.050000,0.800000,0.800000,0.900000,0.800000,0.050000,0.050000,0.050000,0.050000,0.900000,0.950000,0.900000,0.700000,0.800000,0.850000,0.900000,.,0.050000,0.050000,0.050000,0.050000,0.050000,.,0.050000,0.050000,0.050000,0.050000,.,0.050000,0.050000,0.050000,.,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.050000,0.800000,0.050000
burkholderia_cepacia_complex,0.100000,0.050000,0.050000,0.050000,0.600000,0.500000,0.050000,0.050000,0.100000,0.100000,0.700000,0.750000,0.100000,.,.,0.800000,0.800000,0.100000,0.100000,0.000000,0.000000,0.000000,0.000000,0.700000,0.650000,0.750000,0.600000,0.650000,0.600000,0.600000,0.600000,0.650000,0.700000,.,0.000000,0.000000,0.000000,0.000000,0.000000,.,0.000000,0.600000,0.700000,0.100000,.,0.000000,0.000000,0.000000,.,0.100000,0.500000,0.050000,0.650000,0.650000,0.600000,0.650000,0.750000,0.800000,0.050000,0.100000,0.100000
