parameter,region,initial_age_min_days,initial_age_max_days,configured_weight,baseline_effective_weight
demo_europe_age_20000_24000,europe,20000,24000,0.003,0.003
demo_europe_age_24000_28000,europe,24000,28000,0.002,0.002
demo_europe_age_28000_32000,europe,28000,32000,0.002,0.002
demo_north_america_age_neg40000_neg36000,north_america,-40000,-36000,0.012,0.012
demo_north_america_age_neg36000_neg32000,north_america,-36000,-32000,0.011,0.011
demo_north_america_age_neg32000_neg28000,north_america,-32000,-28000,0.01,0.01
demo_north_america_age_neg28000_neg24000,north_america,-28000,-24000,0.009,0.009
demo_north_america_age_neg24000_neg20000,north_america,-24000,-20000,0.008,0.008
demo_north_america_age_neg20000_neg16000,north_america,-20000,-16000,0.007,0.007
demo_north_america_age_neg16000_neg12000,north_america,-16000,-12000,0.006,0.006
demo_north_america_age_neg12000_neg8000,north_america,-12000,-8000,0.005,0.005
demo_north_america_age_neg8000_neg4000,north_america,-8000,-4000,0.004,0.004
demo_north_america_age_neg4000_0,north_america,-4000,0,0.003,0.0
demo_north_america_age_0_4000,north_america,0,4000,0.003,0.003
demo_north_america_age_4000_8000,north_america,4000,8000,0.003,0.003
demo_north_america_age_8000_12000,north_america,8000,12000,0.002,0.002
demo_north_america_age_12000_16000,north_america,12000,16000,0.002,0.002
demo_north_america_age_16000_20000,north_america,16000,20000,0.002,0.002
demo_north_america_age_20000_24000,north_america,20000,24000,0.002,0.002
demo_north_america_age_24000_28000,north_america,24000,28000,0.001,0.001
demo_north_america_age_28000_32000,north_america,28000,32000,0.001,0.001
demo_south_america_age_neg40000_neg36000,south_america,-40000,-36000,0.01,0.01
demo_south_america_age_neg36000_neg32000,south_america,-36000,-32000,0.009,0.009
demo_south_america_age_neg32000_neg28000,south_america,-32000,-28000,0.008,0.008
demo_south_america_age_neg28000_neg24000,south_america,-28000,-24000,0.007,0.007
demo_south_america_age_neg24000_neg20000,south_america,-24000,-20000,0.006,0.006
demo_south_america_age_neg20000_neg16000,south_america,-20000,-16000,0.005,0.005
demo_south_america_age_neg16000_neg12000,south_america,-16000,-12000,0.004,0.004
demo_south_america_age_neg12000_neg8000,south_america,-12000,-8000,0.004,0.004
demo_south_america_age_neg8000_neg4000,south_america,-8000,-4000,0.003,0.003
demo_south_america_age_neg4000_0,south_america,-4000,0,0.002,0.0
demo_south_america_age_0_4000,south_america,0,4000,0.002,0.002
demo_south_america_age_4000_8000,south_america,4000,8000,0.002,0.002
demo_south_america_age_8000_12000,south_america,8000,12000,0.001,0.001
demo_south_america_age_12000_16000,south_america,12000,16000,0.001,0.001
demo_south_america_age_16000_20000,south_america,16000,20000,0.001,0.001
demo_south_america_age_20000_24000,south_america,20000,24000,0.001,0.001
demo_south_america_age_24000_28000,south_america,24000,28000,0.001,0.001
demo_south_america_age_28000_32000,south_america,28000,32000,0.001,0.001
demo_oceania_age_neg40000_neg36000,oceania,-40000,-36000,0.004,0.004
demo_oceania_age_neg36000_neg32000,oceania,-36000,-32000,0.004,0.004
demo_oceania_age_neg32000_neg28000,oceania,-32000,-28000,0.003,0.003
demo_oceania_age_neg28000_neg24000,oceania,-28000,-24000,0.003,0.003
demo_oceania_age_neg24000_neg20000,oceania,-24000,-20000,0.003,0.003
demo_oceania_age_neg20000_neg16000,oceania,-20000,-16000,0.003,0.003
demo_oceania_age_neg16000_neg12000,oceania,-16000,-12000,0.002,0.002
demo_oceania_age_neg12000_neg8000,oceania,-12000,-8000,0.002,0.002
demo_oceania_age_neg8000_neg4000,oceania,-8000,-4000,0.002,0.002
demo_oceania_age_neg4000_0,oceania,-4000,0,0.001,0.0
demo_oceania_age_0_4000,oceania,0,4000,0.002,0.002
demo_oceania_age_4000_8000,oceania,4000,8000,0.002,0.002
demo_oceania_age_8000_12000,oceania,8000,12000,0.002,0.002
demo_oceania_age_12000_16000,oceania,12000,16000,0.001,0.001
demo_oceania_age_16000_20000,oceania,16000,20000,0.001,0.001
demo_oceania_age_20000_24000,oceania,20000,24000,0.001,0.001
demo_oceania_age_24000_28000,oceania,24000,28000,0.001,0.001
demo_oceania_age_28000_32000,oceania,28000,32000,0.001,0.001
