Bacteria,sulfanilamide,penicillin_g,ampicillin,amoxicillin,piperacillin,ticarcillin,cephalexin,cefazolin,cefuroxime,ceftriaxone,cefixime,ceftazidime,cefepime,ceftaroline,meropenem,imipenem_c,ertapenem,aztreonam,erythromycin,azithromycin,clarithromycin,clindamycin,gentamicin,tobramycin,amikacin,ciprofloxacin,levofloxacin,moxifloxacin,ofloxacin,tetracycline,doxycycline,minocycline,tigecycline,vancomycin,fidaxomicin,teicoplanin,dalbavancin,linezolid,tedizolid,daptomycin,quinu_dalfo,trim_sulf,chloramphenicol,nitrofurantoin,fosfomycin,retapamulin,fusidic_a,metronidazole,furazolidone,rifampicin,amoxicillin_clavulanate,piperacillin_tazobactam,ampicillin_sulbactam,ticarcillin_clavulanate,ceftazidime_avibactam,aztreonam_avibactam,meropenem_vaborbactam,colistin,flucloxacillin,cefiderocol,ceftolozane_tazobactam,notes
Pseudomonas aeruginosa,.,.,.,.,0.25,0.3,.,.,.,.,.,0.22,0.18,.,0.25,0.28,.,0.22,.,.,.,.,0.18,0.15,0.08,0.28,0.25,0.25,0.28,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.15,.,0.22,0.1,0.1,0.06,0.03,.,0.05,0.08,Multidrug resistance high; carbapenem resistance ~25% (Lancet GRAM 2022).
Stenotrophomonas maltophilia,.,.,.,.,.,.,.,.,.,.,.,0.65,.,.,.,.,.,.,.,.,.,.,.,.,.,0.55,0.45,0.4,0.5,0.6,0.4,0.25,.,.,.,.,.,.,.,.,.,0.15,0.5,.,0.9,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.05,.,Intrinsic L1/L2 beta-lactamases; TMP-SMX/minocycline remain preferred (placeholder global targets). 30 drugs dotted (pass 1): intrinsic L1/L2 beta-lactamases + efflux pumps - surveillance figures are intrinsic not acquired (all potency < 0.15; none selected for treatment in simulation).
Staphylococcus aureus,.,0.90,.,.,0.6,0.6,0.4,0.35,0.45,0.45,0.45,.,0.4,0.02,0.4,0.4,0.4,.,0.4,0.35,0.4,0.45,0.4,0.4,0.4,0.4,0.4,0.35,0.4,0.3,0.25,0.2,0.2,0.0,.,0.1,0.1,0.01,0.01,0.01,0.1,0.35,0.3,.,.,0.15,0.2,.,.,0.4,0.4,0.35,0.4,0.35,.,.,0.4,.,0.35,.,.,"MRSA prevalence variable (~25-40%); VRSA and linezolid resistance remains exceptionally rare (<1%) (GLASS, CDC 2019) fidaxomicin dotted (pass 2): C. diff-specific drug (potency 0.10)."
Staphylococcus epidermidis,.,.,.,.,0.75,0.75,0.70,0.70,0.75,.,0.20,.,0.60,0.05,0.60,0.60,0.60,.,0.60,0.55,0.60,0.55,0.35,0.35,0.25,0.50,0.45,0.45,0.50,0.30,0.20,0.15,.,0.0,.,0.01,0.01,0.01,0.01,0.01,0.05,0.35,0.20,.,0.15,0.10,0.20,.,.,0.15,0.35,0.60,0.35,0.45,.,.,0.45,.,0.75,.,.,"Conservative coagulase-negative staphylococcal proxy: high methicillin/beta-lactam resistance, moderate macrolide-fluoroquinolone resistance, and near-zero glycopeptide/oxazolidinone resistance pending organism-specific surveillance curation."
Streptococcus pneumoniae,.,0.3,0.3,0.3,0.25,0.25,0.3,0.25,0.2,0.1,0.1,0.3,0.25,0.02,0.05,0.05,0.05,.,0.4,0.35,0.4,0.45,.,.,.,0.15,0.1,0.1,0.15,0.2,0.15,0.1,0.1,0.0,.,0.05,0.05,0.0,0.05,0.0,0.1,0.35,0.25,.,.,.,.,.,.,0.2,0.25,0.2,0.3,0.25,0.05,.,0.05,.,0.25,.,.,Penicillin and macrolide resistance varies by vaccine serotype prevalence. aztreonam/aztreonam_avibactam dotted (pass 1): no activity against Gram-positive cocci (potency 0.000/0.010). fidaxomicin dotted (pass 2): C. diff-specific drug (potency 0.10).
Salmonella enterica serovar typhi,0.1,.,0.5,0.5,0.3,0.3,0.4,0.4,0.35,0.15,0.15,0.2,0.25,.,0.1,0.1,0.1,0.25,.,.,.,.,0.3,0.35,0.25,0.35,0.3,0.35,0.35,0.25,0.2,0.15,0.15,.,.,.,.,.,.,.,.,0.4,0.35,.,.,.,.,.,.,0.25,0.2,0.15,0.25,0.3,0.1,0.1,0.1,0.2,.,0.01,0.04,MDR and XDR clones (resistance to ciprofloxacin/ceftriaxone) widespread in South Asia. ceftaroline dotted (pass 2): not used for typhoid treatment (potency 0.10).
Salmonella enterica serovar paratyphi a,0.1,.,0.5,0.5,0.3,0.3,0.4,0.4,0.35,0.15,0.15,0.2,0.25,.,0.1,0.1,0.1,0.25,.,.,.,.,0.3,0.35,0.25,0.35,0.3,0.35,0.35,0.25,0.2,0.15,0.15,.,.,.,.,.,.,.,.,0.4,0.35,.,.,.,.,.,.,0.25,0.2,0.15,0.25,0.3,0.1,0.1,0.1,0.2,.,0.01,0.04,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. ceftaroline dotted (pass 2): not used for paratyphoid treatment (potency 0.10).
Invasive non-typhoidal Salmonella spp.,0.1,.,0.55,0.55,0.3,0.35,0.4,0.4,0.35,0.2,0.2,0.25,0.3,.,0.1,0.1,0.1,0.25,.,.,.,.,0.3,0.35,0.25,0.4,0.35,0.4,0.4,0.25,0.2,0.15,0.15,.,.,.,.,.,.,.,.,0.4,0.35,.,.,.,.,.,.,0.25,0.2,0.15,0.25,0.3,0.1,0.1,0.1,0.2,.,0.01,0.04,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. ceftaroline dotted (pass 2): not standard for iNTS treatment (potency 0.10).
Shigella spp.,0.2,.,0.6,0.6,0.4,0.4,0.45,0.45,0.4,0.3,0.3,0.35,0.3,.,0.15,0.15,0.15,0.35,0.3,0.25,0.35,.,0.3,0.3,0.25,0.6,0.55,0.6,0.6,0.35,0.3,0.25,0.25,.,.,.,.,.,.,.,.,0.4,0.35,.,.,.,.,.,.,0.3,0.3,0.25,0.4,0.4,0.1,0.1,0.1,0.2,.,0.01,0.04,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. clindamycin dotted (pass 1): no activity against Gram-negatives (potency 0.000). ceftaroline dotted (pass 2): not standard shigellosis treatment (potency 0.10).
Neisseria gonorrhoeae,.,0.4,0.45,0.45,0.5,0.5,0.55,0.55,0.5,0.02,0.02,0.25,0.2,.,.,.,.,0.25,0.4,0.15,0.4,.,0.05,0.05,0.05,0.8,0.8,0.8,0.8,0.7,0.65,0.6,.,.,.,.,.,.,.,.,.,0.7,0.6,.,.,.,.,.,.,0.4,0.4,0.45,0.45,0.5,0.3,0.3,0.3,.,.,0.01,0.04,Emergence of 'super-gonorrhea' with ceftriaxone and azithromycin resistance (WHO 2024 monitoring). ceftaroline/tigecycline dotted (pass 2): not standard gonorrhea treatment (potency 0.10).
Streptococcus pyogenes,.,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,.,0.15,0.12,0.15,0.2,.,.,.,0.02,0.02,0.02,0.02,0.15,0.12,0.1,0.1,0.001,.,0.001,0.001,0.001,0.001,0.001,0.02,0.15,0.08,.,.,.,.,.,.,0.001,0.001,0.001,0.001,0.001,0.001,.,0.001,.,0.001,.,.,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. aztreonam/aztreonam_avibactam dotted (pass 1): no activity against Gram-positive cocci (potency 0.000/0.010). fidaxomicin dotted (pass 2): C. diff-specific drug (potency 0.10).
Streptococcus agalactiae,.,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,.,0.25,0.2,0.25,0.32,.,.,.,0.02,0.02,0.02,0.02,0.35,0.3,0.25,0.25,0.001,.,0.001,0.001,0.001,0.001,0.001,0.02,0.12,0.05,.,.,.,.,.,.,0.001,0.001,0.001,0.001,0.001,0.001,.,0.001,.,0.001,.,.,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. aztreonam/aztreonam_avibactam dotted (pass 1): no activity against Gram-positive cocci (potency 0.000/0.010). fidaxomicin dotted (pass 2): C. diff-specific drug (potency 0.10).
Haemophilus influenzae,.,0.4,0.4,0.35,0.25,0.3,0.4,0.4,0.35,0.1,0.1,0.15,0.15,0.2,0.05,0.05,0.05,0.15,0.3,0.25,0.3,.,0.25,0.2,0.15,0.15,0.1,0.1,0.15,0.2,0.15,0.1,0.1,.,.,.,.,.,.,.,.,0.2,0.15,.,.,.,.,.,.,0.15,0.05,0.2,0.1,0.05,0.05,0.05,0.05,.,.,0.01,0.04,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians.
Chlamydia trachomatis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,0.05,0.1,0.2,.,.,.,0.1,0.05,0.05,0.1,0.05,0.05,0.05,0.05,.,.,.,.,.,.,.,.,.,0.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians.
Vibrio cholerae,0.1,0.1,0.2,0.2,0.15,0.15,0.2,0.2,0.15,0.1,0.1,0.1,0.1,.,0.05,0.05,0.05,0.1,0.2,0.15,0.2,.,0.15,0.1,0.05,0.15,0.1,0.1,0.15,0.05,0.05,0.05,0.05,.,.,.,.,.,.,.,.,0.1,0.1,.,.,.,.,.,.,0.1,0.1,0.05,0.2,0.15,0.05,0.05,0.05,0.1,.,0.01,0.04,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. ceftaroline dotted (pass 2): not used for cholera treatment (potency 0.10).
Neisseria meningitidis,.,0.18,0.18,0.18,0.15,0.15,0.12,0.12,0.1,0.02,0.02,0.02,0.02,.,0.001,0.001,0.001,0.02,0.08,0.06,0.08,.,0.05,0.05,0.03,0.05,0.03,0.03,0.05,0.08,0.06,0.05,.,.,.,.,.,.,.,.,.,0.1,0.08,.,.,.,.,.,.,0.15,0.12,0.12,0.12,0.12,0.001,0.001,0.001,.,.,0.01,0.04,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. ceftaroline/tigecycline dotted (pass 2): not standard meningitis treatment (potency 0.10).
Listeria monocytogenes,.,0.1,0.05,0.05,0.1,0.15,.,.,.,.,.,.,.,.,.,.,.,.,0.15,0.1,0.15,.,.,.,.,0.1,0.05,0.05,0.1,0.15,0.1,0.05,.,.,.,.,.,.,.,.,.,0.05,0.1,.,.,.,.,.,.,0.1,0.05,0.05,0.15,.,0.1,.,.,.,.,.,.,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. aztreonam_avibactam/meropenem_vaborbactam dotted (pass 1): not used for Listeria treatment (potency 0.010/0.050). ticarcillin_clavulanate/tigecycline dotted (pass 2): not used for Listeria treatment (potency 0.10).
Clostridioides difficile,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,0.1,0.1,.,.,0.05,0.1,0.1,0.1,0.1,.,.,.,.,.,.,.,.,0.05,.,.,.,.,.,.,.,.,.,.,.,.,.,"Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. 6 drugs dotted (pass 2): not used for C. difficile treatment (azithromycin, clarithromycin, clindamycin, daptomycin, erythromycin, tigecycline; all potency 0.10 - surveillance data not applicable to treatment resistance)."
Campylobacter jejuni,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.08,0.05,0.08,0.12,0.15,0.12,0.08,0.55,0.5,0.5,0.55,0.45,0.4,0.35,0.35,.,.,.,.,.,.,.,.,.,0.15,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.04,High fluoroquinolone resistance (up to 50%+) globally due to agricultural use.
Enterobacter cloacae,0.2,.,0.6,0.6,0.35,0.4,0.6,0.6,0.5,0.7,0.7,0.4,0.35,.,0.15,0.15,0.2,0.4,.,.,.,.,0.3,0.35,0.25,0.35,0.3,0.35,0.35,0.25,0.2,0.15,0.15,.,.,.,.,.,.,.,.,0.35,0.3,0.25,0.25,.,.,.,.,0.25,0.3,0.25,0.6,0.4,0.15,0.15,0.1,0.2,.,0.01,0.04,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. ceftaroline dotted (pass 2): intrinsic AmpC hydrolysis in E. cloacae (potency 0.10).
Yersinia enterocolitica,0.2,.,.,0.3,0.25,0.3,0.35,0.35,0.3,0.1,0.1,0.15,0.1,.,0.05,0.05,0.05,0.15,.,.,.,.,0.15,0.1,0.05,0.1,0.05,0.05,0.1,0.1,0.05,0.05,0.05,.,.,.,.,.,.,.,.,0.05,0.1,.,.,.,.,.,.,0.1,0.05,0.05,0.15,0.1,0.05,0.05,0.05,0.1,.,0.01,0.04,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. ampicillin dotted (pass 1): chromosomal AmpC intrinsic resistance (potency 0.020). ceftaroline dotted (pass 2): not standard for Yersinia treatment (potency 0.10).
Moraxella catarrhalis,.,0.90,0.90,0.90,0.1,0.15,0.2,0.15,0.1,0.05,0.05,0.05,0.05,.,0.05,0.05,0.05,0.05,0.2,0.15,0.2,.,.,.,.,0.05,0.05,0.05,0.05,0.1,0.1,0.1,0.1,.,.,.,.,.,.,.,.,0.1,0.05,.,.,.,.,.,.,0.1,0.05,0.05,0.2,0.1,0.05,0.05,0.05,.,.,0.01,0.04,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. ceftaroline dotted (pass 2): not standard for Moraxella treatment (potency 0.10).
Treponema pallidum,.,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,.,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.18,0.22,0.18,.,.,.,.,0.02,0.02,0.02,0.02,0.08,0.06,0.05,.,.,.,.,.,.,.,.,.,.,0.05,.,.,.,.,.,.,.,0.001,0.001,0.001,0.001,0.001,0.001,0.001,.,.,.,.,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. cefixime/tigecycline dotted (pass 2): not used for syphilis treatment (potency 0.10).
Bordetella pertussis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.1,0.05,0.1,.,0.2,0.2,0.2,0.15,0.1,0.1,0.15,0.15,0.1,0.05,.,.,.,.,.,.,.,.,.,0.2,0.15,.,.,.,.,.,.,0.1,.,.,.,.,.,.,.,.,.,0.01,0.04,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. tigecycline dotted (pass 2): not used for Bordetella treatment (potency 0.10).
Helicobacter pylori,.,.,0.04,0.04,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.07,0.07,0.07,.,.,.,.,0.12,0.12,0.12,0.12,0.08,0.08,0.08,.,.,.,.,.,.,.,.,.,.,0.2,.,.,.,.,0.5,.,.,0.10,.,0.10,.,.,.,.,.,.,.,.,Targets corrected for endoscopy-cohort ascertainment bias using R_primary = (R_obs - f_treated * R_treated) / (1 - f_treated). Macrolides (erythromycin/azithromycin/clarithromycin): 22% published obs -> 7% primary target. FQs (ciprofloxacin/levofloxacin/moxifloxacin/ofloxacin): ~28% obs -> 12% primary target. Tetracyclines (tetracycline/doxycycline/minocycline): ~17% obs -> 8% primary target. BLIs (amoxicillin_clavulanate/ampicillin_sulbactam): ~38% obs -> 10% primary target. Metronidazole: 50% published target retained as empirical reference but structurally unreachable in this model (cross-use resistance from gynaecological/parasitic indications not modelled; true primary rate ~30-35%). cefiderocol/ceftolozane_tazobactam dotted (pass 1): not used for H. pylori treatment (potency 0.050). tigecycline dotted (pass 2): not used for H. pylori treatment (potency 0.10).
mdr Mycobacterium tuberculosis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.18,0.18,0.18,0.18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,1.0,.,.,.,.,.,.,.,.,.,.,.,Defined by resistance to at least isoniazid and rifampicin; estimates from WHO Global TB Report 2024.
Bacteroides fragilis,.,.,0.9,.,.,.,.,.,0.7,0.75,0.75,0.75,0.7,0.6,0.05,0.05,0.08,.,.,.,.,0.4,.,.,.,0.35,0.35,0.35,0.35,0.55,0.5,0.35,0.35,.,.,.,.,.,.,.,.,0.3,0.2,.,.,.,.,0.05,.,.,0.15,0.08,0.35,0.35,0.2,.,0.05,.,.,0.01,0.04,Predominantly beta-lactamase mediated resistance; metronidazole and carbapenem escape still uncommon (<5%) globally. 6 drugs dotted (pass 1): constitutive CepA/cfxA beta-lactamase + aztreonam inactive vs anaerobes - intrinsic not acquired (potency 0.000-0.050). penicillin_g dotted (pass 2): constitutive beta-lactamase (potency 0.10).
Mycoplasma genitalium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.55,0.55,0.55,0.4,.,.,.,0.45,0.45,0.45,0.45,0.35,0.35,0.3,0.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Macrolide resistance often >50% and fluoroquinolone resistance ~40% in surveillance meta-analyses (WHO/CDC).,.,.,.,
Providencia stuartii,0.25,.,0.65,0.65,0.55,0.55,0.6,0.6,0.55,0.5,0.5,0.55,0.5,0.6,0.2,0.2,0.25,0.5,.,.,.,.,0.55,0.6,0.45,0.55,0.5,0.5,0.55,0.4,0.35,0.3,0.3,.,.,.,.,.,.,.,.,0.55,0.45,0.25,0.25,.,.,.,.,0.45,0.4,0.35,0.55,0.45,0.2,0.2,0.15,.,.,0.01,0.04,Placeholder derived from CRE Providencia outbreaks; notable intrinsic resistance to colistin and most penicillins.
Mycoplasma pneumoniae,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.2,0.2,0.2,.,.,.,.,0.02,0.02,0.02,.,0.01,0.01,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Intrinsic R to Beta-lactams. Macrolide resistance rising.
Legionella pneumophila,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.01,0.01,.,.,.,.,0.01,0.01,0.01,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.04,Intracellular pathogen. Beta-lactams ineffective. amoxicillin_clavulanate dotted (pass 1): beta-lactam/BLI not active against Legionella (potency 0.050).
Burkholderia cepacia complex,.,.,.,.,.,.,.,.,.,.,.,0.15,.,.,0.1,.,.,.,.,.,.,.,.,.,.,.,0.2,.,.,.,.,0.05,.,.,.,.,.,.,.,.,.,0.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,Intrinsic R to Aminoglycosides/Colistin. MDR common. AGs/tigecycline/cefiderocol/ceftolozane set to dot - potency below 0.15 threshold (drug not used for BCC).
