bacteria,drug,potency_when_no_r
citrobacter_spp.,cefiderocol,0.8
citrobacter_spp.,meropenem,0.95
citrobacter_spp.,imipenem_c,0.95
citrobacter_spp.,ertapenem,0.9
citrobacter_spp.,aztreonam,0.85
citrobacter_spp.,erythromycin,0.1
citrobacter_spp.,azithromycin,0.1
citrobacter_spp.,clarithromycin,0.1
citrobacter_spp.,clindamycin,0.1
citrobacter_spp.,gentamicin,0.85
citrobacter_spp.,tobramycin,0.8
citrobacter_spp.,amikacin,0.9
citrobacter_spp.,ciprofloxacin,0.9
citrobacter_spp.,levofloxacin,0.85
citrobacter_spp.,moxifloxacin,0.7
citrobacter_spp.,ofloxacin,0.8
citrobacter_spp.,tetracycline,0.8
citrobacter_spp.,doxycycline,0.85
citrobacter_spp.,minocycline,0.85
citrobacter_spp.,tigecycline,0.55
citrobacter_spp.,vancomycin,0.1
citrobacter_spp.,teicoplanin,0.1
citrobacter_spp.,dalbavancin,0.1
citrobacter_spp.,linezolid,0.1
citrobacter_spp.,tedizolid,0.1
citrobacter_spp.,daptomycin,0.1
citrobacter_spp.,quinu_dalfo,0.1
citrobacter_spp.,trim_sulf,0.9
citrobacter_spp.,chloramphenicol,0.85
citrobacter_spp.,nitrofurantoin,0.8
citrobacter_spp.,fosfomycin,0.4
citrobacter_spp.,retapamulin,0.05
citrobacter_spp.,fusidic_a,0.05
citrobacter_spp.,metronidazole,0.05
citrobacter_spp.,fidaxomicin,0.1
citrobacter_spp.,furazolidone,0.1
citrobacter_spp.,rifampicin,0.7
citrobacter_spp.,amoxicillin_clavulanate,0.9
citrobacter_spp.,piperacillin_tazobactam,0.9
citrobacter_spp.,ampicillin_sulbactam,0.85
citrobacter_spp.,ticarcillin_clavulanate,0.8
citrobacter_spp.,ceftazidime_avibactam,0.9
citrobacter_spp.,meropenem_vaborbactam,0.95
citrobacter_spp.,colistin,0.7
citrobacter_spp.,flucloxacillin,0.01
citrobacter_spp.,aztreonam_avibactam,1
citrobacter_spp.,cefixime,0.8
citrobacter_spp.,nalidixic_acid,0.55
enterobacter_spp.,sulfanilamide,0.5
enterobacter_spp.,penicillin_g,0.1
enterobacter_spp.,ampicillin,0.1
enterobacter_spp.,amoxicillin,0.1
enterobacter_spp.,piperacillin,0.75
enterobacter_spp.,ticarcillin,0.7
enterobacter_spp.,cephalexin,0.1
enterobacter_spp.,cefazolin,0.1
enterobacter_spp.,cefuroxime,0.6
enterobacter_spp.,ceftriaxone,0.5
enterobacter_spp.,ceftazidime,0.8
enterobacter_spp.,cefepime,0.85
enterobacter_spp.,ceftaroline,0.1
enterobacter_spp.,ceftolozane_tazobactam,0.8
enterobacter_spp.,cefiderocol,0.8
enterobacter_spp.,meropenem,0.95
enterobacter_spp.,imipenem_c,0.95
enterobacter_spp.,ertapenem,0.9
enterobacter_spp.,aztreonam,0.8
enterobacter_spp.,erythromycin,0
enterobacter_spp.,azithromycin,0
enterobacter_spp.,clarithromycin,0
enterobacter_spp.,clindamycin,0
enterobacter_spp.,gentamicin,0.85
enterobacter_spp.,tobramycin,0.8
enterobacter_spp.,amikacin,0.9
enterobacter_spp.,ciprofloxacin,0.9
enterobacter_spp.,levofloxacin,0.85
enterobacter_spp.,moxifloxacin,0.7
enterobacter_spp.,ofloxacin,0.8
enterobacter_spp.,tetracycline,0.8
enterobacter_spp.,doxycycline,0.85
enterobacter_spp.,minocycline,0.85
enterobacter_spp.,tigecycline,0.55
enterobacter_spp.,vancomycin,0
enterobacter_spp.,teicoplanin,0
enterobacter_spp.,dalbavancin,0
enterobacter_spp.,linezolid,0
enterobacter_spp.,tedizolid,0
enterobacter_spp.,daptomycin,0.1
enterobacter_spp.,quinu_dalfo,0
enterobacter_spp.,trim_sulf,0.85
enterobacter_spp.,chloramphenicol,0.8
enterobacter_spp.,nitrofurantoin,0.7
enterobacter_spp.,fosfomycin,0.5
enterobacter_spp.,retapamulin,0
enterobacter_spp.,fusidic_a,0
enterobacter_spp.,metronidazole,0
enterobacter_spp.,fidaxomicin,0.1
enterobacter_spp.,furazolidone,0.1
enterobacter_spp.,rifampicin,0.6
enterobacter_spp.,amoxicillin_clavulanate,0.7
enterobacter_spp.,piperacillin_tazobactam,0.85
enterobacter_spp.,ampicillin_sulbactam,0.7
enterobacter_spp.,ticarcillin_clavulanate,0.8
enterobacter_spp.,ceftazidime_avibactam,0.9
enterobacter_spp.,meropenem_vaborbactam,0.95
enterobacter_spp.,colistin,0.7
enterobacter_spp.,flucloxacillin,0.01
enterobacter_spp.,aztreonam_avibactam,1
enterobacter_spp.,cefixime,0.8
enterobacter_spp.,nalidixic_acid,0.5
enterococcus_faecalis,sulfanilamide,0.1
enterococcus_faecalis,penicillin_g,0.8
enterococcus_faecalis,ampicillin,0.9
enterococcus_faecalis,amoxicillin,0.9
enterococcus_faecalis,piperacillin,0.75
enterococcus_faecalis,ticarcillin,0.7
enterococcus_faecalis,cephalexin,0.1
enterococcus_faecalis,cefazolin,0.1
enterococcus_faecalis,cefuroxime,0.1
enterococcus_faecalis,ceftriaxone,0.1
enterococcus_faecalis,ceftazidime,0.1
enterococcus_faecalis,cefepime,0.1
enterococcus_faecalis,ceftaroline,0.1
enterococcus_faecalis,ceftolozane_tazobactam,0.05
enterococcus_faecalis,cefiderocol,0.05
enterococcus_faecalis,meropenem,0.3
enterococcus_faecalis,imipenem_c,0.45
enterococcus_faecalis,ertapenem,0.1
enterococcus_faecalis,aztreonam,0
enterococcus_faecalis,erythromycin,0.7
enterococcus_faecalis,azithromycin,0.7
enterococcus_faecalis,clarithromycin,0.7
enterococcus_faecalis,clindamycin,0.7
enterococcus_faecalis,gentamicin,0.1
enterococcus_faecalis,tobramycin,0.1
enterococcus_faecalis,amikacin,0.1
enterococcus_faecalis,ciprofloxacin,0.7
enterococcus_faecalis,levofloxacin,0.7
enterococcus_faecalis,moxifloxacin,0.7
enterococcus_faecalis,ofloxacin,0.7
enterococcus_faecalis,tetracycline,0.8
enterococcus_faecalis,doxycycline,0.8
enterococcus_faecalis,minocycline,0.85
enterococcus_faecalis,tigecycline,0.65
enterococcus_faecalis,vancomycin,0.95
enterococcus_faecalis,teicoplanin,0.9
enterococcus_faecalis,dalbavancin,0.9
enterococcus_faecalis,linezolid,0.9
enterococcus_faecalis,tedizolid,0.9
enterococcus_faecalis,daptomycin,0.8
enterococcus_faecalis,quinu_dalfo,0.1
enterococcus_faecalis,trim_sulf,0.1
enterococcus_faecalis,chloramphenicol,0.8
enterococcus_faecalis,nitrofurantoin,0.9
enterococcus_faecalis,fosfomycin,0.6
enterococcus_faecalis,retapamulin,0.1
enterococcus_faecalis,fusidic_a,0.1
enterococcus_faecalis,metronidazole,0.1
enterococcus_faecalis,fidaxomicin,0.1
enterococcus_faecalis,furazolidone,0.1
enterococcus_faecalis,rifampicin,0.2
enterococcus_faecalis,amoxicillin_clavulanate,0.9
enterococcus_faecalis,piperacillin_tazobactam,0.75
enterococcus_faecalis,ampicillin_sulbactam,0.9
enterococcus_faecalis,ticarcillin_clavulanate,0.7
enterococcus_faecalis,ceftazidime_avibactam,0.1
enterococcus_faecalis,meropenem_vaborbactam,0.75
enterococcus_faecalis,colistin,0
enterococcus_faecalis,flucloxacillin,0.05
enterococcus_faecalis,aztreonam_avibactam,0.01
enterococcus_faecalis,cefixime,0.05
enterococcus_faecalis,nalidixic_acid,0
enterococcus_faecium,sulfanilamide,0.1
enterococcus_faecium,penicillin_g,0.1
enterococcus_faecium,ampicillin,0.3
enterococcus_faecium,amoxicillin,0.3
enterococcus_faecium,piperacillin,0.1
enterococcus_faecium,ticarcillin,0.1
enterococcus_faecium,cephalexin,0.1
enterococcus_faecium,cefazolin,0.1
enterococcus_faecium,cefuroxime,0.1
enterococcus_faecium,ceftriaxone,0.1
enterococcus_faecium,ceftazidime,0.1
enterococcus_faecium,cefepime,0.1
enterococcus_faecium,ceftaroline,0.1
enterococcus_faecium,ceftolozane_tazobactam,0.05
enterococcus_faecium,cefiderocol,0.05
enterococcus_faecium,meropenem,0.1
enterococcus_faecium,imipenem_c,0.1
enterococcus_faecium,ertapenem,0.1
enterococcus_faecium,aztreonam,0
enterococcus_faecium,erythromycin,0.7
enterococcus_faecium,azithromycin,0.7
enterococcus_faecium,clarithromycin,0.7
enterococcus_faecium,clindamycin,0.7
enterococcus_faecium,gentamicin,0.75
enterococcus_faecium,tobramycin,0.1
enterococcus_faecium,amikacin,0.1
enterococcus_faecium,ciprofloxacin,0.7
enterococcus_faecium,levofloxacin,0.7
enterococcus_faecium,moxifloxacin,0.7
enterococcus_faecium,ofloxacin,0.7
enterococcus_faecium,tetracycline,0.8
enterococcus_faecium,doxycycline,0.8
enterococcus_faecium,minocycline,0.85
enterococcus_faecium,tigecycline,0.65
enterococcus_faecium,vancomycin,0.9
enterococcus_faecium,teicoplanin,0.85
enterococcus_faecium,dalbavancin,0.85
enterococcus_faecium,linezolid,0.9
enterococcus_faecium,tedizolid,0.9
enterococcus_faecium,daptomycin,0.8
enterococcus_faecium,quinu_dalfo,0.7
enterococcus_faecium,trim_sulf,0.6
enterococcus_faecium,chloramphenicol,0.7
enterococcus_faecium,nitrofurantoin,0.6
enterococcus_faecium,fosfomycin,0.45
enterococcus_faecium,retapamulin,0.1
enterococcus_faecium,fusidic_a,0.1
enterococcus_faecium,metronidazole,0.1
enterococcus_faecium,fidaxomicin,0.1
enterococcus_faecium,furazolidone,0.1
enterococcus_faecium,rifampicin,0.2
enterococcus_faecium,amoxicillin_clavulanate,0.8
enterococcus_faecium,piperacillin_tazobactam,0.1
enterococcus_faecium,ampicillin_sulbactam,0.85
enterococcus_faecium,ticarcillin_clavulanate,0.1
enterococcus_faecium,ceftazidime_avibactam,0.1
enterococcus_faecium,meropenem_vaborbactam,0.1
enterococcus_faecium,colistin,0
enterococcus_faecium,flucloxacillin,0.05
enterococcus_faecium,aztreonam_avibactam,0.01
enterococcus_faecium,cefixime,0.05
enterococcus_faecium,nalidixic_acid,0
escherichia_coli,sulfanilamide,0.5
escherichia_coli,penicillin_g,0.1
escherichia_coli,ampicillin,0.8
escherichia_coli,amoxicillin,0.8
escherichia_coli,piperacillin,0.85
escherichia_coli,ticarcillin,0.8
escherichia_coli,cephalexin,0.7
escherichia_coli,cefazolin,0.75
escherichia_coli,cefuroxime,0.8
escherichia_coli,ceftriaxone,0.9
escherichia_coli,ceftazidime,0.9
escherichia_coli,cefepime,0.9
escherichia_coli,ceftaroline,0.65
escherichia_coli,ceftolozane_tazobactam,0.8
escherichia_coli,cefiderocol,0.8
escherichia_coli,meropenem,0.95
escherichia_coli,imipenem_c,0.95
escherichia_coli,ertapenem,0.95
escherichia_coli,aztreonam,0.9
escherichia_coli,erythromycin,0
escherichia_coli,azithromycin,0
escherichia_coli,clarithromycin,0
escherichia_coli,clindamycin,0
escherichia_coli,gentamicin,0.9
escherichia_coli,tobramycin,0.85
escherichia_coli,amikacin,0.9
escherichia_coli,ciprofloxacin,0.95
escherichia_coli,levofloxacin,0.9
escherichia_coli,moxifloxacin,0.8
escherichia_coli,ofloxacin,0.9
escherichia_coli,tetracycline,0.8
escherichia_coli,doxycycline,0.8
escherichia_coli,minocycline,0.85
escherichia_coli,tigecycline,0.6
escherichia_coli,vancomycin,0
escherichia_coli,teicoplanin,0
escherichia_coli,dalbavancin,0
escherichia_coli,linezolid,0
escherichia_coli,tedizolid,0
escherichia_coli,daptomycin,0.1
escherichia_coli,quinu_dalfo,0
escherichia_coli,trim_sulf,0.9
escherichia_coli,chloramphenicol,0.85
escherichia_coli,nitrofurantoin,0.95
escherichia_coli,fosfomycin,0.9
escherichia_coli,retapamulin,0
escherichia_coli,fusidic_a,0
escherichia_coli,metronidazole,0
escherichia_coli,fidaxomicin,0.1
escherichia_coli,furazolidone,0.1
escherichia_coli,rifampicin,0.7
escherichia_coli,amoxicillin_clavulanate,0.9
escherichia_coli,piperacillin_tazobactam,0.97
escherichia_coli,ampicillin_sulbactam,0.9
escherichia_coli,ticarcillin_clavulanate,0.9
escherichia_coli,ceftazidime_avibactam,0.95
escherichia_coli,meropenem_vaborbactam,0.95
escherichia_coli,colistin,0.7
escherichia_coli,flucloxacillin,0.01
escherichia_coli,aztreonam_avibactam,1
escherichia_coli,cefixime,0.8
escherichia_coli,nalidixic_acid,0.65
klebsiella_pneumoniae,sulfanilamide,0.5
klebsiella_pneumoniae,penicillin_g,0.1
klebsiella_pneumoniae,ampicillin,0.1
klebsiella_pneumoniae,amoxicillin,0.1
klebsiella_pneumoniae,piperacillin,0.8
klebsiella_pneumoniae,ticarcillin,0.75
klebsiella_pneumoniae,cephalexin,0.5
klebsiella_pneumoniae,cefazolin,0.5
klebsiella_pneumoniae,cefuroxime,0.7
klebsiella_pneumoniae,ceftriaxone,0.9
klebsiella_pneumoniae,ceftazidime,0.85
klebsiella_pneumoniae,cefepime,0.92
klebsiella_pneumoniae,ceftaroline,0.55
klebsiella_pneumoniae,ceftolozane_tazobactam,0.8
klebsiella_pneumoniae,cefiderocol,0.8
klebsiella_pneumoniae,meropenem,0.94
klebsiella_pneumoniae,imipenem_c,0.95
klebsiella_pneumoniae,ertapenem,0.94
klebsiella_pneumoniae,aztreonam,0.85
klebsiella_pneumoniae,erythromycin,0
klebsiella_pneumoniae,azithromycin,0
klebsiella_pneumoniae,clarithromycin,0
klebsiella_pneumoniae,clindamycin,0
klebsiella_pneumoniae,gentamicin,0.9
klebsiella_pneumoniae,tobramycin,0.85
klebsiella_pneumoniae,amikacin,0.9
klebsiella_pneumoniae,ciprofloxacin,0.9
klebsiella_pneumoniae,levofloxacin,0.85
klebsiella_pneumoniae,moxifloxacin,0.7
klebsiella_pneumoniae,ofloxacin,0.8
klebsiella_pneumoniae,tetracycline,0.8
klebsiella_pneumoniae,doxycycline,0.8
klebsiella_pneumoniae,minocycline,0.85
klebsiella_pneumoniae,tigecycline,0.6
klebsiella_pneumoniae,vancomycin,0
klebsiella_pneumoniae,teicoplanin,0
klebsiella_pneumoniae,dalbavancin,0
klebsiella_pneumoniae,linezolid,0
klebsiella_pneumoniae,tedizolid,0
klebsiella_pneumoniae,daptomycin,0.1
klebsiella_pneumoniae,quinu_dalfo,0
klebsiella_pneumoniae,trim_sulf,0.9
klebsiella_pneumoniae,chloramphenicol,0.85
klebsiella_pneumoniae,nitrofurantoin,0.05
klebsiella_pneumoniae,fosfomycin,0.55
klebsiella_pneumoniae,retapamulin,0
klebsiella_pneumoniae,fusidic_a,0
klebsiella_pneumoniae,metronidazole,0
klebsiella_pneumoniae,fidaxomicin,0.1
klebsiella_pneumoniae,furazolidone,0.1
klebsiella_pneumoniae,rifampicin,0.6
klebsiella_pneumoniae,amoxicillin_clavulanate,0.85
klebsiella_pneumoniae,piperacillin_tazobactam,0.92
klebsiella_pneumoniae,ampicillin_sulbactam,0.75
klebsiella_pneumoniae,ticarcillin_clavulanate,0.75
klebsiella_pneumoniae,ceftazidime_avibactam,0.95
klebsiella_pneumoniae,meropenem_vaborbactam,0.95
klebsiella_pneumoniae,colistin,0.7
klebsiella_pneumoniae,flucloxacillin,0.01
klebsiella_pneumoniae,aztreonam_avibactam,1
klebsiella_pneumoniae,cefixime,0.8
klebsiella_pneumoniae,nalidixic_acid,0.55
morganella_spp.,sulfanilamide,0.5
morganella_spp.,penicillin_g,0.1
morganella_spp.,ampicillin,0.5
morganella_spp.,amoxicillin,0.5
morganella_spp.,piperacillin,0.75
morganella_spp.,ticarcillin,0.7
morganella_spp.,cephalexin,0.5
morganella_spp.,cefazolin,0.5
morganella_spp.,cefuroxime,0.6
morganella_spp.,ceftriaxone,0.8
morganella_spp.,ceftazidime,0.8
morganella_spp.,cefepime,0.85
morganella_spp.,ceftaroline,0.1
morganella_spp.,ceftolozane_tazobactam,0.8
morganella_spp.,cefiderocol,0.8
morganella_spp.,meropenem,0.95
morganella_spp.,imipenem_c,0.95
morganella_spp.,ertapenem,0.9
morganella_spp.,aztreonam,0.8
morganella_spp.,erythromycin,0.1
morganella_spp.,azithromycin,0.1
morganella_spp.,clarithromycin,0.1
morganella_spp.,clindamycin,0.1
morganella_spp.,gentamicin,0.85
morganella_spp.,tobramycin,0.8
morganella_spp.,amikacin,0.9
morganella_spp.,ciprofloxacin,0.9
morganella_spp.,levofloxacin,0.85
morganella_spp.,moxifloxacin,0.7
morganella_spp.,ofloxacin,0.8
morganella_spp.,tetracycline,0.1
morganella_spp.,doxycycline,0.1
morganella_spp.,minocycline,0.1
morganella_spp.,tigecycline,0.1
morganella_spp.,vancomycin,0.1
morganella_spp.,teicoplanin,0.1
morganella_spp.,dalbavancin,0.1
morganella_spp.,linezolid,0.1
morganella_spp.,tedizolid,0.1
morganella_spp.,daptomycin,0.1
morganella_spp.,quinu_dalfo,0.1
morganella_spp.,trim_sulf,0.8
morganella_spp.,chloramphenicol,0.85
morganella_spp.,nitrofurantoin,0.05
morganella_spp.,fosfomycin,0.4
morganella_spp.,retapamulin,0.05
morganella_spp.,fusidic_a,0.05
morganella_spp.,metronidazole,0.05
morganella_spp.,fidaxomicin,0.1
morganella_spp.,furazolidone,0.1
morganella_spp.,rifampicin,0.6
morganella_spp.,amoxicillin_clavulanate,0.7
morganella_spp.,piperacillin_tazobactam,0.85
morganella_spp.,ampicillin_sulbactam,0.7
morganella_spp.,ticarcillin_clavulanate,0.8
morganella_spp.,ceftazidime_avibactam,0.9
morganella_spp.,meropenem_vaborbactam,0.95
morganella_spp.,colistin,0.7
morganella_spp.,flucloxacillin,0.01
morganella_spp.,aztreonam_avibactam,1
morganella_spp.,cefixime,0.8
morganella_spp.,nalidixic_acid,0.55
proteus_spp.,sulfanilamide,0.5
proteus_spp.,penicillin_g,0.1
proteus_spp.,ampicillin,0.8
proteus_spp.,amoxicillin,0.8
proteus_spp.,piperacillin,0.85
proteus_spp.,ticarcillin,0.8
proteus_spp.,cephalexin,0.7
proteus_spp.,cefazolin,0.75
proteus_spp.,cefuroxime,0.8
proteus_spp.,ceftriaxone,0.95
proteus_spp.,ceftazidime,0.9
proteus_spp.,cefepime,0.9
proteus_spp.,ceftaroline,0.1
proteus_spp.,ceftolozane_tazobactam,0.8
proteus_spp.,cefiderocol,0.8
proteus_spp.,meropenem,0.95
proteus_spp.,imipenem_c,0.95
proteus_spp.,ertapenem,0.95
proteus_spp.,aztreonam,0.9
proteus_spp.,erythromycin,0
proteus_spp.,azithromycin,0
proteus_spp.,clarithromycin,0
proteus_spp.,clindamycin,0
proteus_spp.,gentamicin,0.8
proteus_spp.,tobramycin,0.75
proteus_spp.,amikacin,0.85
proteus_spp.,ciprofloxacin,0.9
proteus_spp.,levofloxacin,0.85
proteus_spp.,moxifloxacin,0.7
proteus_spp.,ofloxacin,0.8
proteus_spp.,tetracycline,0.1
proteus_spp.,doxycycline,0.1
proteus_spp.,minocycline,0.85
proteus_spp.,tigecycline,0.1
proteus_spp.,vancomycin,0
proteus_spp.,teicoplanin,0
proteus_spp.,dalbavancin,0
proteus_spp.,linezolid,0
proteus_spp.,tedizolid,0
proteus_spp.,daptomycin,0.1
proteus_spp.,quinu_dalfo,0
proteus_spp.,trim_sulf,0.9
proteus_spp.,chloramphenicol,0.85
proteus_spp.,nitrofurantoin,0.05
proteus_spp.,fosfomycin,0.6
proteus_spp.,retapamulin,0
proteus_spp.,fusidic_a,0
proteus_spp.,metronidazole,0
proteus_spp.,fidaxomicin,0.1
proteus_spp.,furazolidone,0.1
proteus_spp.,rifampicin,0.7
proteus_spp.,amoxicillin_clavulanate,0.9
proteus_spp.,piperacillin_tazobactam,0.95
proteus_spp.,ampicillin_sulbactam,0.9
proteus_spp.,ticarcillin_clavulanate,0.9
proteus_spp.,ceftazidime_avibactam,0.95
proteus_spp.,meropenem_vaborbactam,0.95
proteus_spp.,colistin,0.7
proteus_spp.,flucloxacillin,0.01
proteus_spp.,aztreonam_avibactam,1
proteus_spp.,cefixime,0.8
proteus_spp.,nalidixic_acid,0.6
serratia_spp.,sulfanilamide,0.5
serratia_spp.,penicillin_g,0.1
serratia_spp.,ampicillin,0.1
serratia_spp.,amoxicillin,0.1
serratia_spp.,piperacillin,0.75
serratia_spp.,ticarcillin,0.7
serratia_spp.,cephalexin,0.1
serratia_spp.,cefazolin,0.1
serratia_spp.,cefuroxime,0.6
serratia_spp.,ceftriaxone,0.8
serratia_spp.,ceftazidime,0.85
serratia_spp.,cefepime,0.85
serratia_spp.,ceftaroline,0.1
serratia_spp.,ceftolozane_tazobactam,0.8
serratia_spp.,cefiderocol,0.8
serratia_spp.,meropenem,0.95
serratia_spp.,imipenem_c,0.95
serratia_spp.,ertapenem,0.9
serratia_spp.,aztreonam,0.85
serratia_spp.,erythromycin,0.1
serratia_spp.,azithromycin,0.1
serratia_spp.,clarithromycin,0.1
serratia_spp.,clindamycin,0.1
serratia_spp.,gentamicin,0.85
serratia_spp.,tobramycin,0.8
serratia_spp.,amikacin,0.9
serratia_spp.,ciprofloxacin,0.85
serratia_spp.,levofloxacin,0.8
serratia_spp.,moxifloxacin,0.7
serratia_spp.,ofloxacin,0.75
serratia_spp.,tetracycline,0.1
serratia_spp.,doxycycline,0.1
serratia_spp.,minocycline,0.85
serratia_spp.,tigecycline,0.1
serratia_spp.,vancomycin,0.1
serratia_spp.,teicoplanin,0.1
serratia_spp.,dalbavancin,0.1
serratia_spp.,linezolid,0.1
serratia_spp.,tedizolid,0.1
serratia_spp.,daptomycin,0.1
serratia_spp.,quinu_dalfo,0.1
serratia_spp.,trim_sulf,0.85
serratia_spp.,chloramphenicol,0.8
serratia_spp.,nitrofurantoin,0.05
serratia_spp.,fosfomycin,0.4
serratia_spp.,retapamulin,0.05
serratia_spp.,fusidic_a,0.05
serratia_spp.,metronidazole,0.05
serratia_spp.,fidaxomicin,0.1
serratia_spp.,furazolidone,0.1
serratia_spp.,rifampicin,0.6
serratia_spp.,amoxicillin_clavulanate,0.7
serratia_spp.,piperacillin_tazobactam,0.85
serratia_spp.,ampicillin_sulbactam,0.7
serratia_spp.,ticarcillin_clavulanate,0.75
serratia_spp.,ceftazidime_avibactam,0.9
serratia_spp.,meropenem_vaborbactam,0.95
serratia_spp.,colistin,0.7
serratia_spp.,flucloxacillin,0.01
serratia_spp.,aztreonam_avibactam,1
serratia_spp.,cefixime,0.8
serratia_spp.,nalidixic_acid,0.5
p_stuartii,sulfanilamide,0.1
p_stuartii,penicillin_g,0.05
p_stuartii,ampicillin,0.05
p_stuartii,amoxicillin,0.05
p_stuartii,piperacillin,0.35
p_stuartii,ticarcillin,0.3
p_stuartii,cephalexin,0.1
p_stuartii,cefazolin,0.1
p_stuartii,cefuroxime,0.2
p_stuartii,ceftriaxone,0.45
p_stuartii,ceftazidime,0.75
p_stuartii,cefepime,0.85
p_stuartii,ceftaroline,0.1
p_stuartii,ceftolozane_tazobactam,0.8
p_stuartii,cefiderocol,0.8
p_stuartii,meropenem,0.9
p_stuartii,imipenem_c,0.9
p_stuartii,ertapenem,0.85
p_stuartii,aztreonam,0.65
p_stuartii,erythromycin,0.05
p_stuartii,azithromycin,0.05
p_stuartii,clarithromycin,0.05
p_stuartii,clindamycin,0.05
p_stuartii,gentamicin,0.45
p_stuartii,tobramycin,0.5
p_stuartii,amikacin,0.75
p_stuartii,ciprofloxacin,0.55
p_stuartii,levofloxacin,0.6
p_stuartii,moxifloxacin,0.6
p_stuartii,ofloxacin,0.55
p_stuartii,tetracycline,0.2
p_stuartii,doxycycline,0.3
p_stuartii,minocycline,0.35
p_stuartii,tigecycline,0.1
p_stuartii,vancomycin,0.05
p_stuartii,teicoplanin,0.05
p_stuartii,dalbavancin,0.05
p_stuartii,linezolid,0.05
p_stuartii,tedizolid,0.05
p_stuartii,daptomycin,0.1
p_stuartii,quinu_dalfo,0.05
p_stuartii,trim_sulf,0.3
p_stuartii,chloramphenicol,0.25
p_stuartii,nitrofurantoin,0.05
p_stuartii,fosfomycin,0.4
p_stuartii,retapamulin,0.05
p_stuartii,fusidic_a,0.05
p_stuartii,metronidazole,0.05
p_stuartii,fidaxomicin,0.1
p_stuartii,furazolidone,0.05
p_stuartii,rifampicin,0.1
p_stuartii,amoxicillin_clavulanate,0.2
p_stuartii,piperacillin_tazobactam,0.75
p_stuartii,ampicillin_sulbactam,0.2
p_stuartii,ticarcillin_clavulanate,0.45
p_stuartii,ceftazidime_avibactam,0.9
