Bacteria,sulfanilamide,penicilling,ampicillin,amoxicillin,piperacillin,ticarcillin,cephalexin,cefazolin,cefuroxime,ceftriaxone,ceftazidime,cefepime,ceftaroline,meropenem,imipenem_c,ertapenem,aztreonam,erythromycin,azithromycin,clarithromycin,clindamycin,gentamicin,tobramycin,amikacin,ciprofloxacin,levofloxacin,moxifloxacin,ofloxacin,tetracycline,doxyclycline,minocycline,vancomycin,teicoplanin,dalbavancin,linezolid,tedizolid,quinu_dalfo,trim_sulf,chlorampheni,nitrofurantoin,retapamulin,fusidic_a,metronidazole,furazolidone,rifampicin,amoxicillin_clavulanate,piperacillin_tazobactam,ampicillin_sulbactam,ticarcillin_clavulanate,ceftazidime_avibactam,meropenem_vaborbactam,colistin
Pseudomonas aeruginosa,.,.,.,.,0.82,0.85,.,.,.,.,0.80,0.78,.,0.80,0.82,.,0.82,.,.,.,.,0.82,0.78,0.75,0.85,0.85,0.85,0.85,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.75,.,0.80,0.70,0.65,0.70
Staphylococcus aureus,.,.,.,.,0.85,0.85,0.75,0.725,0.775,0.775,.,0.75,0.65,0.75,0.75,0.75,.,0.75,0.725,0.75,0.775,0.75,0.75,0.75,0.75,0.75,0.725,0.75,0.7,0.675,0.65,0.575,0.6,0.6,0.575,0.575,0.6,0.725,0.7,.,0.625,0.65,.,.,0.75,0.75,0.725,0.75,0.725,.,0.75,.
Streptococcus pneumoniae,.,0.7,0.7,0.7,0.675,0.675,0.7,0.675,0.65,0.6,0.7,0.675,0.6,0.575,0.575,0.575,0.6,0.75,0.725,0.75,0.775,.,.,.,0.625,0.6,0.6,0.625,0.65,0.625,0.6,0.575,0.575,0.575,0.575,0.575,0.6,0.725,0.675,.,.,.,.,.,0.65,0.675,0.65,0.7,0.675,0.575,0.575,.
Salmonella enterica serovar typhi,0.6,.,0.8,0.8,0.7,0.7,0.75,0.75,0.725,0.625,0.65,0.675,0.7,0.6,0.6,0.6,0.675,.,.,.,.,0.7,0.725,0.675,0.725,0.7,0.725,0.725,0.675,0.65,0.625,.,.,.,.,.,.,0.75,0.725,.,.,.,.,.,0.675,0.65,0.625,0.675,0.7,0.6,0.6,0.65
Salmonella enterica serovar paratyphi a,0.6,.,0.8,0.8,0.7,0.7,0.75,0.75,0.725,0.625,0.65,0.675,0.7,0.6,0.6,0.6,0.675,.,.,.,.,0.7,0.725,0.675,0.725,0.7,0.725,0.725,0.675,0.65,0.625,.,.,.,.,.,.,0.75,0.725,.,.,.,.,.,0.675,0.65,0.625,0.675,0.7,0.6,0.6,0.65
Invasive non-typhoidal Salmonella spp.,0.6,.,0.825,0.825,0.7,0.725,0.75,0.75,0.725,0.65,0.675,0.7,0.725,0.6,0.6,0.6,0.675,.,.,.,.,0.7,0.725,0.675,0.75,0.725,0.75,0.75,0.675,0.65,0.625,.,.,.,.,.,.,0.75,0.725,.,.,.,.,.,0.675,0.65,0.625,0.675,0.7,0.6,0.6,0.65
Shigella spp.,0.65,.,0.85,0.85,0.75,0.75,0.775,0.775,0.75,0.7,0.725,0.7,0.75,0.625,0.625,0.625,0.725,0.7,0.675,0.725,0.75,0.7,0.7,0.675,0.85,0.825,0.85,0.85,0.725,0.7,0.675,.,.,.,.,.,.,0.75,0.725,.,.,.,.,.,0.7,0.7,0.675,0.75,0.75,0.6,0.6,0.65
Neisseria gonorrhoeae,.,0.78,0.80,0.80,0.82,0.82,0.85,0.85,0.82,0.62,0.65,0.62,0.68,0.65,0.65,0.65,0.62,0.85,0.82,0.85,.,0.88,0.88,0.85,0.98,0.98,0.98,0.98,0.92,0.90,0.88,.,.,.,.,.,.,0.92,0.88,.,.,.,.,.,0.78,0.78,0.80,0.80,0.82,0.65,0.65,.
Streptococcus pyogenes,.,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.55,0.54,0.52,0.52,0.52,0.52,0.52,0.85,0.82,0.85,0.88,.,.,.,0.55,0.55,0.55,0.55,0.70,0.68,0.65,0.52,0.52,0.52,0.52,0.52,0.55,0.65,0.60,.,.,.,.,.,0.52,0.52,0.52,0.52,0.52,0.52,0.52,.
Streptococcus agalactiae,.,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.55,0.54,0.52,0.52,0.52,0.52,0.52,0.85,0.82,0.85,0.88,.,.,.,0.55,0.55,0.55,0.55,0.72,0.70,0.68,0.52,0.52,0.52,0.52,0.52,0.55,0.65,0.60,.,.,.,.,.,0.52,0.52,0.52,0.52,0.52,0.52,0.52,.
Haemophilus influenzae,.,0.75,0.75,0.725,0.675,0.7,0.75,0.75,0.725,0.6,0.625,0.625,0.65,0.575,0.575,0.575,0.625,0.7,0.675,0.7,.,0.675,0.65,0.625,0.625,0.6,0.6,0.625,0.65,0.625,0.6,.,.,.,.,.,.,0.65,0.625,.,.,.,.,.,0.625,0.575,0.65,0.6,0.575,0.575,0.575,.
Chlamydia trachomatis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.6,0.575,0.6,0.65,.,.,.,0.6,0.575,0.575,0.6,0.575,0.575,0.575,.,.,.,.,.,.,.,0.6,.,.,.,.,.,.,.,.,.,.,.,.,.
Vibrio cholerae,0.6,0.6,0.65,0.65,0.625,0.625,0.65,0.65,0.625,0.6,0.6,0.6,0.625,0.575,0.575,0.575,0.6,0.65,0.625,0.65,.,0.625,0.6,0.575,0.625,0.6,0.6,0.625,0.575,0.575,0.575,.,.,.,.,.,.,0.6,0.6,.,.,.,.,.,0.6,0.6,0.575,0.65,0.625,0.575,0.575,0.6
Neisseria meningitidis,.,0.6,0.6,0.6,0.625,0.625,0.6,0.6,0.6,0.575,0.575,0.575,0.6,0.575,0.575,0.575,0.575,0.675,0.65,0.675,.,0.625,0.625,0.625,0.6,0.575,0.575,0.6,0.6,0.575,0.575,.,.,.,.,.,.,0.625,0.6,.,.,.,.,.,0.6,0.6,0.6,0.6,0.625,0.575,0.575,.
Listeria monocytogenes,.,0.6,0.575,0.575,0.6,0.625,.,.,.,.,.,.,.,0.6,0.6,0.6,.,0.625,0.6,0.625,.,.,.,.,0.6,0.575,0.575,0.6,0.625,0.6,0.575,.,.,.,.,.,.,0.575,0.6,.,.,.,.,.,0.6,0.575,0.575,0.625,0.6,0.6,0.6,.
Clostridioides difficile,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.6,0.6,0.6,0.575,.,.,.,.,.,.,.,0.6,0.6,0.6,0.575,0.6,0.6,0.6,0.6,.,.,.,.,.,.,0.575,.,.,.,.,.,.,.,.,.
Campylobacter jejuni,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.72,0.70,0.72,0.75,0.75,0.75,0.72,0.92,0.90,0.90,0.92,0.78,0.75,0.72,.,.,.,.,.,.,.,0.70,.,.,.,.,.,.,.,.,.,.,.,.,..
Enterobacter cloacae,0.65,.,0.85,0.85,0.725,0.75,0.85,0.85,0.8,0.9,0.75,0.725,0.9,0.625,0.625,0.65,0.75,.,.,.,.,0.7,0.725,0.675,0.725,0.7,0.725,0.725,0.675,0.65,0.625,.,.,.,.,.,.,0.725,0.7,0.675,.,.,.,.,0.675,0.7,0.675,0.85,0.75,0.625,0.6,0.65
Yersinia enterocolitica,0.65,.,0.7,0.7,0.675,0.7,0.725,0.725,0.7,0.6,0.625,0.6,0.65,0.575,0.575,0.575,0.625,.,.,.,.,0.625,0.6,0.575,0.6,0.575,0.575,0.6,0.6,0.575,0.575,.,.,.,.,.,.,0.575,0.6,.,.,.,.,.,0.6,0.575,0.575,0.625,0.6,0.575,0.575,0.6
Moraxella catarrhalis,.,0.675,0.675,0.675,0.6,0.625,0.65,0.625,0.6,0.575,0.575,0.575,0.6,0.575,0.575,0.575,0.575,0.65,0.625,0.65,.,.,.,.,0.575,0.575,0.575,0.575,0.6,0.6,0.6,.,.,.,.,.,.,0.6,0.575,.,.,.,.,.,0.6,0.575,0.575,0.65,0.6,0.575,0.575,.
Treponema pallidum,.,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.51,0.90,0.92,0.90,.,.,.,.,0.60,0.58,0.58,0.60,0.60,0.58,0.55,.,.,.,.,.,.,.,0.55,.,.,.,.,.,.,0.51,0.51,0.51,0.51,0.51,0.51,.
Bordetella pertussis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.6,0.575,0.6,.,0.65,0.65,0.65,0.625,0.6,0.6,0.625,0.625,0.6,0.575,.,.,.,.,.,.,0.65,0.625,.,.,.,.,.,0.6,.,.,.,.,.,.,.
Helicobacter pylori,.,.,0.78,0.75,.,.,.,.,.,.,.,.,.,.,.,.,.,0.88,0.85,0.88,.,.,.,.,0.78,0.75,0.78,0.78,0.72,0.70,0.65,.,.,.,.,.,.,.,0.70,.,.,.,0.85,.,.,0.75,.,0.78,.,.,.,..
mdr Mycobacterium tuberculosis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.8,0.8,0.8,0.8,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.9,.,.,.,.,.,.,.
