Bacteria,sulfanilamide,penicillin_g,ampicillin,amoxicillin,piperacillin,ticarcillin,cephalexin,cefazolin,cefuroxime,ceftriaxone,cefixime,ceftazidime,cefepime,ceftaroline,meropenem,imipenem_c,ertapenem,aztreonam,erythromycin,azithromycin,clarithromycin,clindamycin,gentamicin,tobramycin,amikacin,ciprofloxacin,levofloxacin,moxifloxacin,ofloxacin,tetracycline,doxycycline,minocycline,tigecycline,vancomycin,fidaxomicin,teicoplanin,dalbavancin,linezolid,tedizolid,daptomycin,quinu_dalfo,trim_sulf,chloramphenicol,nitrofurantoin,fosfomycin,retapamulin,fusidic_a,metronidazole,furazolidone,rifampicin,amoxicillin_clavulanate,piperacillin_tazobactam,ampicillin_sulbactam,ticarcillin_clavulanate,ceftazidime_avibactam,aztreonam_avibactam,meropenem_vaborbactam,colistin,flucloxacillin,cefiderocol,ceftolozane_tazobactam
Pseudomonas aeruginosa,.,.,.,.,0.08,0.1,.,.,.,.,.,0.08,0.06,.,0.08,0.1,.,0.08,.,.,.,.,0.08,0.06,0.05,0.1,0.1,0.1,0.1,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.06,.,0.08,0.04,0.04,0.03,0.04,.,0.05,0.08
Staphylococcus aureus,.,.,.,.,0.15,0.15,0.1,0.08,0.12,0.12,0.12,.,0.1,0.05,0.08,0.08,0.08,.,0.12,0.1,0.12,0.15,0.1,0.1,0.08,0.12,0.1,0.1,0.12,0.12,0.1,0.08,0.08,0.02,0.02,0.03,0.03,0.02,0.02,0.02,0.04,0.12,0.1,.,.,0.05,0.06,.,.,0.1,0.1,0.08,0.1,0.08,.,.,0.08,.,0.08,.,.
Streptococcus pneumoniae,.,0.25,0.25,0.25,0.2,0.2,0.25,0.22,0.18,0.02,0.02,0.22,0.18,0.02,0.001,0.001,0.001,0.03,0.28,0.25,0.28,0.32,.,.,.,0.05,0.03,0.03,0.05,0.08,0.06,0.04,0.04,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.03,0.25,0.18,.,.,.,.,.,.,0.15,0.18,0.15,0.22,0.18,0.001,0.001,0.001,.,0.22,.,.
Salmonella enterica serovar typhi,0.08,.,0.35,0.35,0.2,0.2,0.28,0.28,0.25,0.06,0.06,0.08,0.1,0.12,0.02,0.02,0.02,0.1,.,.,.,.,0.12,0.15,0.1,0.55,0.52,0.55,0.55,0.1,0.08,0.06,0.06,.,.,.,.,.,.,.,.,0.28,0.25,.,.,.,.,.,.,0.18,0.15,0.12,0.18,0.22,0.02,0.02,0.02,0.08,0.28,0.01,0.04
Salmonella enterica serovar paratyphi a,0.08,.,0.32,0.32,0.18,0.18,0.25,0.25,0.22,0.06,0.06,0.08,0.1,0.12,0.02,0.02,0.02,0.1,.,.,.,.,0.12,0.15,0.1,0.5,0.48,0.5,0.5,0.1,0.08,0.06,0.06,.,.,.,.,.,.,.,.,0.25,0.22,.,.,.,.,.,.,0.16,0.14,0.12,0.16,0.2,0.02,0.02,0.02,0.08,0.25,0.01,0.04
Invasive non-typhoidal Salmonella spp.,0.1,.,0.38,0.38,0.22,0.25,0.3,0.3,0.26,0.1,0.1,0.12,0.15,0.18,0.04,0.04,0.04,0.12,.,.,.,.,0.15,0.18,0.12,0.28,0.25,0.28,0.28,0.12,0.1,0.08,0.08,.,.,.,.,.,.,.,.,0.28,0.24,.,.,.,.,.,.,0.18,0.15,0.12,0.18,0.22,0.04,0.04,0.04,0.1,0.3,0.01,0.04
Shigella spp.,0.25,.,0.45,0.45,0.3,0.3,0.35,0.35,0.3,0.22,0.22,0.25,0.22,0.28,0.08,0.08,0.08,0.25,0.1,0.08,0.12,0.15,0.12,0.12,0.1,0.45,0.42,0.45,0.45,0.18,0.15,0.12,0.12,.,.,.,.,.,.,.,.,0.3,0.25,.,.,.,.,.,.,0.22,0.22,0.18,0.28,0.3,0.05,0.05,0.05,0.1,0.35,0.01,0.04
Neisseria gonorrhoeae,.,0.35,0.4,0.4,0.42,0.42,0.45,0.45,0.42,0.08,0.08,0.1,0.08,0.12,0.01,0.01,0.01,0.1,0.45,0.42,0.45,.,0.15,0.15,0.15,0.75,0.75,0.75,0.75,0.55,0.5,0.45,0.45,.,.,.,.,.,.,.,.,0.55,0.45,.,.,.,.,.,.,0.35,0.35,0.38,0.38,0.42,0.05,0.05,0.05,.,0.45,0.01,0.04
Streptococcus pyogenes,.,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.05,0.04,0.001,0.001,0.001,0.001,0.001,0.18,0.15,0.18,0.22,.,.,.,0.02,0.02,0.02,0.02,0.04,0.04,0.04,0.04,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.03,0.08,0.06,.,.,.,.,.,.,0.001,0.001,0.001,0.001,0.03,0.001,0.001,0.001,.,0.001,.,.
Streptococcus agalactiae,.,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.06,0.05,0.001,0.001,0.001,0.001,0.001,0.22,0.18,0.22,0.25,.,.,.,0.02,0.02,0.02,0.02,0.05,0.05,0.05,0.05,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.04,0.1,0.08,.,.,.,.,.,.,0.001,0.001,0.001,0.001,0.04,0.001,0.001,0.001,.,0.001,.,.
Haemophilus influenzae,.,0.18,0.18,0.18,0.1,0.12,0.18,0.18,0.15,0.02,0.02,0.04,0.04,0.06,0.001,0.001,0.001,0.04,0.12,0.1,0.12,.,0.08,0.06,0.04,0.04,0.02,0.02,0.04,0.08,0.06,0.04,0.04,.,.,.,.,.,.,.,.,0.08,0.06,.,.,.,.,.,.,0.04,0.02,0.08,0.04,0.02,0.001,0.001,0.001,.,0.18,0.01,0.04
Chlamydia trachomatis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Vibrio cholerae,0.06,0.06,0.12,0.12,0.09,0.09,0.12,0.12,0.09,0.06,0.06,0.06,0.06,0.09,0.03,0.03,0.03,0.06,0.12,0.09,0.12,.,0.09,0.06,0.03,0.09,0.06,0.06,0.09,0.03,0.03,0.03,0.03,.,.,.,.,.,.,.,.,0.06,0.06,.,.,.,.,.,.,0.06,0.06,0.03,0.12,0.09,0.03,0.03,0.03,0.06,0.12,0.01,0.04
Neisseria meningitidis,.,0.06,0.06,0.06,0.09,0.09,0.06,0.06,0.06,0.03,0.03,0.03,0.03,0.06,0.03,0.03,0.03,0.03,0.15,0.12,0.15,.,0.09,0.09,0.09,0.06,0.03,0.03,0.06,0.06,0.03,0.03,0.03,.,.,.,.,.,.,.,.,0.09,0.06,.,.,.,.,.,.,0.06,0.06,0.06,0.06,0.09,0.03,0.03,0.03,.,0.06,0.01,0.04
Listeria monocytogenes,.,0.06,0.03,0.03,0.06,0.09,.,.,.,.,.,.,.,.,0.06,0.06,0.06,.,0.09,0.06,0.09,.,.,.,.,0.06,0.03,0.03,0.06,0.09,0.06,0.03,0.03,.,.,.,.,.,.,.,.,0.03,0.06,.,.,.,.,.,.,0.06,0.03,0.03,0.09,0.06,0.06,0.06,0.06,.,.,.,.
Clostridioides difficile,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.04,0.04,0.04,0.02,.,.,.,.,.,.,.,0.04,0.04,0.04,0.04,0.02,0.02,0.04,0.04,0.04,0.04,0.04,.,.,.,.,.,.,.,0.02,.,.,.,.,.,.,.,.,.,.,.,.,.
Campylobacter jejuni,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.08,0.05,0.08,0.15,0.1,0.1,0.1,0.35,0.3,0.3,0.35,0.1,0.08,0.06,0.06,.,.,.,.,.,.,.,.,.,0.08,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.04
Enterobacter cloacae,0.12,.,0.36,0.36,0.21,0.24,0.36,0.36,0.3,0.42,0.42,0.24,0.21,0.42,0.09,0.09,0.12,0.24,.,.,.,.,0.18,0.21,0.15,0.21,0.18,0.21,0.21,0.15,0.12,0.09,0.09,.,.,.,.,.,.,.,.,0.21,0.18,0.15,0.15,.,.,.,.,0.15,0.18,0.15,0.36,0.24,0.09,0.09,0.06,0.12,0.36,0.01,0.04
Yersinia enterocolitica,0.12,.,0.18,0.18,0.15,0.18,0.21,0.21,0.18,0.06,0.06,0.09,0.06,0.12,0.03,0.03,0.03,0.09,.,.,.,.,0.09,0.06,0.03,0.06,0.03,0.03,0.06,0.06,0.03,0.03,0.03,.,.,.,.,.,.,.,.,0.03,0.06,.,.,.,.,.,.,0.06,0.03,0.03,0.09,0.06,0.03,0.03,0.03,0.06,0.21,0.01,0.04
Moraxella catarrhalis,.,0.15,0.15,0.15,0.06,0.09,0.12,0.09,0.06,0.03,0.03,0.03,0.03,0.06,0.03,0.03,0.03,0.03,0.12,0.09,0.12,.,.,.,.,0.03,0.03,0.03,0.03,0.06,0.06,0.06,0.06,.,.,.,.,.,.,.,.,0.06,0.03,.,.,.,.,.,.,0.06,0.03,0.03,0.12,0.06,0.03,0.03,0.03,.,0.09,0.01,0.04
Treponema pallidum,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Bordetella pertussis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.01,0.04
Helicobacter pylori,.,.,0.18,0.16,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.35,0.32,0.35,.,.,.,.,0.15,0.12,0.15,0.15,0.08,0.06,0.04,0.04,.,.,.,.,.,.,.,.,.,0.08,.,.,.,.,0.4,.,.,0.16,.,0.18,.,.,.,.,.,.,0.01,0.04
mdr Mycobacterium tuberculosis,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.3,0.3,0.3,0.3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.42,.,.,.,.,.,.,.,.,.,.,.
Bacteroides fragilis,.,0.4,0.4,0.35,0.2,0.2,0.35,0.35,0.38,0.4,0.4,0.4,0.35,0.25,0.05,0.05,0.08,0.35,.,.,.,0.28,0.4,0.38,0.3,0.32,0.32,0.32,0.32,0.4,0.35,0.3,0.3,.,.,.,.,.,.,.,.,0.2,0.15,.,.,.,.,0.02,.,0.02,0.4,0.25,0.3,0.3,0.1,0.1,0.05,0.6,0.35,0.01,0.04
Mycoplasma genitalium,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,0.4,0.4,0.4,0.22,.,.,.,0.3,0.3,0.3,0.3,0.2,0.2,0.18,0.18,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
Providencia stuartii,0.22,.,0.55,0.55,0.45,0.45,0.42,0.42,0.4,0.38,0.38,0.4,0.35,0.4,0.18,0.18,0.22,0.35,.,.,.,.,0.35,0.36,0.3,0.38,0.35,0.35,0.35,0.3,0.28,0.25,0.25,.,.,.,.,.,.,.,.,0.38,0.2,0.15,0.15,.,.,.,.,.,0.35,0.3,0.32,0.32,0.22,0.22,0.18,0.6,0.42,0.01,0.04
