source_id,source_type,description,url
legacy_prevalence_note__pseudomonas_aeruginosa,legacy_bacterium_level_note,Multidrug resistance high; carbapenem resistance ~25% (Lancet GRAM 2022).,
legacy_prevalence_note__stenotrophomonas_maltophilia,legacy_bacterium_level_note,Intrinsic L1/L2 beta-lactamases; TMP-SMX/minocycline remain preferred (placeholder global targets). 30 drugs dotted (pass 1): intrinsic L1/L2 beta-lactamases + efflux pumps - surveillance figures are intrinsic not acquired (all potency < 0.15; none selected for treatment in simulation).,
legacy_prevalence_note__staphylococcus_aureus,legacy_bacterium_level_note,"MRSA prevalence variable (~25-40%); VRSA and linezolid resistance remains exceptionally rare (<1%) (GLASS, CDC 2019) fidaxomicin dotted (pass 2): C. diff-specific drug (potency 0.10).",
legacy_prevalence_note__staphylococcus_epidermidis,legacy_bacterium_level_note,"Conservative coagulase-negative staphylococcal proxy: high methicillin/beta-lactam resistance, moderate macrolide-fluoroquinolone resistance, and near-zero glycopeptide/oxazolidinone resistance pending organism-specific surveillance curation.",
legacy_prevalence_note__streptococcus_pneumoniae,legacy_bacterium_level_note,Penicillin and macrolide resistance varies by vaccine serotype prevalence. aztreonam/aztreonam_avibactam dotted (pass 1): no activity against Gram-positive cocci (potency 0.000/0.010). fidaxomicin dotted (pass 2): C. diff-specific drug (potency 0.10).,
legacy_prevalence_note__salmonella_enterica_serovar_typhi,legacy_bacterium_level_note,MDR and XDR clones (resistance to ciprofloxacin/ceftriaxone) widespread in South Asia. ceftaroline dotted (pass 2): not used for typhoid treatment (potency 0.10).,
legacy_prevalence_note__salmonella_enterica_serovar_paratyphi_a,legacy_bacterium_level_note,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. ceftaroline dotted (pass 2): not used for paratyphoid treatment (potency 0.10).,
legacy_prevalence_note__invasive_non_typhoidal_salmonella_spp,legacy_bacterium_level_note,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. ceftaroline dotted (pass 2): not standard for iNTS treatment (potency 0.10).,
legacy_prevalence_note__shigella_spp,legacy_bacterium_level_note,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. clindamycin dotted (pass 1): no activity against Gram-negatives (potency 0.000). ceftaroline dotted (pass 2): not standard shigellosis treatment (potency 0.10).,
legacy_prevalence_note__neisseria_gonorrhoeae,legacy_bacterium_level_note,Emergence of 'super-gonorrhea' with ceftriaxone and azithromycin resistance (WHO 2024 monitoring). ceftaroline/tigecycline dotted (pass 2): not standard gonorrhea treatment (potency 0.10).,
legacy_prevalence_note__streptococcus_pyogenes,legacy_bacterium_level_note,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. aztreonam/aztreonam_avibactam dotted (pass 1): no activity against Gram-positive cocci (potency 0.000/0.010). fidaxomicin dotted (pass 2): C. diff-specific drug (potency 0.10).,
legacy_prevalence_note__streptococcus_agalactiae,legacy_bacterium_level_note,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. aztreonam/aztreonam_avibactam dotted (pass 1): no activity against Gram-positive cocci (potency 0.000/0.010). fidaxomicin dotted (pass 2): C. diff-specific drug (potency 0.10).,
legacy_prevalence_note__haemophilus_influenzae,legacy_bacterium_level_note,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians.,
legacy_prevalence_note__chlamydia_trachomatis,legacy_bacterium_level_note,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians.,
legacy_prevalence_note__vibrio_cholerae,legacy_bacterium_level_note,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. ceftaroline dotted (pass 2): not used for cholera treatment (potency 0.10).,
legacy_prevalence_note__neisseria_meningitidis,legacy_bacterium_level_note,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. ceftaroline/tigecycline dotted (pass 2): not standard meningitis treatment (potency 0.10).,
legacy_prevalence_note__listeria_monocytogenes,legacy_bacterium_level_note,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. aztreonam_avibactam/meropenem_vaborbactam dotted (pass 1): not used for Listeria treatment (potency 0.010/0.050). ticarcillin_clavulanate/tigecycline dotted (pass 2): not used for Listeria treatment (potency 0.10).,
legacy_prevalence_note__clostridioides_difficile,legacy_bacterium_level_note,"Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. 6 drugs dotted (pass 2): not used for C. difficile treatment (azithromycin, clarithromycin, clindamycin, daptomycin, erythromycin, tigecycline; all potency 0.10 - surveillance data not applicable to treatment resistance).",
legacy_prevalence_note__campylobacter_jejuni,legacy_bacterium_level_note,High fluoroquinolone resistance (up to 50%+) globally due to agricultural use.,
legacy_prevalence_note__enterobacter_cloacae,legacy_bacterium_level_note,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. ceftaroline dotted (pass 2): intrinsic AmpC hydrolysis in E. cloacae (potency 0.10).,
legacy_prevalence_note__yersinia_enterocolitica,legacy_bacterium_level_note,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. ampicillin dotted (pass 1): chromosomal AmpC intrinsic resistance (potency 0.020). ceftaroline dotted (pass 2): not standard for Yersinia treatment (potency 0.10).,
legacy_prevalence_note__moraxella_catarrhalis,legacy_bacterium_level_note,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. ceftaroline dotted (pass 2): not standard for Moraxella treatment (potency 0.10).,
legacy_prevalence_note__treponema_pallidum,legacy_bacterium_level_note,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. cefixime/tigecycline dotted (pass 2): not used for syphilis treatment (potency 0.10).,
legacy_prevalence_note__bordetella_pertussis,legacy_bacterium_level_note,Proportions estimated from WHO GLASS 2022 and Lancet GRAM 2022 global medians. tigecycline dotted (pass 2): not used for Bordetella treatment (potency 0.10).,
legacy_prevalence_note__helicobacter_pylori,legacy_bacterium_level_note,Targets corrected for endoscopy-cohort ascertainment bias using R_primary = (R_obs - f_treated * R_treated) / (1 - f_treated). Macrolides (erythromycin/azithromycin/clarithromycin): 22% published obs -> 7% primary target. FQs (ciprofloxacin/levofloxacin/moxifloxacin/ofloxacin): ~28% obs -> 12% primary target. Tetracyclines (tetracycline/doxycycline/minocycline): ~17% obs -> 8% primary target. BLIs (amoxicillin_clavulanate/ampicillin_sulbactam): ~38% obs -> 10% primary target. Metronidazole: 50% published target retained as empirical reference but structurally unreachable in this model (cross-use resistance from gynaecological/parasitic indications not modelled; true primary rate ~30-35%). cefiderocol/ceftolozane_tazobactam dotted (pass 1): not used for H. pylori treatment (potency 0.050). tigecycline dotted (pass 2): not used for H. pylori treatment (potency 0.10).,
legacy_prevalence_note__mdr_mycobacterium_tuberculosis,legacy_bacterium_level_note,Defined by resistance to at least isoniazid and rifampicin; estimates from WHO Global TB Report 2024.,
legacy_prevalence_note__bacteroides_fragilis,legacy_bacterium_level_note,Predominantly beta-lactamase mediated resistance; metronidazole and carbapenem escape still uncommon (<5%) globally. 6 drugs dotted (pass 1): constitutive CepA/cfxA beta-lactamase + aztreonam inactive vs anaerobes - intrinsic not acquired (potency 0.000-0.050). penicillin_g dotted (pass 2): constitutive beta-lactamase (potency 0.10).,
legacy_prevalence_note__mycoplasma_genitalium,legacy_bacterium_level_note,Macrolide resistance often >50% and fluoroquinolone resistance ~40% in surveillance meta-analyses (WHO/CDC).,
legacy_prevalence_note__providencia_stuartii,legacy_bacterium_level_note,Placeholder derived from CRE Providencia outbreaks; notable intrinsic resistance to colistin and most penicillins.,
legacy_prevalence_note__mycoplasma_pneumoniae,legacy_bacterium_level_note,Intrinsic R to Beta-lactams. Macrolide resistance rising.,
legacy_prevalence_note__legionella_pneumophila,legacy_bacterium_level_note,Intracellular pathogen. Beta-lactams ineffective. amoxicillin_clavulanate dotted (pass 1): beta-lactam/BLI not active against Legionella (potency 0.050).,
legacy_prevalence_note__burkholderia_cepacia_complex,legacy_bacterium_level_note,Intrinsic R to Aminoglycosides/Colistin. MDR common. AGs/tigecycline/cefiderocol/ceftolozane set to dot - potency below 0.15 threshold (drug not used for BCC).,
expert_model_scale_any_r_v1,expert_model_design,Expert-informed model-scale resistance-severity placeholders for mean any_r conditional on any_r > 0; these are not direct clinical surveillance estimates.,
