Bacteria,sulfanilamide,penicilling,ampicillin,amoxicillin,piperacillin,ticarcillin,cephalexin,cefazolin,cefuroxime,ceftriaxone,ceftazidime,cefepime,ceftaroline,meropenem,imipenem_c,ertapenem,aztreonam,erythromycin,azithromycin,clarithromycin,clindamycin,gentamicin,tobramycin,amikacin,ciprofloxacin,levofloxacin,moxifloxacin,ofloxacin,tetracycline,doxyclycline,minocycline,vancomycin,teicoplanin,dalbavancin,linezolid,tedizolid,quinu_dalfo,trim_sulf,chlorampheni,nitrofurantoin,retapamulin,fusidic_a,metronidazole,furazolidone,rifampicin,amoxicillin_clavulanate,piperacillin_tazobactam,ampicillin_sulbactam,ticarcillin_clavulanate,ceftazidime_avibactam,meropenem_vaborbactam,colistin
Salmonella enterica serovar paratyphi a,0.7,0.1,0.8,0.8,0.85,0.8,0.7,0.75,0.8,0.95,0.9,0.9,0.7,0.95,0.95,0.95,0.9,0.1,0.1,0.1,0.1,0.85,0.8,0.9,0.9,0.85,0.7,0.8,0.8,0.85,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.85,0.1,0.05,0.05,0.05,0.1,0.7,0.9,0.95,0.9,0.9,0.95,0.95,0.7
Invasive non-typhoidal Salmonella spp.,0.7,0.1,0.8,0.8,0.85,0.8,0.7,0.75,0.8,0.95,0.9,0.9,0.7,0.95,0.95,0.95,0.9,0.1,0.1,0.1,0.1,0.85,0.8,0.9,0.9,0.85,0.7,0.8,0.8,0.85,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.85,0.1,0.05,0.05,0.05,0.1,0.7,0.9,0.95,0.9,0.9,0.95,0.95,0.7
Shigella spp.,0.5,0.1,0.7,0.7,0.75,0.7,0.6,0.65,0.7,0.9,0.85,0.85,0.6,0.9,0.9,0.9,0.8,0.7,0.85,0.75,0.7,0.8,0.75,0.85,0.95,0.9,0.8,0.9,0.8,0.85,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.85,0.1,0.05,0.05,0.05,0.1,0.7,0.8,0.85,0.8,0.85,0.9,0.9,0.7
Neisseria gonorrhoeae,0.1,0.9,0.85,0.85,0.8,0.8,0.7,0.75,0.85,0.95,0.9,0.9,0.8,0.9,0.9,0.9,0.9,0.7,0.8,0.7,0.1,0.7,0.7,0.7,0.9,0.85,0.8,0.85,0.8,0.8,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.8,0.1,0.05,0.05,0.05,0.1,0.7,0.85,0.85,0.8,0.8,0.9,0.9,0.05
Streptococcus pyogenes,0.1,1,0.95,0.95,0.9,0.9,0.9,0.9,0.95,0.95,0.7,0.8,0.95,0.95,0.95,0.95,0.9,0.9,0.9,0.9,0.85,0.1,0.1,0.1,0.8,0.9,0.9,0.85,0.8,0.85,0.85,0.95,0.9,0.9,0.9,0.9,0.85,0.7,0.8,0.1,0.1,0.1,0.1,0.1,0.8,0.95,0.9,0.95,0.9,0.95,0.95,0.05
Streptococcus agalactiae,0.1,0.95,0.95,0.95,0.9,0.9,0.9,0.9,0.95,0.95,0.7,0.8,0.95,0.95,0.95,0.95,0.9,0.8,0.85,0.85,0.8,0.1,0.1,0.1,0.8,0.9,0.9,0.85,0.8,0.85,0.85,0.95,0.9,0.9,0.9,0.9,0.85,0.7,0.8,0.1,0.1,0.1,0.1,0.1,0.8,0.95,0.9,0.95,0.9,0.95,0.95,0.05
Haemophilus influenzae,0.1,0.7,0.8,0.9,0.85,0.8,0.7,0.75,0.85,0.95,0.9,0.9,0.8,0.95,0.95,0.95,0.9,0.7,0.8,0.7,0.1,0.7,0.7,0.7,0.9,0.85,0.8,0.85,0.8,0.8,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.85,0.8,0.1,0.05,0.05,0.05,0.1,0.7,0.9,0.85,0.9,0.8,0.95,0.95,0.05
Chlamydia trachomatis,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.95,0.9,0.7,0.1,0.1,0.1,0.8,0.85,0.85,0.8,0.95,0.95,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
Vibrio cholerae,0.5,0.7,0.8,0.8,0.85,0.8,0.7,0.75,0.8,0.9,0.85,0.85,0.7,0.9,0.9,0.9,0.8,0.7,0.8,0.75,0.1,0.85,0.8,0.85,0.9,0.85,0.75,0.85,0.95,0.95,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.8,0.1,0.05,0.05,0.05,0.1,0.7,0.85,0.9,0.85,0.85,0.9,0.9,0.7
Neisseria meningitidis,0.1,0.95,0.9,0.9,0.85,0.8,0.8,0.85,0.9,0.95,0.9,0.9,0.8,0.95,0.95,0.95,0.9,0.7,0.8,0.75,0.1,0.7,0.7,0.7,0.9,0.85,0.8,0.85,0.8,0.8,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.85,0.1,0.05,0.05,0.05,0.1,0.85,0.9,0.85,0.9,0.85,0.95,0.95,0.05
Listeria monocytogenes,0.1,0.7,0.95,0.95,0.7,0.6,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.7,0.7,0.1,0.8,0.85,0.8,0.1,0.1,0.1,0.1,0.8,0.85,0.8,0.8,0.8,0.85,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.85,0.1,0.1,0.1,0.1,0.1,0.8,0.7,0.95,0.6,0.1,0.7,0.05,
Clostridioides difficile,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.75,0.7,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.7,0.7,0.95,0.9,0.9,0.85,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05
Campylobacter jejuni,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.85,0.9,0.85,0.7,0.7,0.7,0.7,0.8,0.75,0.7,0.75,0.75,0.8,0.8,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.1,0.05,0.05,0.05,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.05
Enterobacter cloacae,0.5,0.1,0.5,0.5,0.75,0.7,0.5,0.5,0.6,0.4,0.8,0.85,0.4,0.95,0.95,0.9,0.8,0.1,0.1,0.1,0.1,0.85,0.8,0.9,0.9,0.85,0.7,0.8,0.8,0.85,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.85,0.8,0.7,0.05,0.05,0.05,0.1,0.6,0.7,0.85,0.7,0.8,0.9,0.95,0.7
Yersinia enterocolitica,0.5,0.1,0.7,0.7,0.75,0.7,0.6,0.65,0.7,0.9,0.85,0.85,0.6,0.95,0.95,0.95,0.85,0.1,0.1,0.1,0.1,0.85,0.8,0.9,0.9,0.85,0.7,0.8,0.8,0.85,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.95,0.85,0.1,0.05,0.05,0.05,0.1,0.7,0.85,0.85,0.8,0.8,0.95,0.95,0.7
Moraxella catarrhalis,0.1,0.9,0.9,0.9,0.8,0.8,0.8,0.85,0.9,0.95,0.9,0.9,0.8,0.95,0.95,0.95,0.9,0.8,0.85,0.8,0.1,0.1,0.1,0.1,0.9,0.85,0.8,0.85,0.8,0.8,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.95,0.85,0.1,0.05,0.05,0.05,0.1,0.7,0.95,0.85,0.95,0.85,0.95,0.95,0.05
Treponema pallidum,0.1,1,0.95,0.95,0.9,0.9,0.9,0.9,0.95,0.95,0.9,0.9,0.9,0.95,0.95,0.95,0.9,0.8,0.85,0.8,0.1,0.1,0.1,0.1,0.7,0.75,0.75,0.7,0.8,0.8,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.1,0.05,0.05,0.05,0.1,0.1,0.95,0.9,0.95,0.9,0.95,0.95,0.05
Bordetella pertussis,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.9,0.95,0.9,0.1,0.7,0.7,0.7,0.7,0.75,0.75,0.7,0.7,0.75,0.75,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.8,0.1,0.05,0.05,0.05,0.1,0.7,0.1,0.1,0.1,0.1,0.1,0.1,0.05
Helicobacter pylori,0.1,0.1,0.7,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.8,0.85,0.8,0.1,0.1,0.1,0.1,0.7,0.7,0.75,0.7,0.8,0.8,0.85,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.7,0.1,0.05,0.05,0.8,0.1,0.1,0.85,0.1,0.7,0.1,0.1,0.1,0.05
mdr Mycobacterium tuberculosis,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.2,0.2,0.2,0.2,0.2,0.25,0.2,0.2,0.25,0.25,0.3,0.4,0.45,0.45,0.4,0.3,0.35,0.35,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.05,0.05,0.05,0.05,0.05,0.05,0.2,0.2
