parameter,source_line,region,initial_age_lower_days_inclusive,initial_age_upper_days_exclusive,configured_weight,age_pass_before,age_pass_multiplier,age_pass_fitted,choice_group,year_of_birth_lower_exclusive,year_of_birth_upper_inclusive,age_at_start_2025_lower_years,age_at_start_2025_upper_years,assessment,share_of_all_allocated_records_percent,share_within_region_allocated_records_percent
demo_asia_age_4000_8000,12237,asia,4000,8000,0.02014,0.02014,1,False,"Initially living cohort, held fixed",1908.0821917808219,1919.041095890411,105.95890410958904,116.91780821917808,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,1.4627060788728303,2.486910994764398
demo_asia_age_8000_12000,12238,asia,8000,12000,0.01696,0.01696,1,False,"Initially living cohort, held fixed",1897.123287671233,1908.0821917808219,116.91780821917808,127.87671232876713,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,1.231752487471857,2.094240837696335
demo_asia_age_12000_16000,12239,asia,12000,16000,0.01378,0.01378,1,False,"Initially living cohort, held fixed",1886.164383561644,1897.123287671233,127.87671232876713,138.83561643835617,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,1.0007988960708838,1.7015706806282722
demo_asia_age_16000_20000,12240,asia,16000,20000,0.00954,0.00954,1,False,"Initially living cohort, held fixed",1875.2054794520548,1886.164383561644,138.83561643835617,149.7945205479452,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.6928607742029196,1.1780104712041886
demo_asia_age_20000_24000,12241,asia,20000,24000,0.00636,0.00636,1,False,"Initially living cohort, held fixed",1864.2465753424658,1875.2054794520548,149.7945205479452,160.75342465753425,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.4619071828019464,0.7853403141361257
demo_asia_age_24000_28000,12242,asia,24000,28000,0.00318,0.00318,1,False,"Initially living cohort, held fixed",1853.2876712328766,1864.2465753424658,160.75342465753425,171.7123287671233,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.2309535914009732,0.39267015706806285
demo_asia_age_28000_32000,12243,asia,28000,32000,0.00106,0.00106,1,False,"Initially living cohort, held fixed",1842.3287671232877,1853.2876712328766,171.7123287671233,182.67123287671234,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.07698453046699107,0.13089005235602094
demo_africa_age_neg40000_neg36000,12246,africa,-40000,-36000,0.03465,0.03465,1,False,Unfitted future-birth cohort,2028.6301369863013,2039.5890410958905,-14.58904109589041,-3.6301369863013697,Inherited region-scaled prior; not observed by 2025; imposes forecast boundary jump,2.5165226232841893,13.46938775510204
demo_africa_age_neg36000_neg32000,12247,africa,-36000,-32000,0.045435858454,0.0315,1.442408204888888888888888889,True,Fitted conditional-under80 cohort,2017.6712328767123,2028.6301369863013,-3.6301369863013697,7.328767123287672,Matches applied regularized fit; not independently identified; validate with current survival,3.2998662541942045,17.66214128435374
demo_africa_age_neg32000_neg28000,12248,africa,-32000,-28000,0.039604893297,0.0294,1.347105214183673469387755102,True,Fitted conditional-under80 cohort,2006.7123287671234,2017.6712328767123,7.328767123287672,18.28767123287671,Matches applied regularized fit; not independently identified; validate with current survival,2.8763812402498368,15.395488162099126
demo_africa_age_neg28000_neg24000,12249,africa,-28000,-24000,0.027194119065,0.02625,1.035966440571428571428571429,True,Fitted conditional-under80 cohort,1995.7534246575342,2006.7123287671234,18.28767123287671,29.246575342465754,Matches applied regularized fit; not independently identified; validate with current survival,1.9750249883796935,10.571086128279884
demo_africa_age_neg24000_neg20000,12250,africa,-24000,-20000,0.02341795761,0.02415,0.9696876857142857142857142857,True,Fitted conditional-under80 cohort,1984.7945205479452,1995.7534246575342,29.246575342465754,40.205479452054796,Matches applied regularized fit; not independently identified; validate with current survival,1.7007740293412739,9.103190518950438
demo_africa_age_neg20000_neg16000,12251,africa,-20000,-16000,0.018376562187,0.021,0.8750743898571428571428571429,True,Fitted conditional-under80 cohort,1973.835616438356,1984.7945205479452,40.205479452054796,51.16438356164384,Matches applied regularized fit; not independently identified; validate with current survival,1.3346330297770355,7.143464406997085
demo_africa_age_neg16000_neg12000,12252,africa,-16000,-12000,0.009518262017,0.0189,0.5036117469312169312169312169,True,Fitted conditional-under80 cohort,1962.876712328767,1973.835616438356,51.16438356164384,62.12328767123287,Matches applied regularized fit; not independently identified; validate with current survival,0.6912820115476795,3.70000467133139
demo_africa_age_neg12000_neg8000,12253,africa,-12000,-8000,0.00814781789,0.01575,0.5173217707936507936507936508,True,Fitted conditional-under80 cohort,1951.9178082191781,1962.876712328767,62.12328767123287,73.08219178082192,Matches applied regularized fit; not independently identified; validate with current survival,0.5917508816907546,3.1672761477162292
demo_africa_age_neg8000_neg4000,12254,africa,-8000,-4000,0.00890452948,0.01365,0.6523464820512820512820512821,True,Fitted conditional-under80 cohort,1940.958904109589,1951.9178082191781,73.08219178082192,84.04109589041096,Matches applied regularized fit; not independently identified; validate with current survival; overlaps 80+ in calibration window,0.6467085104219624,3.4614303129251702
demo_africa_age_neg4000_0,12255,africa,-4000,0,0.0105,0.0105,1,False,"Restored 1930-1941 birth cohort, held fixed",1930.0,1940.958904109589,84.04109589041096,95.0,Not observed in legacy fitting baseline; requires separate older-age and survival validation,0.762582613116421,4.081632653061225
demo_africa_age_0_4000,12257,africa,0,4000,0.00945,0.00945,1,False,"Initially living cohort, held fixed",1919.041095890411,1930.0,95.0,105.95890410958904,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.6863243518047788,3.673469387755102
demo_africa_age_4000_8000,12258,africa,4000,8000,0.00735,0.00735,1,False,"Initially living cohort, held fixed",1908.0821917808219,1919.041095890411,105.95890410958904,116.91780821917808,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.5338078291814946,2.857142857142857
demo_africa_age_8000_12000,12259,africa,8000,12000,0.00525,0.00525,1,False,"Initially living cohort, held fixed",1897.123287671233,1908.0821917808219,116.91780821917808,127.87671232876713,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.3812913065582105,2.0408163265306123
demo_africa_age_12000_16000,12260,africa,12000,16000,0.0042,0.0042,1,False,"Initially living cohort, held fixed",1886.164383561644,1897.123287671233,127.87671232876713,138.83561643835617,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.3050330452465684,1.6326530612244898
demo_africa_age_16000_20000,12261,africa,16000,20000,0.0021,0.0021,1,False,"Initially living cohort, held fixed",1875.2054794520548,1886.164383561644,138.83561643835617,149.7945205479452,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.1525165226232842,0.8163265306122449
demo_africa_age_20000_24000,12262,africa,20000,24000,0.00105,0.00105,1,False,"Initially living cohort, held fixed",1864.2465753424658,1875.2054794520548,149.7945205479452,160.75342465753425,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.0762582613116421,0.40816326530612246
demo_africa_age_24000_28000,12263,africa,24000,28000,0.00105,0.00105,1,False,"Initially living cohort, held fixed",1853.2876712328766,1864.2465753424658,160.75342465753425,171.7123287671233,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.0762582613116421,0.40816326530612246
demo_africa_age_28000_32000,12264,africa,28000,32000,0.00105,0.00105,1,False,"Initially living cohort, held fixed",1842.3287671232877,1853.2876712328766,171.7123287671233,182.67123287671234,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.0762582613116421,0.40816326530612246
demo_europe_age_neg40000_neg36000,12267,europe,-40000,-36000,0.0148,0.0148,1,False,Unfitted future-birth cohort,2028.6301369863013,2039.5890410958905,-14.58904109589041,-3.6301369863013697,Inherited region-scaled prior; not observed by 2025; imposes forecast boundary jump,1.0748783499164791,11.428571428571429
demo_europe_age_neg36000_neg32000,12268,europe,-36000,-32000,0.007395893802,0.01332,0.5552472824324324324324324324,True,Fitted conditional-under80 cohort,2017.6712328767123,2028.6301369863013,-3.6301369863013697,7.328767123287672,Matches applied regularized fit; not independently identified; validate with current survival,0.537140954462924,5.711114905019305
demo_europe_age_neg32000_neg28000,12269,europe,-32000,-28000,0.008863380141,0.01184,0.7485962956925675675675675676,True,Fitted conditional-under80 cohort,2006.7123287671234,2017.6712328767123,7.328767123287672,18.28767123287671,Matches applied regularized fit; not independently identified; validate with current survival,0.6437199608540926,6.844308989189189
demo_europe_age_neg28000_neg24000,12270,europe,-28000,-24000,0.010467835703,0.0111,0.9430482615315315315315315315,True,Fitted conditional-under80 cohort,1995.7534246575342,2006.7123287671234,18.28767123287671,29.246575342465754,Matches applied regularized fit; not independently identified; validate with current survival,0.7602466194349626,8.083270813127413
demo_europe_age_neg24000_neg20000,12271,europe,-24000,-20000,0.010250036664,0.01036,0.9893857783783783783783783784,True,Fitted conditional-under80 cohort,1984.7945205479452,1995.7534246575342,29.246575342465754,40.205479452054796,Matches applied regularized fit; not independently identified; validate with current survival,0.7444285470259278,7.915086227027027
demo_europe_age_neg20000_neg16000,12272,europe,-20000,-16000,0.010270755938,0.00962,1.067646147401247401247401247,True,Fitted conditional-under80 cohort,1973.835616438356,1984.7945205479452,40.205479452054796,51.16438356164384,Matches applied regularized fit; not independently identified; validate with current survival,0.7459333239886702,7.931085666409267
demo_europe_age_neg16000_neg12000,12273,europe,-16000,-12000,0.012205293722,0.00888,1.374470013738738738738738739,True,Fitted conditional-under80 cohort,1962.876712328767,1973.835616438356,51.16438356164384,62.12328767123287,Matches applied regularized fit; not independently identified; validate with current survival,0.8864328362263054,9.424937237065636
demo_europe_age_neg12000_neg8000,12274,europe,-12000,-8000,0.011394565728,0.00814,1.399823799508599508599508600,True,Fitted conditional-under80 cohort,1951.9178082191781,1962.876712328767,62.12328767123287,73.08219178082192,Matches applied regularized fit; not independently identified; validate with current survival,0.8275521626842908,8.798892454054053
demo_europe_age_neg8000_neg4000,12275,europe,-8000,-4000,0.009812238302,0.0074,1.325978148918918918918918919,True,Fitted conditional-under80 cohort,1940.958904109589,1951.9178082191781,73.08219178082192,84.04109589041096,Matches applied regularized fit; not independently identified; validate with current survival; overlaps 80+ in calibration window,0.7126326023676375,7.577017993822394
demo_europe_age_neg4000_0,12276,europe,-4000,0,0.00666,0.00666,1,False,"Restored 1930-1941 birth cohort, held fixed",1930.0,1940.958904109589,84.04109589041096,95.0,Not observed in legacy fitting baseline; requires separate older-age and survival validation,0.4836952574624156,5.142857142857143
demo_europe_age_0_4000,12277,europe,0,4000,0.00592,0.00592,1,False,"Initially living cohort, held fixed",1919.041095890411,1930.0,95.0,105.95890410958904,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.42995133996659163,4.571428571428571
demo_europe_age_4000_8000,12278,europe,4000,8000,0.00518,0.00518,1,False,"Initially living cohort, held fixed",1908.0821917808219,1919.041095890411,105.95890410958904,116.91780821917808,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.37620742247076766,4.0
demo_europe_age_8000_12000,12279,europe,8000,12000,0.00444,0.00444,1,False,"Initially living cohort, held fixed",1897.123287671233,1908.0821917808219,116.91780821917808,127.87671232876713,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.3224635049749437,3.4285714285714284
demo_europe_age_12000_16000,12280,europe,12000,16000,0.0037,0.0037,1,False,"Initially living cohort, held fixed",1886.164383561644,1897.123287671233,127.87671232876713,138.83561643835617,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.2687195874791198,2.857142857142857
demo_europe_age_16000_20000,12281,europe,16000,20000,0.00296,0.00296,1,False,"Initially living cohort, held fixed",1875.2054794520548,1886.164383561644,138.83561643835617,149.7945205479452,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.21497566998329581,2.2857142857142856
demo_europe_age_20000_24000,12282,europe,20000,24000,0.00222,0.00222,1,False,"Initially living cohort, held fixed",1864.2465753424658,1875.2054794520548,149.7945205479452,160.75342465753425,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.16123175248747185,1.7142857142857142
demo_europe_age_24000_28000,12283,europe,24000,28000,0.00148,0.00148,1,False,"Initially living cohort, held fixed",1853.2876712328766,1864.2465753424658,160.75342465753425,171.7123287671233,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.10748783499164791,1.1428571428571428
demo_europe_age_28000_32000,12284,europe,28000,32000,0.00148,0.00148,1,False,"Initially living cohort, held fixed",1842.3287671232877,1853.2876712328766,171.7123287671233,182.67123287671234,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.10748783499164791,1.1428571428571428
demo_north_america_age_neg40000_neg36000,12287,north_america,-40000,-36000,0.01308,0.01308,1,False,Unfitted future-birth cohort,2028.6301369863013,2039.5890410958905,-14.58904109589041,-3.6301369863013697,Inherited region-scaled prior; not observed by 2025; imposes forecast boundary jump,0.9499600551964558,13.186813186813186
demo_north_america_age_neg36000_neg32000,12288,north_america,-36000,-32000,0.00809004926,0.01199,0.6747330492076730608840700584,True,Fitted conditional-under80 cohort,2017.6712328767123,2028.6301369863013,-3.6301369863013697,7.328767123287672,Matches applied regularized fit; not independently identified; validate with current survival,0.5875553242791779,8.156113781631213
demo_north_america_age_neg32000_neg28000,12289,north_america,-32000,-28000,0.009088775655,0.0109,0.8338326288990825688073394495,True,Fitted conditional-under80 cohort,2006.7123287671234,2017.6712328767123,7.328767123287672,18.28767123287671,Matches applied regularized fit; not independently identified; validate with current survival,0.6600897418113153,9.16299592196794
demo_north_america_age_neg28000_neg24000,12290,north_america,-28000,-24000,0.009888471225,0.00981,1.007999105504587155963302752,True,Fitted conditional-under80 cohort,1995.7534246575342,2006.7123287671234,18.28767123287671,29.246575342465754,Matches applied regularized fit; not independently identified; validate with current survival,0.7181691644273368,9.96922192257284
demo_north_america_age_neg24000_neg20000,12291,north_america,-24000,-20000,0.00909077531,0.00872,1.042520104357798165137614679,True,Fitted conditional-under80 cohort,1984.7945205479452,1995.7534246575342,29.246575342465754,40.205479452054796,Matches applied regularized fit; not independently identified; validate with current survival,0.6602349705860993,9.165011906442182
demo_north_america_age_neg20000_neg16000,12292,north_america,-20000,-16000,0.008351424886,0.00763,1.094551099082568807339449541,True,Fitted conditional-under80 cohort,1973.835616438356,1984.7945205479452,40.205479452054796,51.16438356164384,Matches applied regularized fit; not independently identified; validate with current survival,0.6065382297915608,8.419623839096683
demo_north_america_age_neg16000_neg12000,12293,north_america,-16000,-12000,0.008535543324,0.00654,1.305128948623853211009174312,True,Fitted conditional-under80 cohort,1962.876712328767,1973.835616438356,51.16438356164384,62.12328767123287,Matches applied regularized fit; not independently identified; validate with current survival,0.6199101840366039,8.605245815102329
demo_north_america_age_neg12000_neg8000,12294,north_america,-12000,-8000,0.007054545627,0.00545,1.294412041651376146788990826,True,Fitted conditional-under80 cohort,1951.9178082191781,1962.876712328767,62.12328767123287,73.08219178082192,Matches applied regularized fit; not independently identified; validate with current survival,0.5123498893892077,7.112154075007561
demo_north_america_age_neg8000_neg4000,12295,north_america,-8000,-4000,0.005300414713,0.00436,1.215691447935779816513761468,True,Fitted conditional-under80 cohort,1940.958904109589,1951.9178082191781,73.08219178082192,84.04109589041096,Matches applied regularized fit; not independently identified; validate with current survival; overlaps 80+ in calibration window,0.3849527716609776,5.343698672245186
demo_north_america_age_neg4000_0,12296,north_america,-4000,0,0.00327,0.00327,1,False,"Restored 1930-1941 birth cohort, held fixed",1930.0,1940.958904109589,84.04109589041096,95.0,Not observed in legacy fitting baseline; requires separate older-age and survival validation,0.23749001379911394,3.2967032967032965
demo_north_america_age_0_4000,12297,north_america,0,4000,0.00327,0.00327,1,False,"Initially living cohort, held fixed",1919.041095890411,1930.0,95.0,105.95890410958904,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.23749001379911394,3.2967032967032965
demo_north_america_age_4000_8000,12298,north_america,4000,8000,0.00327,0.00327,1,False,"Initially living cohort, held fixed",1908.0821917808219,1919.041095890411,105.95890410958904,116.91780821917808,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.23749001379911394,3.2967032967032965
demo_north_america_age_8000_12000,12299,north_america,8000,12000,0.00218,0.00218,1,False,"Initially living cohort, held fixed",1897.123287671233,1908.0821917808219,116.91780821917808,127.87671232876713,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.15832667586607596,2.197802197802198
demo_north_america_age_12000_16000,12300,north_america,12000,16000,0.00218,0.00218,1,False,"Initially living cohort, held fixed",1886.164383561644,1897.123287671233,127.87671232876713,138.83561643835617,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.15832667586607596,2.197802197802198
demo_north_america_age_16000_20000,12301,north_america,16000,20000,0.00218,0.00218,1,False,"Initially living cohort, held fixed",1875.2054794520548,1886.164383561644,138.83561643835617,149.7945205479452,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.15832667586607596,2.197802197802198
demo_north_america_age_20000_24000,12302,north_america,20000,24000,0.00218,0.00218,1,False,"Initially living cohort, held fixed",1864.2465753424658,1875.2054794520548,149.7945205479452,160.75342465753425,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.15832667586607596,2.197802197802198
demo_north_america_age_24000_28000,12303,north_america,24000,28000,0.00109,0.00109,1,False,"Initially living cohort, held fixed",1853.2876712328766,1864.2465753424658,160.75342465753425,171.7123287671233,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.07916333793303798,1.098901098901099
demo_north_america_age_28000_32000,12304,north_america,28000,32000,0.00109,0.00109,1,False,"Initially living cohort, held fixed",1842.3287671232877,1853.2876712328766,171.7123287671233,182.67123287671234,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.07916333793303798,1.098901098901099
demo_south_america_age_neg40000_neg36000,12307,south_america,-40000,-36000,0.0107,0.0107,1,False,Unfitted future-birth cohort,2028.6301369863013,2039.5890410958905,-14.58904109589041,-3.6301369863013697,Inherited region-scaled prior; not observed by 2025; imposes forecast boundary jump,0.7771079962234004,14.705882352941176
demo_south_america_age_neg36000_neg32000,12308,south_america,-36000,-32000,0.006165260494,0.00963,0.6402139661474558670820353063,True,Fitted conditional-under80 cohort,2017.6712328767123,2028.6301369863013,-3.6301369863013697,7.328767123287672,Matches applied regularized fit; not independently identified; validate with current survival,0.4477638531483768,8.473420140186915
demo_south_america_age_neg32000_neg28000,12309,south_america,-32000,-28000,0.006926705035,0.00856,0.8091945134345794392523364486,True,Fitted conditional-under80 cohort,2006.7123287671234,2017.6712328767123,7.328767123287672,18.28767123287671,Matches applied regularized fit; not independently identified; validate with current survival,0.5030652215120924,9.519935452171524
demo_south_america_age_neg28000_neg24000,12310,south_america,-28000,-24000,0.00823363396,0.00749,1.099283572763684913217623498,True,Fitted conditional-under80 cohort,1995.7534246575342,2006.7123287671234,18.28767123287671,29.246575342465754,Matches applied regularized fit; not independently identified; validate with current survival,0.5979834381581814,11.316154425508522
demo_south_america_age_neg24000_neg20000,12311,south_america,-24000,-20000,0.007283119662,0.00642,1.134442314953271028037383178,True,Fitted conditional-under80 cohort,1984.7945205479452,1995.7534246575342,29.246575342465754,40.205479452054796,Matches applied regularized fit; not independently identified; validate with current survival,0.5289505165226233,10.009785131940626
demo_south_america_age_neg20000_neg16000,12312,south_america,-20000,-16000,0.006144249206,0.00535,1.148457795514018691588785047,True,Fitted conditional-under80 cohort,1973.835616438356,1984.7945205479452,40.205479452054796,51.16438356164384,Matches applied regularized fit; not independently identified; validate with current survival,0.4462378681095214,8.444542614073667
demo_south_america_age_neg16000_neg12000,12313,south_america,-16000,-12000,0.005319657549,0.00428,1.242910642289719626168224299,True,Fitted conditional-under80 cohort,1962.876712328767,1973.835616438356,51.16438356164384,62.12328767123287,Matches applied regularized fit; not independently identified; validate with current survival,0.38635031948580145,7.3112390722924685
demo_south_america_age_neg12000_neg8000,12314,south_america,-12000,-8000,0.005356282871,0.00428,1.251467960514018691588785047,True,Fitted conditional-under80 cohort,1951.9178082191781,1962.876712328767,62.12328767123287,73.08219178082192,Matches applied regularized fit; not independently identified; validate with current survival,0.3890103036531338,7.361576238317757
demo_south_america_age_neg8000_neg4000,12315,south_america,-8000,-4000,0.003791091223,0.00321,1.181025303115264797507788162,True,Fitted conditional-under80 cohort,1940.958904109589,1951.9178082191781,73.08219178082192,84.04109589041096,Matches applied regularized fit; not independently identified; validate with current survival; overlaps 80+ in calibration window,0.27533526203791125,5.210405749037933
demo_south_america_age_neg4000_0,12316,south_america,-4000,0,0.00214,0.00214,1,False,"Restored 1930-1941 birth cohort, held fixed",1930.0,1940.958904109589,84.04109589041096,95.0,Not observed in legacy fitting baseline; requires separate older-age and survival validation,0.15542159924468008,2.9411764705882355
demo_south_america_age_0_4000,12317,south_america,0,4000,0.00214,0.00214,1,False,"Initially living cohort, held fixed",1919.041095890411,1930.0,95.0,105.95890410958904,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.15542159924468008,2.9411764705882355
demo_south_america_age_4000_8000,12318,south_america,4000,8000,0.00214,0.00214,1,False,"Initially living cohort, held fixed",1908.0821917808219,1919.041095890411,105.95890410958904,116.91780821917808,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.15542159924468008,2.9411764705882355
demo_south_america_age_8000_12000,12319,south_america,8000,12000,0.00107,0.00107,1,False,"Initially living cohort, held fixed",1897.123287671233,1908.0821917808219,116.91780821917808,127.87671232876713,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.07771079962234004,1.4705882352941178
demo_south_america_age_12000_16000,12320,south_america,12000,16000,0.00107,0.00107,1,False,"Initially living cohort, held fixed",1886.164383561644,1897.123287671233,127.87671232876713,138.83561643835617,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.07771079962234004,1.4705882352941178
demo_south_america_age_16000_20000,12321,south_america,16000,20000,0.00107,0.00107,1,False,"Initially living cohort, held fixed",1875.2054794520548,1886.164383561644,138.83561643835617,149.7945205479452,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.07771079962234004,1.4705882352941178
demo_south_america_age_20000_24000,12322,south_america,20000,24000,0.00107,0.00107,1,False,"Initially living cohort, held fixed",1864.2465753424658,1875.2054794520548,149.7945205479452,160.75342465753425,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.07771079962234004,1.4705882352941178
demo_south_america_age_24000_28000,12323,south_america,24000,28000,0.00107,0.00107,1,False,"Initially living cohort, held fixed",1853.2876712328766,1864.2465753424658,160.75342465753425,171.7123287671233,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.07771079962234004,1.4705882352941178
demo_south_america_age_28000_32000,12324,south_america,28000,32000,0.00107,0.00107,1,False,"Initially living cohort, held fixed",1842.3287671232877,1853.2876712328766,171.7123287671233,182.67123287671234,Inherited region-scaled prior; no individual census derivation found; age 95+ at start of 2025,0.07771079962234004,1.4705882352941178
demo_oceania_age_neg40000_neg36000,12327,oceania,-40000,-36000,0.00088,0.00088,1,False,Unfitted future-birth cohort,2028.6301369863013,2039.5890410958905,-14.58904109589041,-3.6301369863013697,Inherited region-scaled prior; not observed by 2025; imposes forecast boundary jump,0.06391168567070957,10.526315789473685
demo_oceania_age_neg36000_neg32000,12328,oceania,-36000,-32000,0.000691816416,0.00088,0.7861550181818181818181818182,True,Fitted conditional-under80 cohort,2017.6712328767123,2028.6301369863013,-3.6301369863013697,7.328767123287672,Matches applied regularized fit; not independently identified; validate with current survival,0.050244492410487326,8.275315980861244
demo_oceania_age_neg32000_neg28000,12329,oceania,-32000,-28000,0.000701919921,0.00066,1.063515031818181818181818182,True,Fitted conditional-under80 cohort,2006.7123287671234,2017.6712328767123,7.328767123287672,18.28767123287671,Matches applied regularized fit; not independently identified; validate with current survival,0.05097827881472874,8.396171303827751
demo_oceania_age_neg28000_neg24000,12330,oceania,-28000,-24000,0.000655247416,0.00066,0.9927991151515151515151515152,True,Fitted conditional-under80 cohort,1995.7534246575342,2006.7123287671234,18.28767123287671,29.246575342465754,Matches applied regularized fit; not independently identified; validate with current survival,0.04758859873629167,7.837887751196172
demo_oceania_age_neg24000_neg20000,12331,oceania,-24000,-20000,0.00065010321,0.00066,0.9850048636363636363636363636,True,Fitted conditional-under80 cohort,1984.7945205479452,1995.7534246575342,29.246575342465754,40.205479452054796,Matches applied regularized fit; not independently identified; validate with current survival,0.04721499092163556,7.7763541866028705
