bacteria,setting,region,year,incidence_per_1000_days,p5,p95,source_quality,notes
klebsiella_pneumoniae,ward,south_america,2020,0.76,0.45,1.13,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
klebsiella_pneumoniae,icu,oceania,2020,1.7,1.02,2.55,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
klebsiella_pneumoniae,ward,oceania,2020,0.57,0.34,0.85,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
klebsiella_pneumoniae,icu,north_america,2021,1.98,1.19,2.97,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
klebsiella_pneumoniae,ward,north_america,2021,0.66,0.4,0.99,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
klebsiella_pneumoniae,icu,europe,2021,1.68,1.01,2.52,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
klebsiella_pneumoniae,ward,europe,2021,0.56,0.34,0.84,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
klebsiella_pneumoniae,icu,asia,2021,2.28,1.37,3.42,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
klebsiella_pneumoniae,ward,asia,2021,0.76,0.46,1.14,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
klebsiella_pneumoniae,icu,africa,2021,2.67,1.6,4.01,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
klebsiella_pneumoniae,ward,africa,2021,0.89,0.53,1.34,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
klebsiella_pneumoniae,icu,south_america,2021,2.38,1.43,3.56,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
klebsiella_pneumoniae,ward,south_america,2021,0.79,0.48,1.19,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
klebsiella_pneumoniae,icu,oceania,2021,1.78,1.07,2.67,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
klebsiella_pneumoniae,ward,oceania,2021,0.59,0.36,0.89,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
klebsiella_pneumoniae,icu,north_america,2022,2.07,1.24,3.1,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
klebsiella_pneumoniae,ward,north_america,2022,0.69,0.41,1.03,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
klebsiella_pneumoniae,icu,europe,2022,1.76,1.06,2.64,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
klebsiella_pneumoniae,ward,europe,2022,0.59,0.35,0.88,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
klebsiella_pneumoniae,icu,asia,2022,2.38,1.43,3.57,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
klebsiella_pneumoniae,ward,asia,2022,0.79,0.48,1.19,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
klebsiella_pneumoniae,icu,africa,2022,2.79,1.68,4.19,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
klebsiella_pneumoniae,ward,africa,2022,0.93,0.56,1.4,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
klebsiella_pneumoniae,icu,south_america,2022,2.48,1.49,3.73,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
klebsiella_pneumoniae,ward,south_america,2022,0.83,0.5,1.24,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
klebsiella_pneumoniae,icu,oceania,2022,1.86,1.12,2.79,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
klebsiella_pneumoniae,ward,oceania,2022,0.62,0.37,0.93,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
klebsiella_pneumoniae,icu,north_america,2023,2.16,1.3,3.24,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
klebsiella_pneumoniae,ward,north_america,2023,0.72,0.43,1.08,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
klebsiella_pneumoniae,icu,europe,2023,1.84,1.1,2.75,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
klebsiella_pneumoniae,ward,europe,2023,0.61,0.37,0.92,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
klebsiella_pneumoniae,icu,asia,2023,2.48,1.49,3.73,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
klebsiella_pneumoniae,ward,asia,2023,0.83,0.5,1.24,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
klebsiella_pneumoniae,icu,africa,2023,2.92,1.75,4.37,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
klebsiella_pneumoniae,ward,africa,2023,0.97,0.58,1.46,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
klebsiella_pneumoniae,icu,south_america,2023,2.59,1.56,3.89,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
klebsiella_pneumoniae,ward,south_america,2023,0.86,0.52,1.3,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
klebsiella_pneumoniae,icu,oceania,2023,1.94,1.17,2.92,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
klebsiella_pneumoniae,ward,oceania,2023,0.65,0.39,0.97,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
klebsiella_pneumoniae,icu,north_america,2024,2.25,1.35,3.38,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
klebsiella_pneumoniae,ward,north_america,2024,0.75,0.45,1.12,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
klebsiella_pneumoniae,icu,europe,2024,1.91,1.15,2.87,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
klebsiella_pneumoniae,ward,europe,2024,0.64,0.38,0.96,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
klebsiella_pneumoniae,icu,asia,2024,2.59,1.55,3.88,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
klebsiella_pneumoniae,ward,asia,2024,0.86,0.52,1.29,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
klebsiella_pneumoniae,icu,africa,2024,3.04,1.82,4.56,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
klebsiella_pneumoniae,ward,africa,2024,1.01,0.61,1.52,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
klebsiella_pneumoniae,icu,south_america,2024,2.7,1.62,4.05,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
klebsiella_pneumoniae,ward,south_america,2024,0.9,0.54,1.35,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
klebsiella_pneumoniae,icu,oceania,2024,2.03,1.22,3.04,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
klebsiella_pneumoniae,ward,oceania,2024,0.68,0.41,1.01,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
staphylococcus_aureus,icu,north_america,2019,3.2,1.92,4.8,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
staphylococcus_aureus,ward,north_america,2019,1.1,0.66,1.65,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
staphylococcus_aureus,icu,europe,2019,2.72,1.63,4.08,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
staphylococcus_aureus,ward,europe,2019,0.94,0.56,1.4,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
staphylococcus_aureus,icu,asia,2019,3.68,2.21,5.52,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
staphylococcus_aureus,ward,asia,2019,1.26,0.76,1.9,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
staphylococcus_aureus,icu,africa,2019,4.32,2.59,6.48,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
staphylococcus_aureus,ward,africa,2019,1.49,0.89,2.23,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
staphylococcus_aureus,icu,south_america,2019,3.84,2.3,5.76,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
staphylococcus_aureus,ward,south_america,2019,1.32,0.79,1.98,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
staphylococcus_aureus,icu,oceania,2019,2.88,1.73,4.32,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
staphylococcus_aureus,ward,oceania,2019,0.99,0.59,1.49,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
staphylococcus_aureus,icu,north_america,2020,3.14,1.88,4.7,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
staphylococcus_aureus,ward,north_america,2020,1.08,0.65,1.62,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
staphylococcus_aureus,icu,europe,2020,2.67,1.6,4.0,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
staphylococcus_aureus,ward,europe,2020,0.92,0.55,1.37,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
staphylococcus_aureus,icu,asia,2020,3.61,2.16,5.41,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
staphylococcus_aureus,ward,asia,2020,1.24,0.74,1.86,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
staphylococcus_aureus,icu,africa,2020,4.23,2.54,6.35,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
staphylococcus_aureus,ward,africa,2020,1.46,0.87,2.18,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
staphylococcus_aureus,icu,south_america,2020,3.76,2.26,5.64,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
staphylococcus_aureus,ward,south_america,2020,1.29,0.78,1.94,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
staphylococcus_aureus,icu,oceania,2020,2.82,1.69,4.23,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
staphylococcus_aureus,ward,oceania,2020,0.97,0.58,1.46,cdc_nhsn_ecdc_hainet,hai_surveillance_2020
staphylococcus_aureus,icu,north_america,2021,3.07,1.84,4.61,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
staphylococcus_aureus,ward,north_america,2021,1.06,0.63,1.58,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
staphylococcus_aureus,icu,europe,2021,2.61,1.57,3.92,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
staphylococcus_aureus,ward,europe,2021,0.9,0.54,1.35,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
staphylococcus_aureus,icu,asia,2021,3.53,2.12,5.3,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
staphylococcus_aureus,ward,asia,2021,1.21,0.73,1.82,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
staphylococcus_aureus,icu,africa,2021,4.15,2.49,6.22,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
staphylococcus_aureus,ward,africa,2021,1.43,0.86,2.14,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
staphylococcus_aureus,icu,south_america,2021,3.69,2.21,5.53,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
staphylococcus_aureus,ward,south_america,2021,1.27,0.76,1.9,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
staphylococcus_aureus,icu,oceania,2021,2.76,1.66,4.15,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
staphylococcus_aureus,ward,oceania,2021,0.95,0.57,1.43,cdc_nhsn_ecdc_hainet,hai_surveillance_2021
staphylococcus_aureus,icu,north_america,2022,3.01,1.8,4.51,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
staphylococcus_aureus,ward,north_america,2022,1.03,0.62,1.55,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
staphylococcus_aureus,icu,europe,2022,2.56,1.53,3.84,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
staphylococcus_aureus,ward,europe,2022,0.88,0.53,1.32,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
staphylococcus_aureus,icu,asia,2022,3.46,2.08,5.19,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
staphylococcus_aureus,ward,asia,2022,1.19,0.71,1.78,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
staphylococcus_aureus,icu,africa,2022,4.06,2.44,6.09,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
staphylococcus_aureus,ward,africa,2022,1.4,0.84,2.09,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
staphylococcus_aureus,icu,south_america,2022,3.61,2.17,5.41,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
staphylococcus_aureus,ward,south_america,2022,1.24,0.74,1.86,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
staphylococcus_aureus,icu,oceania,2022,2.71,1.62,4.06,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
staphylococcus_aureus,ward,oceania,2022,0.93,0.56,1.4,cdc_nhsn_ecdc_hainet,hai_surveillance_2022
staphylococcus_aureus,icu,north_america,2023,2.94,1.77,4.42,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
staphylococcus_aureus,ward,north_america,2023,1.01,0.61,1.52,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
staphylococcus_aureus,icu,europe,2023,2.5,1.5,3.75,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
staphylococcus_aureus,ward,europe,2023,0.86,0.52,1.29,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
staphylococcus_aureus,icu,asia,2023,3.39,2.03,5.08,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
staphylococcus_aureus,ward,asia,2023,1.16,0.7,1.75,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
staphylococcus_aureus,icu,africa,2023,3.97,2.38,5.96,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
staphylococcus_aureus,ward,africa,2023,1.37,0.82,2.05,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
staphylococcus_aureus,icu,south_america,2023,3.53,2.12,5.3,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
staphylococcus_aureus,ward,south_america,2023,1.21,0.73,1.82,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
staphylococcus_aureus,icu,oceania,2023,2.65,1.59,3.97,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
staphylococcus_aureus,ward,oceania,2023,0.91,0.55,1.37,cdc_nhsn_ecdc_hainet,hai_surveillance_2023
staphylococcus_aureus,icu,north_america,2024,2.88,1.73,4.32,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
staphylococcus_aureus,ward,north_america,2024,0.99,0.59,1.49,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
staphylococcus_aureus,icu,europe,2024,2.45,1.47,3.67,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
staphylococcus_aureus,ward,europe,2024,0.84,0.5,1.26,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
staphylococcus_aureus,icu,asia,2024,3.31,1.99,4.97,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
staphylococcus_aureus,ward,asia,2024,1.14,0.68,1.71,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
staphylococcus_aureus,icu,africa,2024,3.89,2.33,5.83,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
staphylococcus_aureus,ward,africa,2024,1.34,0.8,2.0,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
staphylococcus_aureus,icu,south_america,2024,3.46,2.07,5.18,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
staphylococcus_aureus,ward,south_america,2024,1.19,0.71,1.78,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
staphylococcus_aureus,icu,oceania,2024,2.59,1.56,3.89,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
staphylococcus_aureus,ward,oceania,2024,0.89,0.53,1.34,cdc_nhsn_ecdc_hainet,hai_surveillance_2024
pseudomonas_aeruginosa,icu,north_america,2019,1.5,0.9,2.25,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
pseudomonas_aeruginosa,ward,north_america,2019,0.4,0.24,0.6,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
pseudomonas_aeruginosa,icu,europe,2019,1.27,0.76,1.91,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
pseudomonas_aeruginosa,ward,europe,2019,0.34,0.2,0.51,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
pseudomonas_aeruginosa,icu,asia,2019,1.72,1.03,2.59,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
pseudomonas_aeruginosa,ward,asia,2019,0.46,0.28,0.69,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
pseudomonas_aeruginosa,icu,africa,2019,2.03,1.22,3.04,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
pseudomonas_aeruginosa,ward,africa,2019,0.54,0.32,0.81,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
pseudomonas_aeruginosa,icu,south_america,2019,1.8,1.08,2.7,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
pseudomonas_aeruginosa,ward,south_america,2019,0.48,0.29,0.72,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
pseudomonas_aeruginosa,icu,oceania,2019,1.35,0.81,2.03,cdc_nhsn_ecdc_hainet,hai_surveillance_2019
