bacteria,drug,region,year,failure_rate,p5,p95,source_quality,notes
amoxicillin,k_pneumoniae,oceania,2021,0.41976,0.293832,0.587664,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin,k_pneumoniae,north_america,2022,0.41692500000000005,0.29184750000000004,0.5836950000000001,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin,k_pneumoniae,europe,2022,0.44145000000000006,0.30901500000000004,0.6180300000000001,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin,k_pneumoniae,asia,2022,0.564075,0.3948525,0.789705,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin,k_pneumoniae,africa,2022,0.613125,0.4291875,0.858375,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin,k_pneumoniae,south_america,2022,0.5395500000000001,0.37768500000000005,0.7553700000000001,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin,k_pneumoniae,oceania,2022,0.4316400000000001,0.302148,0.604296,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin,k_pneumoniae,north_america,2023,0.42840000000000006,0.29988000000000004,0.5997600000000001,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin,k_pneumoniae,europe,2023,0.45360000000000006,0.31752,0.63504,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin,k_pneumoniae,asia,2023,0.5796,0.40571999999999997,0.8114399999999999,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin,k_pneumoniae,africa,2023,0.6300000000000001,0.44100000000000006,0.8820000000000001,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin,k_pneumoniae,south_america,2023,0.5544000000000001,0.38808000000000004,0.7761600000000001,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin,k_pneumoniae,oceania,2023,0.4435200000000001,0.310464,0.620928,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin,k_pneumoniae,north_america,2024,0.43987499999999996,0.3079125,0.615825,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin,k_pneumoniae,europe,2024,0.46575,0.32602499999999995,0.6520499999999999,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin,k_pneumoniae,asia,2024,0.5951249999999999,0.4165874999999999,0.8331749999999998,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin,k_pneumoniae,africa,2024,0.646875,0.45281249999999995,0.9056249999999999,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin,k_pneumoniae,south_america,2024,0.56925,0.398475,0.79695,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin,k_pneumoniae,oceania,2024,0.45539999999999997,0.31877999999999995,0.6375599999999999,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin,p_aeruginosa,north_america,2019,0.8075,0.5652499999999999,0.95,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin,p_aeruginosa,europe,2019,0.855,0.5984999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin,p_aeruginosa,asia,2019,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin,p_aeruginosa,africa,2019,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin,p_aeruginosa,south_america,2019,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin,p_aeruginosa,oceania,2019,0.836,0.5851999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin,p_aeruginosa,north_america,2020,0.831725,0.5822075,0.95,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin,p_aeruginosa,europe,2020,0.88065,0.616455,0.95,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin,p_aeruginosa,asia,2020,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin,p_aeruginosa,africa,2020,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin,p_aeruginosa,south_america,2020,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin,p_aeruginosa,oceania,2020,0.86108,0.602756,0.95,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin,p_aeruginosa,north_america,2021,0.85595,0.599165,0.95,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin,p_aeruginosa,europe,2021,0.9063,0.6344099999999999,0.95,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin,p_aeruginosa,asia,2021,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin,p_aeruginosa,africa,2021,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin,p_aeruginosa,south_america,2021,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin,p_aeruginosa,oceania,2021,0.8861600000000001,0.620312,0.95,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin,p_aeruginosa,north_america,2022,0.880175,0.6161225,0.95,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin,p_aeruginosa,europe,2022,0.9319500000000001,0.652365,0.95,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin,p_aeruginosa,asia,2022,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin,p_aeruginosa,africa,2022,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin,p_aeruginosa,south_america,2022,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin,p_aeruginosa,oceania,2022,0.91124,0.637868,0.95,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin,p_aeruginosa,north_america,2023,0.9044000000000001,0.63308,0.95,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin,p_aeruginosa,europe,2023,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin,p_aeruginosa,asia,2023,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin,p_aeruginosa,africa,2023,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin,p_aeruginosa,south_america,2023,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin,p_aeruginosa,oceania,2023,0.93632,0.655424,0.95,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin,p_aeruginosa,north_america,2024,0.9286249999999999,0.6500374999999999,0.95,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin,p_aeruginosa,europe,2024,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin,p_aeruginosa,asia,2024,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin,p_aeruginosa,africa,2024,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin,p_aeruginosa,south_america,2024,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin,p_aeruginosa,oceania,2024,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin_clavulanate,s_aureus,north_america,2019,0.6375,0.4462499999999999,0.8924999999999998,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin_clavulanate,s_aureus,europe,2019,0.675,0.4725,0.945,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin_clavulanate,s_aureus,asia,2019,0.8624999999999999,0.6037499999999999,0.95,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin_clavulanate,s_aureus,africa,2019,0.9375,0.65625,0.95,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin_clavulanate,s_aureus,south_america,2019,0.8250000000000001,0.5775,0.95,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin_clavulanate,s_aureus,oceania,2019,0.66,0.46199999999999997,0.9239999999999999,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin_clavulanate,s_aureus,north_america,2020,0.656625,0.4596375,0.919275,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin_clavulanate,s_aureus,europe,2020,0.69525,0.48667499999999997,0.95,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin_clavulanate,s_aureus,asia,2020,0.8883749999999999,0.6218624999999999,0.95,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin_clavulanate,s_aureus,africa,2020,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin_clavulanate,s_aureus,south_america,2020,0.8497500000000001,0.594825,0.95,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin_clavulanate,s_aureus,oceania,2020,0.6798000000000001,0.47586,0.95,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin_clavulanate,s_aureus,north_america,2021,0.67575,0.4730249999999999,0.9460499999999998,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin_clavulanate,s_aureus,europe,2021,0.7155000000000001,0.50085,0.95,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin_clavulanate,s_aureus,asia,2021,0.91425,0.639975,0.95,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin_clavulanate,s_aureus,africa,2021,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin_clavulanate,s_aureus,south_america,2021,0.8745000000000002,0.6121500000000001,0.95,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin_clavulanate,s_aureus,oceania,2021,0.6996000000000001,0.48972000000000004,0.95,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin_clavulanate,s_aureus,north_america,2022,0.694875,0.48641249999999997,0.95,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin_clavulanate,s_aureus,europe,2022,0.7357500000000001,0.5150250000000001,0.95,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin_clavulanate,s_aureus,asia,2022,0.940125,0.6580874999999999,0.95,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin_clavulanate,s_aureus,africa,2022,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin_clavulanate,s_aureus,south_america,2022,0.8992500000000001,0.629475,0.95,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin_clavulanate,s_aureus,oceania,2022,0.7194,0.50358,0.95,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin_clavulanate,s_aureus,north_america,2023,0.714,0.49979999999999997,0.95,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin_clavulanate,s_aureus,europe,2023,0.7560000000000001,0.5292,0.95,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin_clavulanate,s_aureus,asia,2023,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin_clavulanate,s_aureus,africa,2023,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin_clavulanate,s_aureus,south_america,2023,0.9240000000000002,0.6468,0.95,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin_clavulanate,s_aureus,oceania,2023,0.7392000000000001,0.51744,0.95,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin_clavulanate,s_aureus,north_america,2024,0.7331249999999999,0.5131874999999999,0.95,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin_clavulanate,s_aureus,europe,2024,0.77625,0.5433749999999999,0.95,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin_clavulanate,s_aureus,asia,2024,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin_clavulanate,s_aureus,africa,2024,0.95,0.6649999999999999,0.95,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin_clavulanate,s_aureus,south_america,2024,0.94875,0.664125,0.95,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin_clavulanate,s_aureus,oceania,2024,0.759,0.5313,0.95,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin_clavulanate,e_coli,north_america,2019,0.2125,0.14875,0.2975,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin_clavulanate,e_coli,europe,2019,0.225,0.1575,0.315,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin_clavulanate,e_coli,asia,2019,0.2875,0.20124999999999998,0.40249999999999997,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin_clavulanate,e_coli,africa,2019,0.3125,0.21875,0.4375,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin_clavulanate,e_coli,south_america,2019,0.275,0.1925,0.385,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin_clavulanate,e_coli,oceania,2019,0.22,0.154,0.308,clinical_trial_rwe,clinical_surveillance_2019
amoxicillin_clavulanate,e_coli,north_america,2020,0.218875,0.15321249999999997,0.30642499999999995,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin_clavulanate,e_coli,europe,2020,0.23175,0.162225,0.32445,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin_clavulanate,e_coli,asia,2020,0.29612499999999997,0.20728749999999996,0.4145749999999999,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin_clavulanate,e_coli,africa,2020,0.321875,0.2253125,0.450625,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin_clavulanate,e_coli,south_america,2020,0.28325000000000006,0.19827500000000003,0.39655000000000007,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin_clavulanate,e_coli,oceania,2020,0.2266,0.15861999999999998,0.31723999999999997,clinical_trial_rwe,clinical_surveillance_2020
amoxicillin_clavulanate,e_coli,north_america,2021,0.22525,0.15767499999999998,0.31534999999999996,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin_clavulanate,e_coli,europe,2021,0.23850000000000002,0.16695000000000002,0.33390000000000003,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin_clavulanate,e_coli,asia,2021,0.30474999999999997,0.21332499999999996,0.4266499999999999,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin_clavulanate,e_coli,africa,2021,0.33125000000000004,0.23187500000000003,0.46375000000000005,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin_clavulanate,e_coli,south_america,2021,0.29150000000000004,0.20405,0.4081,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin_clavulanate,e_coli,oceania,2021,0.23320000000000002,0.16324,0.32648,clinical_trial_rwe,clinical_surveillance_2021
amoxicillin_clavulanate,e_coli,north_america,2022,0.231625,0.1621375,0.324275,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin_clavulanate,e_coli,europe,2022,0.24525000000000002,0.171675,0.34335,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin_clavulanate,e_coli,asia,2022,0.313375,0.2193625,0.438725,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin_clavulanate,e_coli,africa,2022,0.340625,0.2384375,0.476875,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin_clavulanate,e_coli,south_america,2022,0.29975000000000007,0.20982500000000004,0.4196500000000001,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin_clavulanate,e_coli,oceania,2022,0.2398,0.16786,0.33572,clinical_trial_rwe,clinical_surveillance_2022
amoxicillin_clavulanate,e_coli,north_america,2023,0.23800000000000002,0.1666,0.3332,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin_clavulanate,e_coli,europe,2023,0.25200000000000006,0.17640000000000003,0.35280000000000006,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin_clavulanate,e_coli,asia,2023,0.322,0.2254,0.4508,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin_clavulanate,e_coli,africa,2023,0.35000000000000003,0.245,0.49,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin_clavulanate,e_coli,south_america,2023,0.30800000000000005,0.2156,0.4312,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin_clavulanate,e_coli,oceania,2023,0.24640000000000004,0.17248000000000002,0.34496000000000004,clinical_trial_rwe,clinical_surveillance_2023
amoxicillin_clavulanate,e_coli,north_america,2024,0.24437499999999998,0.17106249999999998,0.34212499999999996,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin_clavulanate,e_coli,europe,2024,0.25875,0.18112499999999998,0.36224999999999996,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin_clavulanate,e_coli,asia,2024,0.33062499999999995,0.23143749999999993,0.46287499999999987,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin_clavulanate,e_coli,africa,2024,0.359375,0.25156249999999997,0.5031249999999999,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin_clavulanate,e_coli,south_america,2024,0.31625,0.22137499999999996,0.4427499999999999,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin_clavulanate,e_coli,oceania,2024,0.253,0.17709999999999998,0.35419999999999996,clinical_trial_rwe,clinical_surveillance_2024
amoxicillin_clavulanate,k_pneumoniae,north_america,2019,0.2975,0.20825,0.4165,clinical_trial_rwe,clinical_surveillance_2019
