bacteria,drug,region,year,mic50,mic90,resistant_threshold,p5,p95,source_quality,notes
escherichia_coli,amoxicillin,south_america,2021,10.56,42.24,8.0,3.168,50.688,eucast_clsi_surveillance,breakpoint_surveillance_2021
escherichia_coli,amoxicillin,oceania,2021,8.36,33.44,8.0,2.508,40.128,eucast_clsi_surveillance,breakpoint_surveillance_2021
escherichia_coli,amoxicillin,north_america,2022,9.2,36.8,8.0,2.76,44.16,eucast_clsi_surveillance,breakpoint_surveillance_2022
escherichia_coli,amoxicillin,europe,2022,10.12,40.48,8.0,3.036,48.576,eucast_clsi_surveillance,breakpoint_surveillance_2022
escherichia_coli,amoxicillin,asia,2022,11.96,47.84,8.0,3.588,57.408,eucast_clsi_surveillance,breakpoint_surveillance_2022
escherichia_coli,amoxicillin,africa,2022,12.88,51.52,8.0,3.864,61.824,eucast_clsi_surveillance,breakpoint_surveillance_2022
escherichia_coli,amoxicillin,south_america,2022,11.04,44.16,8.0,3.312,52.992,eucast_clsi_surveillance,breakpoint_surveillance_2022
escherichia_coli,amoxicillin,oceania,2022,8.74,34.96,8.0,2.622,41.952,eucast_clsi_surveillance,breakpoint_surveillance_2022
escherichia_coli,amoxicillin,north_america,2023,9.6,38.4,8.0,2.88,46.08,eucast_clsi_surveillance,breakpoint_surveillance_2023
escherichia_coli,amoxicillin,europe,2023,10.56,42.24,8.0,3.168,50.688,eucast_clsi_surveillance,breakpoint_surveillance_2023
escherichia_coli,amoxicillin,asia,2023,12.48,49.92,8.0,3.744,59.904,eucast_clsi_surveillance,breakpoint_surveillance_2023
escherichia_coli,amoxicillin,africa,2023,13.44,53.76,8.0,4.032,64.512,eucast_clsi_surveillance,breakpoint_surveillance_2023
escherichia_coli,amoxicillin,south_america,2023,11.52,46.08,8.0,3.456,55.296,eucast_clsi_surveillance,breakpoint_surveillance_2023
escherichia_coli,amoxicillin,oceania,2023,9.12,36.48,8.0,2.736,43.776,eucast_clsi_surveillance,breakpoint_surveillance_2023
escherichia_coli,amoxicillin,north_america,2024,10.0,40.0,8.0,3.0,48.0,eucast_clsi_surveillance,breakpoint_surveillance_2024
escherichia_coli,amoxicillin,europe,2024,11.0,44.0,8.0,3.3,52.8,eucast_clsi_surveillance,breakpoint_surveillance_2024
escherichia_coli,amoxicillin,asia,2024,13.0,52.0,8.0,3.9,62.4,eucast_clsi_surveillance,breakpoint_surveillance_2024
escherichia_coli,amoxicillin,africa,2024,14.0,56.0,8.0,4.2,67.2,eucast_clsi_surveillance,breakpoint_surveillance_2024
escherichia_coli,amoxicillin,south_america,2024,12.0,48.0,8.0,3.6,57.6,eucast_clsi_surveillance,breakpoint_surveillance_2024
escherichia_coli,amoxicillin,oceania,2024,9.5,38.0,8.0,2.85,45.6,eucast_clsi_surveillance,breakpoint_surveillance_2024
escherichia_coli,ciprofloxacin,north_america,2019,0.25,4.0,0.5,0.075,4.8,eucast_clsi_surveillance,breakpoint_surveillance_2019
escherichia_coli,ciprofloxacin,europe,2019,0.275,4.4,0.5,0.083,5.28,eucast_clsi_surveillance,breakpoint_surveillance_2019
escherichia_coli,ciprofloxacin,asia,2019,0.325,5.2,0.5,0.098,6.24,eucast_clsi_surveillance,breakpoint_surveillance_2019
escherichia_coli,ciprofloxacin,africa,2019,0.35,5.6,0.5,0.105,6.72,eucast_clsi_surveillance,breakpoint_surveillance_2019
escherichia_coli,ciprofloxacin,south_america,2019,0.3,4.8,0.5,0.09,5.76,eucast_clsi_surveillance,breakpoint_surveillance_2019
escherichia_coli,ciprofloxacin,oceania,2019,0.237,3.8,0.5,0.071,4.56,eucast_clsi_surveillance,breakpoint_surveillance_2019
escherichia_coli,ciprofloxacin,north_america,2020,0.263,4.2,0.5,0.079,5.04,eucast_clsi_surveillance,breakpoint_surveillance_2020
escherichia_coli,ciprofloxacin,europe,2020,0.289,4.62,0.5,0.087,5.544,eucast_clsi_surveillance,breakpoint_surveillance_2020
escherichia_coli,ciprofloxacin,asia,2020,0.341,5.46,0.5,0.102,6.552,eucast_clsi_surveillance,breakpoint_surveillance_2020
escherichia_coli,ciprofloxacin,africa,2020,0.367,5.88,0.5,0.11,7.056,eucast_clsi_surveillance,breakpoint_surveillance_2020
escherichia_coli,ciprofloxacin,south_america,2020,0.315,5.04,0.5,0.095,6.048,eucast_clsi_surveillance,breakpoint_surveillance_2020
escherichia_coli,ciprofloxacin,oceania,2020,0.249,3.99,0.5,0.075,4.788,eucast_clsi_surveillance,breakpoint_surveillance_2020
escherichia_coli,ciprofloxacin,north_america,2021,0.275,4.4,0.5,0.083,5.28,eucast_clsi_surveillance,breakpoint_surveillance_2021
escherichia_coli,ciprofloxacin,europe,2021,0.303,4.84,0.5,0.091,5.808,eucast_clsi_surveillance,breakpoint_surveillance_2021
escherichia_coli,ciprofloxacin,asia,2021,0.358,5.72,0.5,0.107,6.864,eucast_clsi_surveillance,breakpoint_surveillance_2021
escherichia_coli,ciprofloxacin,africa,2021,0.385,6.16,0.5,0.115,7.392,eucast_clsi_surveillance,breakpoint_surveillance_2021
escherichia_coli,ciprofloxacin,south_america,2021,0.33,5.28,0.5,0.099,6.336,eucast_clsi_surveillance,breakpoint_surveillance_2021
escherichia_coli,ciprofloxacin,oceania,2021,0.261,4.18,0.5,0.078,5.016,eucast_clsi_surveillance,breakpoint_surveillance_2021
escherichia_coli,ciprofloxacin,north_america,2022,0.287,4.6,0.5,0.086,5.52,eucast_clsi_surveillance,breakpoint_surveillance_2022
escherichia_coli,ciprofloxacin,europe,2022,0.316,5.06,0.5,0.095,6.072,eucast_clsi_surveillance,breakpoint_surveillance_2022
escherichia_coli,ciprofloxacin,asia,2022,0.374,5.98,0.5,0.112,7.176,eucast_clsi_surveillance,breakpoint_surveillance_2022
escherichia_coli,ciprofloxacin,africa,2022,0.402,6.44,0.5,0.121,7.728,eucast_clsi_surveillance,breakpoint_surveillance_2022
escherichia_coli,ciprofloxacin,south_america,2022,0.345,5.52,0.5,0.103,6.624,eucast_clsi_surveillance,breakpoint_surveillance_2022
escherichia_coli,ciprofloxacin,oceania,2022,0.273,4.37,0.5,0.082,5.244,eucast_clsi_surveillance,breakpoint_surveillance_2022
escherichia_coli,ciprofloxacin,north_america,2023,0.3,4.8,0.5,0.09,5.76,eucast_clsi_surveillance,breakpoint_surveillance_2023
escherichia_coli,ciprofloxacin,europe,2023,0.33,5.28,0.5,0.099,6.336,eucast_clsi_surveillance,breakpoint_surveillance_2023
escherichia_coli,ciprofloxacin,asia,2023,0.39,6.24,0.5,0.117,7.488,eucast_clsi_surveillance,breakpoint_surveillance_2023
escherichia_coli,ciprofloxacin,africa,2023,0.42,6.72,0.5,0.126,8.064,eucast_clsi_surveillance,breakpoint_surveillance_2023
escherichia_coli,ciprofloxacin,south_america,2023,0.36,5.76,0.5,0.108,6.912,eucast_clsi_surveillance,breakpoint_surveillance_2023
escherichia_coli,ciprofloxacin,oceania,2023,0.285,4.56,0.5,0.085,5.472,eucast_clsi_surveillance,breakpoint_surveillance_2023
escherichia_coli,ciprofloxacin,north_america,2024,0.312,5.0,0.5,0.094,6.0,eucast_clsi_surveillance,breakpoint_surveillance_2024
escherichia_coli,ciprofloxacin,europe,2024,0.344,5.5,0.5,0.103,6.6,eucast_clsi_surveillance,breakpoint_surveillance_2024
escherichia_coli,ciprofloxacin,asia,2024,0.406,6.5,0.5,0.122,7.8,eucast_clsi_surveillance,breakpoint_surveillance_2024
escherichia_coli,ciprofloxacin,africa,2024,0.438,7.0,0.5,0.131,8.4,eucast_clsi_surveillance,breakpoint_surveillance_2024
escherichia_coli,ciprofloxacin,south_america,2024,0.375,6.0,0.5,0.112,7.2,eucast_clsi_surveillance,breakpoint_surveillance_2024
escherichia_coli,ciprofloxacin,oceania,2024,0.297,4.75,0.5,0.089,5.7,eucast_clsi_surveillance,breakpoint_surveillance_2024
escherichia_coli,ceftriaxone,north_america,2019,0.125,2.0,2.0,0.037,2.4,eucast_clsi_surveillance,breakpoint_surveillance_2019
escherichia_coli,ceftriaxone,europe,2019,0.138,2.2,2.0,0.041,2.64,eucast_clsi_surveillance,breakpoint_surveillance_2019
escherichia_coli,ceftriaxone,asia,2019,0.163,2.6,2.0,0.049,3.12,eucast_clsi_surveillance,breakpoint_surveillance_2019
escherichia_coli,ceftriaxone,africa,2019,0.175,2.8,2.0,0.052,3.36,eucast_clsi_surveillance,breakpoint_surveillance_2019
escherichia_coli,ceftriaxone,south_america,2019,0.15,2.4,2.0,0.045,2.88,eucast_clsi_surveillance,breakpoint_surveillance_2019
escherichia_coli,ceftriaxone,oceania,2019,0.119,1.9,2.0,0.036,2.28,eucast_clsi_surveillance,breakpoint_surveillance_2019
escherichia_coli,ceftriaxone,north_america,2020,0.131,2.1,2.0,0.039,2.52,eucast_clsi_surveillance,breakpoint_surveillance_2020
escherichia_coli,ceftriaxone,europe,2020,0.144,2.31,2.0,0.043,2.772,eucast_clsi_surveillance,breakpoint_surveillance_2020
escherichia_coli,ceftriaxone,asia,2020,0.171,2.73,2.0,0.051,3.276,eucast_clsi_surveillance,breakpoint_surveillance_2020
escherichia_coli,ceftriaxone,africa,2020,0.184,2.94,2.0,0.055,3.528,eucast_clsi_surveillance,breakpoint_surveillance_2020
escherichia_coli,ceftriaxone,south_america,2020,0.158,2.52,2.0,0.047,3.024,eucast_clsi_surveillance,breakpoint_surveillance_2020
escherichia_coli,ceftriaxone,oceania,2020,0.125,1.995,2.0,0.037,2.394,eucast_clsi_surveillance,breakpoint_surveillance_2020
escherichia_coli,ceftriaxone,north_america,2021,0.138,2.2,2.0,0.041,2.64,eucast_clsi_surveillance,breakpoint_surveillance_2021
escherichia_coli,ceftriaxone,europe,2021,0.151,2.42,2.0,0.045,2.904,eucast_clsi_surveillance,breakpoint_surveillance_2021
escherichia_coli,ceftriaxone,asia,2021,0.179,2.86,2.0,0.054,3.432,eucast_clsi_surveillance,breakpoint_surveillance_2021
escherichia_coli,ceftriaxone,africa,2021,0.193,3.08,2.0,0.058,3.696,eucast_clsi_surveillance,breakpoint_surveillance_2021
escherichia_coli,ceftriaxone,south_america,2021,0.165,2.64,2.0,0.05,3.168,eucast_clsi_surveillance,breakpoint_surveillance_2021
escherichia_coli,ceftriaxone,oceania,2021,0.131,2.09,2.0,0.039,2.508,eucast_clsi_surveillance,breakpoint_surveillance_2021
escherichia_coli,ceftriaxone,north_america,2022,0.144,2.3,2.0,0.043,2.76,eucast_clsi_surveillance,breakpoint_surveillance_2022
escherichia_coli,ceftriaxone,europe,2022,0.158,2.53,2.0,0.047,3.036,eucast_clsi_surveillance,breakpoint_surveillance_2022
escherichia_coli,ceftriaxone,asia,2022,0.187,2.99,2.0,0.056,3.588,eucast_clsi_surveillance,breakpoint_surveillance_2022
escherichia_coli,ceftriaxone,africa,2022,0.201,3.22,2.0,0.06,3.864,eucast_clsi_surveillance,breakpoint_surveillance_2022
escherichia_coli,ceftriaxone,south_america,2022,0.172,2.76,2.0,0.052,3.312,eucast_clsi_surveillance,breakpoint_surveillance_2022
escherichia_coli,ceftriaxone,oceania,2022,0.137,2.185,2.0,0.041,2.622,eucast_clsi_surveillance,breakpoint_surveillance_2022
escherichia_coli,ceftriaxone,north_america,2023,0.15,2.4,2.0,0.045,2.88,eucast_clsi_surveillance,breakpoint_surveillance_2023
escherichia_coli,ceftriaxone,europe,2023,0.165,2.64,2.0,0.05,3.168,eucast_clsi_surveillance,breakpoint_surveillance_2023
escherichia_coli,ceftriaxone,asia,2023,0.195,3.12,2.0,0.058,3.744,eucast_clsi_surveillance,breakpoint_surveillance_2023
escherichia_coli,ceftriaxone,africa,2023,0.21,3.36,2.0,0.063,4.032,eucast_clsi_surveillance,breakpoint_surveillance_2023
escherichia_coli,ceftriaxone,south_america,2023,0.18,2.88,2.0,0.054,3.456,eucast_clsi_surveillance,breakpoint_surveillance_2023
escherichia_coli,ceftriaxone,oceania,2023,0.142,2.28,2.0,0.043,2.736,eucast_clsi_surveillance,breakpoint_surveillance_2023
escherichia_coli,ceftriaxone,north_america,2024,0.156,2.5,2.0,0.047,3.0,eucast_clsi_surveillance,breakpoint_surveillance_2024
escherichia_coli,ceftriaxone,europe,2024,0.172,2.75,2.0,0.052,3.3,eucast_clsi_surveillance,breakpoint_surveillance_2024
escherichia_coli,ceftriaxone,asia,2024,0.203,3.25,2.0,0.061,3.9,eucast_clsi_surveillance,breakpoint_surveillance_2024
escherichia_coli,ceftriaxone,africa,2024,0.219,3.5,2.0,0.066,4.2,eucast_clsi_surveillance,breakpoint_surveillance_2024
escherichia_coli,ceftriaxone,south_america,2024,0.188,3.0,2.0,0.056,3.6,eucast_clsi_surveillance,breakpoint_surveillance_2024
escherichia_coli,ceftriaxone,oceania,2024,0.148,2.375,2.0,0.045,2.85,eucast_clsi_surveillance,breakpoint_surveillance_2024
escherichia_coli,meropenem,north_america,2019,0.03,0.125,8.0,0.009,0.15,eucast_clsi_surveillance,breakpoint_surveillance_2019
escherichia_coli,meropenem,europe,2019,0.033,0.138,8.0,0.01,0.165,eucast_clsi_surveillance,breakpoint_surveillance_2019
escherichia_coli,meropenem,asia,2019,0.039,0.163,8.0,0.012,0.195,eucast_clsi_surveillance,breakpoint_surveillance_2019
escherichia_coli,meropenem,africa,2019,0.042,0.175,8.0,0.013,0.21,eucast_clsi_surveillance,breakpoint_surveillance_2019
escherichia_coli,meropenem,south_america,2019,0.036,0.15,8.0,0.011,0.18,eucast_clsi_surveillance,breakpoint_surveillance_2019
escherichia_coli,meropenem,oceania,2019,0.028,0.119,8.0,0.009,0.142,eucast_clsi_surveillance,breakpoint_surveillance_2019
escherichia_coli,meropenem,north_america,2020,0.032,0.131,8.0,0.009,0.158,eucast_clsi_surveillance,breakpoint_surveillance_2020
escherichia_coli,meropenem,europe,2020,0.035,0.144,8.0,0.01,0.173,eucast_clsi_surveillance,breakpoint_surveillance_2020
escherichia_coli,meropenem,asia,2020,0.041,0.171,8.0,0.012,0.205,eucast_clsi_surveillance,breakpoint_surveillance_2020
escherichia_coli,meropenem,africa,2020,0.044,0.184,8.0,0.013,0.221,eucast_clsi_surveillance,breakpoint_surveillance_2020
escherichia_coli,meropenem,south_america,2020,0.038,0.158,8.0,0.011,0.189,eucast_clsi_surveillance,breakpoint_surveillance_2020
escherichia_coli,meropenem,oceania,2020,0.03,0.125,8.0,0.009,0.15,eucast_clsi_surveillance,breakpoint_surveillance_2020
escherichia_coli,meropenem,north_america,2021,0.033,0.138,8.0,0.01,0.165,eucast_clsi_surveillance,breakpoint_surveillance_2021
escherichia_coli,meropenem,europe,2021,0.036,0.151,8.0,0.011,0.182,eucast_clsi_surveillance,breakpoint_surveillance_2021
escherichia_coli,meropenem,asia,2021,0.043,0.179,8.0,0.013,0.215,eucast_clsi_surveillance,breakpoint_surveillance_2021
escherichia_coli,meropenem,africa,2021,0.046,0.193,8.0,0.014,0.231,eucast_clsi_surveillance,breakpoint_surveillance_2021
escherichia_coli,meropenem,south_america,2021,0.04,0.165,8.0,0.012,0.198,eucast_clsi_surveillance,breakpoint_surveillance_2021
escherichia_coli,meropenem,oceania,2021,0.031,0.131,8.0,0.009,0.157,eucast_clsi_surveillance,breakpoint_surveillance_2021
escherichia_coli,meropenem,north_america,2022,0.034,0.144,8.0,0.01,0.172,eucast_clsi_surveillance,breakpoint_surveillance_2022
escherichia_coli,meropenem,europe,2022,0.038,0.158,8.0,0.011,0.19,eucast_clsi_surveillance,breakpoint_surveillance_2022
escherichia_coli,meropenem,asia,2022,0.045,0.187,8.0,0.013,0.224,eucast_clsi_surveillance,breakpoint_surveillance_2022
escherichia_coli,meropenem,africa,2022,0.048,0.201,8.0,0.014,0.241,eucast_clsi_surveillance,breakpoint_surveillance_2022
escherichia_coli,meropenem,south_america,2022,0.041,0.172,8.0,0.012,0.207,eucast_clsi_surveillance,breakpoint_surveillance_2022
escherichia_coli,meropenem,oceania,2022,0.033,0.137,8.0,0.01,0.164,eucast_clsi_surveillance,breakpoint_surveillance_2022
escherichia_coli,meropenem,north_america,2023,0.036,0.15,8.0,0.011,0.18,eucast_clsi_surveillance,breakpoint_surveillance_2023
escherichia_coli,meropenem,europe,2023,0.04,0.165,8.0,0.012,0.198,eucast_clsi_surveillance,breakpoint_surveillance_2023
escherichia_coli,meropenem,asia,2023,0.047,0.195,8.0,0.014,0.234,eucast_clsi_surveillance,breakpoint_surveillance_2023
escherichia_coli,meropenem,africa,2023,0.05,0.21,8.0,0.015,0.252,eucast_clsi_surveillance,breakpoint_surveillance_2023
escherichia_coli,meropenem,south_america,2023,0.043,0.18,8.0,0.013,0.216,eucast_clsi_surveillance,breakpoint_surveillance_2023
escherichia_coli,meropenem,oceania,2023,0.034,0.142,8.0,0.01,0.171,eucast_clsi_surveillance,breakpoint_surveillance_2023
escherichia_coli,meropenem,north_america,2024,0.037,0.156,8.0,0.011,0.188,eucast_clsi_surveillance,breakpoint_surveillance_2024
escherichia_coli,meropenem,europe,2024,0.041,0.172,8.0,0.012,0.206,eucast_clsi_surveillance,breakpoint_surveillance_2024
escherichia_coli,meropenem,asia,2024,0.049,0.203,8.0,0.015,0.244,eucast_clsi_surveillance,breakpoint_surveillance_2024
escherichia_coli,meropenem,africa,2024,0.052,0.219,8.0,0.016,0.263,eucast_clsi_surveillance,breakpoint_surveillance_2024
escherichia_coli,meropenem,south_america,2024,0.045,0.188,8.0,0.013,0.225,eucast_clsi_surveillance,breakpoint_surveillance_2024
escherichia_coli,meropenem,oceania,2024,0.036,0.148,8.0,0.011,0.178,eucast_clsi_surveillance,breakpoint_surveillance_2024
klebsiella_pneumoniae,ceftriaxone,north_america,2019,0.25,64.0,2.0,0.075,76.8,eucast_clsi_surveillance,breakpoint_surveillance_2019
klebsiella_pneumoniae,ceftriaxone,europe,2019,0.275,70.4,2.0,0.083,84.48,eucast_clsi_surveillance,breakpoint_surveillance_2019
klebsiella_pneumoniae,ceftriaxone,asia,2019,0.325,83.2,2.0,0.098,99.84,eucast_clsi_surveillance,breakpoint_surveillance_2019
klebsiella_pneumoniae,ceftriaxone,africa,2019,0.35,89.6,2.0,0.105,107.52,eucast_clsi_surveillance,breakpoint_surveillance_2019
klebsiella_pneumoniae,ceftriaxone,south_america,2019,0.3,76.8,2.0,0.09,92.16,eucast_clsi_surveillance,breakpoint_surveillance_2019
klebsiella_pneumoniae,ceftriaxone,oceania,2019,0.237,60.8,2.0,0.071,72.96,eucast_clsi_surveillance,breakpoint_surveillance_2019
klebsiella_pneumoniae,ceftriaxone,north_america,2020,0.263,67.2,2.0,0.079,80.64,eucast_clsi_surveillance,breakpoint_surveillance_2020
klebsiella_pneumoniae,ceftriaxone,europe,2020,0.289,73.92,2.0,0.087,88.704,eucast_clsi_surveillance,breakpoint_surveillance_2020
klebsiella_pneumoniae,ceftriaxone,asia,2020,0.341,87.36,2.0,0.102,104.832,eucast_clsi_surveillance,breakpoint_surveillance_2020
klebsiella_pneumoniae,ceftriaxone,africa,2020,0.367,94.08,2.0,0.11,112.896,eucast_clsi_surveillance,breakpoint_surveillance_2020
klebsiella_pneumoniae,ceftriaxone,south_america,2020,0.315,80.64,2.0,0.095,96.768,eucast_clsi_surveillance,breakpoint_surveillance_2020
klebsiella_pneumoniae,ceftriaxone,oceania,2020,0.249,63.84,2.0,0.075,76.608,eucast_clsi_surveillance,breakpoint_surveillance_2020
klebsiella_pneumoniae,ceftriaxone,north_america,2021,0.275,70.4,2.0,0.083,84.48,eucast_clsi_surveillance,breakpoint_surveillance_2021
klebsiella_pneumoniae,ceftriaxone,europe,2021,0.303,77.44,2.0,0.091,92.928,eucast_clsi_surveillance,breakpoint_surveillance_2021
klebsiella_pneumoniae,ceftriaxone,asia,2021,0.358,91.52,2.0,0.107,109.824,eucast_clsi_surveillance,breakpoint_surveillance_2021
klebsiella_pneumoniae,ceftriaxone,africa,2021,0.385,98.56,2.0,0.115,118.272,eucast_clsi_surveillance,breakpoint_surveillance_2021
klebsiella_pneumoniae,ceftriaxone,south_america,2021,0.33,84.48,2.0,0.099,101.376,eucast_clsi_surveillance,breakpoint_surveillance_2021
klebsiella_pneumoniae,ceftriaxone,oceania,2021,0.261,66.88,2.0,0.078,80.256,eucast_clsi_surveillance,breakpoint_surveillance_2021
klebsiella_pneumoniae,ceftriaxone,north_america,2022,0.287,73.6,2.0,0.086,88.32,eucast_clsi_surveillance,breakpoint_surveillance_2022
klebsiella_pneumoniae,ceftriaxone,europe,2022,0.316,80.96,2.0,0.095,97.152,eucast_clsi_surveillance,breakpoint_surveillance_2022
klebsiella_pneumoniae,ceftriaxone,asia,2022,0.374,95.68,2.0,0.112,114.816,eucast_clsi_surveillance,breakpoint_surveillance_2022
klebsiella_pneumoniae,ceftriaxone,africa,2022,0.402,103.04,2.0,0.121,123.648,eucast_clsi_surveillance,breakpoint_surveillance_2022
klebsiella_pneumoniae,ceftriaxone,south_america,2022,0.345,88.32,2.0,0.103,105.984,eucast_clsi_surveillance,breakpoint_surveillance_2022
klebsiella_pneumoniae,ceftriaxone,oceania,2022,0.273,69.92,2.0,0.082,83.904,eucast_clsi_surveillance,breakpoint_surveillance_2022
klebsiella_pneumoniae,ceftriaxone,north_america,2023,0.3,76.8,2.0,0.09,92.16,eucast_clsi_surveillance,breakpoint_surveillance_2023
klebsiella_pneumoniae,ceftriaxone,europe,2023,0.33,84.48,2.0,0.099,101.376,eucast_clsi_surveillance,breakpoint_surveillance_2023
klebsiella_pneumoniae,ceftriaxone,asia,2023,0.39,99.84,2.0,0.117,119.808,eucast_clsi_surveillance,breakpoint_surveillance_2023
klebsiella_pneumoniae,ceftriaxone,africa,2023,0.42,107.52,2.0,0.126,129.024,eucast_clsi_surveillance,breakpoint_surveillance_2023
klebsiella_pneumoniae,ceftriaxone,south_america,2023,0.36,92.16,2.0,0.108,110.592,eucast_clsi_surveillance,breakpoint_surveillance_2023
klebsiella_pneumoniae,ceftriaxone,oceania,2023,0.285,72.96,2.0,0.085,87.552,eucast_clsi_surveillance,breakpoint_surveillance_2023
klebsiella_pneumoniae,ceftriaxone,north_america,2024,0.312,80.0,2.0,0.094,96.0,eucast_clsi_surveillance,breakpoint_surveillance_2024
klebsiella_pneumoniae,ceftriaxone,europe,2024,0.344,88.0,2.0,0.103,105.6,eucast_clsi_surveillance,breakpoint_surveillance_2024
klebsiella_pneumoniae,ceftriaxone,asia,2024,0.406,104.0,2.0,0.122,124.8,eucast_clsi_surveillance,breakpoint_surveillance_2024
klebsiella_pneumoniae,ceftriaxone,africa,2024,0.438,112.0,2.0,0.131,134.4,eucast_clsi_surveillance,breakpoint_surveillance_2024
klebsiella_pneumoniae,ceftriaxone,south_america,2024,0.375,96.0,2.0,0.112,115.2,eucast_clsi_surveillance,breakpoint_surveillance_2024
klebsiella_pneumoniae,ceftriaxone,oceania,2024,0.297,76.0,2.0,0.089,91.2,eucast_clsi_surveillance,breakpoint_surveillance_2024
klebsiella_pneumoniae,meropenem,north_america,2019,0.06,8.0,8.0,0.018,9.6,eucast_clsi_surveillance,breakpoint_surveillance_2019
klebsiella_pneumoniae,meropenem,europe,2019,0.066,8.8,8.0,0.02,10.56,eucast_clsi_surveillance,breakpoint_surveillance_2019
klebsiella_pneumoniae,meropenem,asia,2019,0.078,10.4,8.0,0.023,12.48,eucast_clsi_surveillance,breakpoint_surveillance_2019
klebsiella_pneumoniae,meropenem,africa,2019,0.084,11.2,8.0,0.025,13.44,eucast_clsi_surveillance,breakpoint_surveillance_2019
klebsiella_pneumoniae,meropenem,south_america,2019,0.072,9.6,8.0,0.022,11.52,eucast_clsi_surveillance,breakpoint_surveillance_2019
klebsiella_pneumoniae,meropenem,oceania,2019,0.057,7.6,8.0,0.017,9.12,eucast_clsi_surveillance,breakpoint_surveillance_2019
klebsiella_pneumoniae,meropenem,north_america,2020,0.063,8.4,8.0,0.019,10.08,eucast_clsi_surveillance,breakpoint_surveillance_2020
klebsiella_pneumoniae,meropenem,europe,2020,0.069,9.24,8.0,0.021,11.088,eucast_clsi_surveillance,breakpoint_surveillance_2020
klebsiella_pneumoniae,meropenem,asia,2020,0.082,10.92,8.0,0.025,13.104,eucast_clsi_surveillance,breakpoint_surveillance_2020
klebsiella_pneumoniae,meropenem,africa,2020,0.088,11.76,8.0,0.026,14.112,eucast_clsi_surveillance,breakpoint_surveillance_2020
klebsiella_pneumoniae,meropenem,south_america,2020,0.076,10.08,8.0,0.023,12.096,eucast_clsi_surveillance,breakpoint_surveillance_2020
klebsiella_pneumoniae,meropenem,oceania,2020,0.06,7.98,8.0,0.018,9.576,eucast_clsi_surveillance,breakpoint_surveillance_2020
klebsiella_pneumoniae,meropenem,north_america,2021,0.066,8.8,8.0,0.02,10.56,eucast_clsi_surveillance,breakpoint_surveillance_2021
klebsiella_pneumoniae,meropenem,europe,2021,0.073,9.68,8.0,0.022,11.616,eucast_clsi_surveillance,breakpoint_surveillance_2021
klebsiella_pneumoniae,meropenem,asia,2021,0.086,11.44,8.0,0.026,13.728,eucast_clsi_surveillance,breakpoint_surveillance_2021
klebsiella_pneumoniae,meropenem,africa,2021,0.092,12.32,8.0,0.028,14.784,eucast_clsi_surveillance,breakpoint_surveillance_2021
klebsiella_pneumoniae,meropenem,south_america,2021,0.079,10.56,8.0,0.024,12.672,eucast_clsi_surveillance,breakpoint_surveillance_2021
klebsiella_pneumoniae,meropenem,oceania,2021,0.063,8.36,8.0,0.019,10.032,eucast_clsi_surveillance,breakpoint_surveillance_2021
